0.125 0 0
0.125 0.5 0.0013321
0.125 1 0.00253014
0.125 1.5 0.00348207
0.125 2 0.00411419
0.125 2.5 0.00440025
0.125 3 0.00435726
0.125 3.5 0.00404428
0.125 4 0.00354179
0.125 4.5 0.00293999
0.125 5 0.00232252
0.125 5.5 0.00175633
0.125 6 0.00128384
0.125 6.5 0.000927583
0.125 7 0.000689206
0.125 7.5 0.000555948
0.125 8 0.000506852
0.125 8.5 0.000517881
0.125 9 0.000565599
0.125 9.5 0.000629681
0.125 10 0.000694486
0.375 0 0
0.375 0.5 0.00315801
0.375 1 0.00601338
0.375 1.5 0.00831046
0.375 2 0.00987789
0.375 2.5 0.0106431
0.375 3 0.0106406
0.375 3.5 0.00999522
0.375 4 0.00888125
0.375 4.5 0.00749667
0.375 5 0.00604238
0.375 5.5 0.00467409
0.375 6 0.00350304
0.375 6.5 0.00258959
0.375 7 0.00195121
0.375 7.5 0.00156736
0.375 8 0.0013948
0.375 8.5 0.00138102
0.375 9 0.00147104
0.375 9.5 0.0016152
0.375 10 0.00177268
0.625 0 0
0.625 0.5 0.00320777
0.625 1 0.0061263
0.625 1.5 0.00850566
0.625 2 0.0101764
0.625 2.5 0.011064
0.625 3 0.0111859
0.625 3.5 0.0106446
0.625 4 0.00961561
0.625 4.5 0.00827275
0.625 5 0.00681559
0.625 5.5 0.00540248
0.625 6 0.00415642
0.625 6.5 0.00314946
0.625 7 0.00241229
0.625 7.5 0.00193666
0.625 8 0.00168798
0.625 8.5 0.00162026
0.625 9 0.00167793
0.625 9.5 0.00180959
0.625 10 0.00197091
0.875 0 0
0.875 0.5 0.00271971
0.875 1 0.00520956
0.875 1.5 0.00726842
0.875 2 0.00875654
0.875 2.5 0.00960507
0.875 3 0.00981991
0.875 3.5 0.00947303
0.875 4 0.00869001
0.875 4.5 0.00761454
0.875 5 0.00640461
0.875 5.5 0.00519542
0.875 6 0.00409452
0.875 6.5 0.00317429
0.875 7 0.00247109
0.875 7.5 0.00198962
0.875 8 0.00171087
0.875 8.5 0.00159952
0.875 9 0.00161274
0.875 9.5 0.00170588
0.875 10 0.00183819
1.125 0 0
1.125 0.5 0.00219338
1.125 1 0.00421243
1.125 1.5 0.00590774
1.125 2 0.00716444
1.125 2.5 0.0079261
1.125 3 0.00819569
1.125 3.5 0.00800689
1.125 4 0.00745382
1.125 4.5 0.00664573
1.125 5 0.0056983
1.125 5.5 0.00472034
1.125 6 0.00380222
1.125 6.5 0.00300918
1.125 7 0.00238021
1.125 7.5 0.00192664
1.125 8 0.0016422
1.125 8.5 0.00150502
1.125 9 0.0014815
1.125 9.5 0.00153683
1.125 10 0.00163634
1.375 0 0
1.375 0.5 0.00174647
1.375 1 0.00336267
1.375 1.5 0.0047394
1.375 2 0.00578666
1.375 2.5 0.00645759
1.375 3 0.00674365
1.375 3.5 0.00666995
1.375 4 0.00629872
1.375 4.5 0.00570703
1.375 5 0.00498052
1.375 5.5 0.00420637
1.375 6 0.00345604
1.375 6.5 0.00278697
1.375 7 0.00223721
1.375 7.5 0.00182501
1.375 8 0.0015491
1.375 8.5 0.00139706
1.375 9 0.00134684
1.375 9.5 0.00137104
1.375 10 0.00144115
1.625 0 0
1.625 0.5 0.00139048
1.625 1 0.00268707
1.625 1.5 0.00380071
1.625 2 0.00467296
1.625 2.5 0.00525696
1.625 3 0.005543
1.625 3.5 0.00554725
1.625 4 0.00530886
1.625 4.5 0.00488191
1.625 5 0.00433155
1.625 5.5 0.00372183
1.625 6 0.0031133
1.625 6.5 0.00255483
1.625 7 0.00207951
1.625 7.5 0.00170907
1.625 8 0.00144944
1.625 8.5 0.00129284
1.625 9 0.00122504
1.625 9.5 0.00122534
1.625 10 0.00127091
1.875 0 0
1.875 0.5 0.00111392
1.875 1 0.00215885
1.875 1.5 0.0030687
1.875 2 0.00379195
1.875 2.5 0.00429884
1.875 3 0.00457593
1.875 3.5 0.0046294
1.875 4 0.00448499
1.875 4.5 0.00418155
1.875 5 0.00376573
1.875 5.5 0.00328774
1.875 6 0.00279464
1.875 6.5 0.00232889
1.875 7 0.00192181
1.875 7.5 0.00159313
1.875 8 0.00135222
1.875 8.5 0.00119704
1.875 9 0.00111833
1.875 9.5 0.00110099
1.875 10 0.00112694
2.125 0 0
2.125 0.5 0.000900128
2.125 1 0.00174736
2.125 1.5 0.00249371
2.125 2 0.00310038
2.125 2.5 0.0035402
2.125 3 0.00380055
2.125 3.5 0.00388361
2.125 4 0.0038057
