1.029963	741908    	741908    	776385    	776385    	6142.29   	5730.92   	3642.17   	5139.47   	3202.3    
1.048689	762622    	762622    	798025    	798025    	6340.15   	5889.86   	3656.38   	5153.73   	3217.02   
1.067416	783335    	783335    	819666    	819666    	6538      	6048.79   	3670.59   	5167.99   	3231.74   
1.086142	804049    	804049    	841306    	841306    	6735.86   	6207.73   	3684.8    	5182.26   	3246.46   
1.104869	824762    	824762    	862946    	862946    	6933.71   	6366.67   	3699.01   	5196.52   	3261.18   
1.123596	845476    	845476    	884587    	884587    	7131.57   	6525.61   	3713.22   	5210.79   	3275.9    
1.142322	866189    	866189    	906227    	906227    	7329.42   	6684.55   	3727.44   	5225.05   	3290.63   
1.161049	886902    	886902    	927867    	927867    	7527.28   	6843.49   	3741.65   	5239.31   	3305.35   
1.179775	907616    	907616    	949507    	949507    	7725.13   	7002.43   	3755.86   	5253.58   	3320.07   
1.198502	928329    	928329    	971148    	971148    	7922.98   	7161.36   	3770.07   	5267.84   	3334.79   
1.217228	949043    	949043    	992788    	992788    	8120.84   	7320.3    	3784.28   	5282.11   	3349.51   
1.235955	969756    	969756    	1.01443e+06	1.01443e+06	8318.69   	7479.24   	3798.5    	5296.37   	3364.23   
1.254682	991320    	991320    	1.0369e+06	1.0369e+06	8525.26   	7643.48   	3814.01   	5312.23   	3380.18   
1.273408	1.01543e+06	1.01543e+06	1.06186e+06	1.06186e+06	8757.96   	7823.6    	3833.43   	5332.88   	3399.81   
1.292135	1.03955e+06	1.03955e+06	1.08682e+06	1.08682e+06	8990.66   	8003.72   	3852.85   	5353.53   	3419.43   
1.310861	1.06366e+06	1.06366e+06	1.11178e+06	1.11178e+06	9223.36   	8183.84   	3872.27   	5374.18   	3439.06   
1.329588	1.08777e+06	1.08777e+06	1.13675e+06	1.13675e+06	9456.06   	8363.96   	3891.69   	5394.83   	3458.69   
1.348315	1.11189e+06	1.11189e+06	1.16171e+06	1.16171e+06	9688.76   	8544.08   	3911.11   	5415.48   	3478.32   
1.367041	1.136e+06 	1.136e+06 	1.18667e+06	1.18667e+06	9921.46   	8724.2    	3930.53   	5436.13   	3497.95   
1.385768	1.16011e+06	1.16011e+06	1.21163e+06	1.21163e+06	10154.2   	8904.33   	3949.95   	5456.78   	3517.58   
1.404494	1.18423e+06	1.18423e+06	1.23659e+06	1.23659e+06	10386.9   	9084.45   	3969.37   	5477.43   	3537.2    
1.423221	1.20834e+06	1.20834e+06	1.26155e+06	1.26155e+06	10619.6   	9264.57   	3988.79   	5498.08   	3556.83   
1.441948	1.23246e+06	1.23246e+06	1.28652e+06	1.28652e+06	10852.3   	9444.69   	4008.2    	5518.73   	3576.46   
1.460674	1.25657e+06	1.25657e+06	1.31148e+06	1.31148e+06	11085     	9624.81   	4027.62   	5539.38   	3596.09   
1.479401	1.28068e+06	1.28068e+06	1.33644e+06	1.33644e+06	11317.7   	9804.93   	4047.04   	5560.03   	3615.72   
1.498127	1.3048e+06	1.3048e+06	1.3614e+06	1.3614e+06	11550.4   	9985.05   	4066.46   	5580.68   	3635.35   
1.516854	1.33192e+06	1.33192e+06	1.38926e+06	1.38926e+06	11813.4   	10183.1   	4091.62   	5608.11   	3660.45   
1.535581	1.35937e+06	1.35937e+06	1.41744e+06	1.41744e+06	12079.9   	10383.1   	4117.41   	5636.28   	3686.16   
1.554307	1.38682e+06	1.38682e+06	1.44562e+06	1.44562e+06	12346.3   	10583.1   	4143.2    	5664.46   	3711.87   
1.573034	1.41428e+06	1.41428e+06	1.4738e+06	1.4738e+06	12612.7   	10783.1   	4168.99   	5692.64   	3737.58   
1.591760	1.44173e+06	1.44173e+06	1.50199e+06	1.50199e+06	12879.2   	10983     	4194.78   	5720.81   	3763.29   
1.610487	1.46918e+06	1.46918e+06	1.53017e+06	1.53017e+06	13145.6   	11183     	4220.57   	5748.99   	3789      
1.629213	1.49664e+06	1.49664e+06	1.55835e+06	1.55835e+06	13412     	11383     	4246.36   	5777.17   	3814.71   
1.647940	1.52409e+06	1.52409e+06	1.58653e+06	1.58653e+06	13678.5   	11583     	4272.16   	5805.34   	3840.42   
1.666667	1.55154e+06	1.55154e+06	1.61471e+06	1.61471e+06	13944.9   	11783     	4297.95   	5833.52   	3866.13   
1.685393	1.579e+06 	1.579e+06 	1.64289e+06	1.64289e+06	14211.4   	11983     	4323.74   	5861.7    	3891.84   
1.704120	1.60645e+06	1.60645e+06	1.67107e+06	1.67107e+06	14477.8   	12183     	4349.53   	5889.88   	3917.55   
1.722846	1.6339e+06	1.6339e+06	1.69925e+06	1.69925e+06	14744.2   	12383     	4375.32   	5918.05   	3943.26   
1.741573	1.66136e+06	1.66136e+06	1.72744e+06	1.72744e+06	15010.7   	12583     	4401.11   	5946.23   	3968.97   
