0.01	0.97566
0.011	1.04
0.012	1.1
0.013	1.16
0.014	1.22
0.015	1.27
0.016	1.32
0.017	1.38
0.018	1.43
0.02	1.53
0.0225	1.65
0.025	1.76
0.0275	1.88
0.03	1.99
0.0325	2.09
0.035	2.2
0.0375	2.3
0.04	2.4
0.045	2.61
0.05	2.8
0.055	3
0.06	3.2
0.065	3.4
0.07	3.6
0.08	4.01
0.09	4.43
0.1	4.87
0.11	5.32
0.12	5.79
0.13	6.28
0.14	6.79
0.15	7.32
0.16	7.87
0.17	8.44
0.18	9.03
0.2	10.29
0.225	11.99
0.25	13.82
0.275	15.8
0.3	17.92
0.325	20.18
0.35	22.58
0.375	25.11
0.4	27.78
0.45	33.5
0.5	39.74
0.55	46.48
0.6	53.72
0.65	61.44
0.7	69.64
0.8	87.42
0.9	107.03
1	128.43
1.1	151.5
1.2	176.27
1.3	202.8
1.4	231.01
1.5	260.87
1.6	292.38
1.7	325.51
1.8	360.26
2	434.48
2.25	536.08
2.5	647.37
2.75	768.2
3	898.44
3.25	1040
3.5	1190
3.75	1340
4	1510
4.5	1870
5	2270
5.5	2700
6	3160
6.5	3660
7	4190
8	5350
9	6640
10	8050
