 Event ID : 136483
-44.1741 104.816 -78.784 56 21.1
19.6329 -11.3012 -47.424 66 3777.05
22.0871 -9.95207 -19.2 75 1735.35
34.3577 -28.3038 -16.064 76 86.2
17.1788 -9.95207 -16.064 76 1793.85
76.0776 15.5519 -12.928 77 25.7
-2.45412 100.565 -9.792 78 26.6
191.421 -65.3461 -9.792 78 127.5
44.1741 -31.2053 -6.656 79 371.25
7.36237 -7.05056 -6.656 79 143.5
41.72 -32.5545 -6.656 79 713.9
166.88 -56.8448 -3.52 80 112
39.2659 -31.2053 -3.52 80 324.55
-17.1788 86.4639 2.752 82 24.2
-2.45413 52.4586 5.888 83 26.55
24.5412 -14.2027 12.16 85 165.8
122.706 45.3065 18.432 87 22.6
19.6329 -14.2027 21.568 88 2463.75
132.522 -70.8781 24.704 89 113.35
98.1647 19.8025 24.704 89 23.25
22.0871 -15.5519 43.52 95 325.75
17.1788 -15.5519 52.928 98 2223.65
14.7247 -14.2027 62.336 101 2380.45
125.16 24.0532 71.744 104 27.55
85.8941 -43.9573 78.016 106 74.3
157.064 -56.8448 78.016 106 159.55
36.8118 -18.4534 87.424 109 262.75
14.7247 -11.3012 87.424 109 560.7
34.3577 -19.8025 87.424 109 109.75
-100.619 -94.9652 93.696 111 29.25
-63.8071 -39.7067 93.696 111 34.5
-19.6329 -22.704 96.832 112 23.7
51.5365 -58.0584 121.92 120 86.9
49.0824 -56.7093 121.92 120 457.9
24.5412 -31.2053 121.92 120 107.3
53.9906 -53.8078 121.92 120 791.25
17.1788 -18.4534 125.056 121 910
24.5412 -36.8052 125.056 121 147.1
46.6282 -58.0584 125.056 121 91.95
17.1788 -60.9599 156.416 131 29.05
17.1788 -41.0558 162.688 133 29.9
-78.5318 215.4 178.368 138 42.4
46.6282 -60.9599 178.368 138 34.25
14.7247 -19.8025 178.368 138 156.4
-41.72 117.568 181.504 139 37.75
-49.0824 164.393 181.504 139 36.1
31.9035 -69.4613 181.504 139 31.1
12.2706 -15.5519 184.64 140 783.2
68.7153 -62.3091 187.776 141 31.45
12.2706 -18.4534 194.048 143 1478.85
191.421 104.883 197.184 144 30.15
220.871 70.8781 200.32 145 34
-78.5318 -31.2053 209.728 148 33.05
-7.62939e-06 -87.813 222.272 152 38.2
2.45413 -18.4534 225.408 153 105.85
7.36235 -100.565 231.68 155 35.25
73.6235 -130.32 234.816 156 29.65
53.9906 -133.221 234.816 156 33.5
-240.504 70.8781 244.224 159 21.4
-152.155 -121.886 250.496 161 21.15
9.81648 -14.2027 256.768 163 338.35
24.5412 -201.367 266.176 166 35.8
9.81648 -19.8025 266.176 166 686.05
-171.788 -184.364 266.176 166 22.15
-83.44 -28.3038 269.312 167 34.55
-58.8988 -87.813 269.312 167 24.55
-29.4494 -141.858 272.448 168 30.5
-26.9953 -134.57 275.584 169 33.9
-14.7247 -206.899 281.856 171 32.1
230.687 -121.886 284.992 172 32.95
191.421 -99.3513 284.992 172 37.4
58.8988 -79.3117 288.128 173 31.9
-9.81648 -232.403 288.128 173 33.65
7.36237 -18.4534 291.264 174 1486.35
93.2565 -53.8078 294.4 175 35.25
137.431 -96.3821 294.4 175 33.7
117.798 53.8078 297.536 176 35.2
29.4494 -141.858 297.536 176 31.75
-3.8147e-06 -243.874 300.672 177 33.5
-36.8118 -15.5519 306.944 179 33.25
7.36237 -15.5519 310.08 180 490.15
44.1741 -155.891 310.08 180 33.15
4.90825 -19.8025 319.488 183 114.1
19.6329 -31.2053 319.488 183 103.95
-39.2659 -39.7067 338.304 189 28.75
196.329 -5.83687 344.576 191 29.75
-24.5412 -19.8025 347.712 192 32.1
49.0824 82.2132 353.984 194 25.5
68.7153 99.2159 357.12 195 25.5
53.9906 73.7119 357.12 195 27.75
120.252 -7.05056 357.12 195 39.9
196.329 -22.8395 360.256 196 33.05
-49.0824 158.861 360.256 196 34.7
171.788 2.86764 363.392 197 31.65
4.90822 -39.7067 363.392 197 36.55
171.788 19.8703 366.528 198 38.3
24.5412 -87.813 372.8 200 31.05
4.90825 -14.2027 391.616 206 338.6
58.8988 73.7119 397.888 208 23.1
2.45413 -15.5519 407.296 211 206
250.32 -2.86764 441.792 222 27.65
78.5318 -82.2132 451.2 225 36.45
-215.962 22.8395 454.336 226 23.45
71.1694 -69.4613 454.336 226 35.05
147.247 90.85 457.472 227 32.15
186.513 -164.393 460.608 228 39.75
132.522 -116.354 460.608 228 35.4
98.1647 -19.8025 473.152 232 38.3
-1.33514e-05 -14.2027 488.832 237 149.6
68.7153 -147.39 510.784 244 32.2
206.146 -62.3768 526.464 249 67.2
-1.33514e-05 -11.3012 548.416 256 177.45
88.3483 -14.2027 564.096 261 39.55
-14.7247 -116.218 570.368 263 37.75
-14.7247 -79.3117 573.504 264 38.15
-7.36236 -100.565 579.776 266 40.25
-12.2706 -120.469 589.184 269 36.35
-2.45413 -9.95207 623.68 280 140.1
110.435 -49.5571 626.816 281 37
122.706 -189.897 655.04 290 31.3
161.972 -65.3461 689.536 301 34.25
46.6282 -24.0532 695.808 303 22
83.44 -28.3038 698.944 304 36.8
49.0824 -14.2027 698.944 304 35.25
76.0776 -15.5519 705.216 306 37.35
147.247 11.3012 705.216 306 32.55
-71.1694 -109.066 736.576 316 27.4
-1.33514e-05 -5.70141 761.664 324 104.75
-2.45413 92.0637 793.024 334 1219.3
-2.45412 94.9652 793.024 334 362.6
-5.72205e-06 96.3143 793.024 334 143.15
-4.90824 96.3143 793.024 334 113
-4.90824 90.7145 793.024 334 600.75
-2.45413 83.5624 793.024 334 191.1
-7.36236 92.0637 793.024 334 139.5
-2.45412 86.4639 793.024 334 1057.3
-7.36236 24.0532 793.024 334 64.65
-7.62939e-06 87.813 793.024 334 2772.35
-4.90824 87.813 793.024 334 462.6
2.45411 94.9652 796.16 335 194.7
12.2706 52.4586 796.16 335 128.5
9.81646 90.7145 796.16 335 131.25
7.36234 94.9652 796.16 335 87.85
2.45411 92.0637 796.16 335 1350.8
2.45411 58.0584 796.16 335 75.75
4.90823 90.7145 796.16 335 1298.35
4.90822 53.8078 796.16 335 82.6
7.36234 92.0637 796.16 335 240.3
2.45411 83.5624 796.16 335 1523.7
14.7247 53.8078 796.16 335 91.45
2.45411 86.4639 796.16 335 2992.7
9.81646 87.813 796.16 335 727.5
4.90822 56.7093 796.16 335 114.25
7.36237 24.0532 796.16 335 97.5
-7.62939e-06 90.7145 796.16 335 2372.5
7.36234 86.4639 796.16 335 2194.65
4.90823 87.813 796.16 335 2830.15
12.2706 86.4639 796.16 335 450.9
7.36237 18.4534 796.16 335 122.2
4.90822 82.2132 796.16 335 1477.7
-9.53674e-06 82.2132 796.16 335 247
14.7247 73.7119 799.296 336 1610.6
19.633 73.7119 799.296 336 569.65
12.2706 75.0611 799.296 336 1455.15
12.2706 77.9626 799.296 336 2263.1
12.2706 83.5624 799.296 336 1326.8
12.2706 69.4613 799.296 336 413.4
9.81646 73.7119 799.296 336 493
9.81646 82.2132 799.296 336 2349.1
12.2706 66.5598 799.296 336 182.55
14.7247 65.2106 799.296 336 535.5
14.7247 70.8104 799.296 336 1481.6
7.36234 83.5624 799.296 336 2643.5
9.81646 79.3117 799.296 336 1817.25
9.81646 70.8104 799.296 336 113.75
7.36234 75.0611 799.296 336 185.8
14.7247 82.2132 799.296 336 642.15
19.633 70.8104 799.296 336 908.8
4.90822 79.3117 799.296 336 460.05
7.36234 77.9626 799.296 336 839.65
17.1788 83.5624 799.296 336 75.85
17.1788 77.9626 799.296 336 643.1
19.633 79.3117 799.296 336 87.65
17.1788 75.0611 799.296 336 1224.85
17.1788 69.4613 799.296 336 1524.55
14.7247 79.3117 799.296 336 1107.45
22.0871 69.4613 802.432 337 341.4
17.1788 43.9573 802.432 337 205.95
17.1788 58.0584 802.432 337 487.05
17.1788 60.9599 802.432 337 775.5
17.1788 66.5598 802.432 337 1306.8
17.1788 52.4586 802.432 337 266.2
14.7247 62.3091 802.432 337 235.35
19.633 48.208 802.432 337 557.65
19.633 65.2106 802.432 337 1270.85
19.633 62.3091 802.432 337 1292.25
24.5412 62.3091 802.432 337 287.55
22.0871 60.9599 802.432 337 981.1
19.633 56.7093 802.432 337 934.3
22.0871 58.0584 802.432 337 1011.75
24.5412 56.7093 802.432 337 489.15
26.9953 58.0584 802.432 337 86.2
24.5412 65.2106 802.432 337 238.75
17.1788 49.5571 802.432 337 180.65
22.0871 66.5598 802.432 337 623.1
19.633 53.8078 802.432 337 801.05
26.9953 43.9573 805.568 338 176.75
19.6329 22.704 805.568 338 322
14.7247 31.2053 805.568 338 76.75
22.0871 24.0532 805.568 338 138.6
26.9953 52.4586 805.568 338 125.65
19.6329 19.8025 805.568 338 155.5
17.1788 18.4534 805.568 338 278.7
14.7247 19.8025 805.568 338 276.5
12.2706 18.4534 805.568 338 140.65
14.7247 14.2027 805.568 338 164.15
14.7247 28.3038 805.568 338 148.5
17.1788 15.5519 805.568 338 143.2
22.0871 43.9573 805.568 338 829.45
26.9953 49.5571 805.568 338 141.15
22.0871 41.0558 805.568 338 832.4
24.5412 45.3065 805.568 338 499.75
22.0871 49.5571 805.568 338 856.5
24.5412 48.208 805.568 338 685.15
22.0871 35.456 805.568 338 575.8
24.5412 39.7067 805.568 338 447
24.5412 53.8078 805.568 338 540
22.0871 52.4586 805.568 338 915.15
12.2706 24.0532 805.568 338 66.45
17.1788 41.0558 805.568 338 213.15
17.1788 35.456 805.568 338 281.3
17.1788 32.5545 805.568 338 340.55
24.5412 36.8052 805.568 338 302.3
26.9953 41.0558 805.568 338 143.7
17.1788 26.9547 805.568 338 437.15
19.633 45.3065 805.568 338 537.7
19.633 39.7067 805.568 338 574.95
19.633 36.8052 805.568 338 692.4
19.6329 31.2053 805.568 338 581.9
24.5412 31.2053 808.704 339 135.55
19.6329 28.3038 808.704 339 451.05
24.5412 28.3038 808.704 339 109.15
22.0871 26.9547 808.704 339 234.05
17.1788 24.0532 808.704 339 464.2
14.7247 22.704 808.704 339 258.5
22.0871 32.5545 808.704 339 500.7
-95.7106 86.4639 814.976 341 37.9
-95.7106 94.9652 818.112 342 41.5
-152.155 189.897 821.248 343 37.4
-22.0871 120.469 830.656 346 35.65
-34.3576 167.362 833.792 347 32.9
-127.614 130.387 833.792 347 38.4
98.1647 70.8104 855.744 354 36.3
206.146 141.858 855.744 354 37.55
-29.4494 181.395 862.016 356 36.55
-171.788 2.86764 862.016 356 22.5
147.247 130.387 862.016 356 39.2
-186.513 96.3821 862.016 356 39.5
-142.339 82.3487 871.424 359 49.7
-211.054 133.357 874.56 360 42.4
-147.247 90.85 877.696 361 36.45
9.81647 164.393 905.92 370 41.45
34.3576 167.362 909.056 371 45.55
44.1741 189.897 912.192 372 39.55
-4.90825 -5.70141 924.736 376 105.7
46.6282 52.4586 927.872 377 23.2
58.8988 243.874 931.008 378 41.05
49.0823 164.393 943.552 382 41.3
53.9906 138.889 943.552 382 35.7
103.073 172.894 949.824 384 41.3
95.7106 86.4639 956.096 386 35.2
137.431 209.868 956.096 386 42.3
-24.5412 240.904 965.504 389 39.5
-186.513 28.3716 968.64 390 26.4
-245.412 -62.3768 987.456 396 29.5
-2.45413 35.456 1009.41 403 22
-171.788 -116.354 1015.68 405 24.75
39.2659 96.3143 1065.86 421 21.65
-71.1694 32.5545 1090.94 429 23.1
-132.522 -116.354 1097.22 431 21.35
-201.238 -150.359 1097.22 431 22.4
-152.155 -138.889 1097.22 431 27.2
-53.9906 45.3065 1119.17 438 22.6
-100.619 -9.95207 1125.44 440 20.5
-137.431 -96.3821 1125.44 440 23.6
-147.247 28.3716 1125.44 440 28.5
39.2659 -39.7067 1134.85 443 23.6
73.6235 22.704 1144.26 446 22.65
44.1741 36.8052 1181.89 458 24.7
68.7153 53.8078 1197.57 463 25
-112.889 -56.7093 1219.52 470 20.95
-166.88 11.369 1219.52 470 21.75
-90.8024 41.0558 1225.79 472 20.35
-9.81648 -19.8025 1228.93 473 20.3
-7.36236 -26.9547 1232.06 474 30
2.4541 52.4586 1254.02 481 20.1
17.1788 100.565 1260.29 483 24.5
-56.4447 58.0584 1269.7 486 22.4
93.2565 31.2053 1291.65 493 22.75
51.5365 9.95207 1291.65 493 21.75
-51.5365 9.95207 1294.78 494 20.25
-39.2659 53.8078 1301.06 496 23.45
-112.889 -206.899 1304.19 497 23.1
-68.7153 -121.818 1307.33 498 25.4
-56.4447 -128.97 1307.33 498 28.6
-49.0824 82.2132 1307.33 498 20.25
-53.9906 -133.221 1307.33 498 20.9
49.0824 28.3038 1310.46 499 21.65
