#      d + 10Be
#10Be(d,d)10Be(3- 7.400) ELAB= 19.000
#10Be(d,d)10Be(2+ 7.500) ELAB= 19.000
   Angel	ELab=19.00(d+10Be)AAEx=7.400(d+10Be|3-)AA,ELab=19.00Ex=7.500(d+10Be|2+)AA,ELab=19.00
 144.000	           1.393000           1.666900           2.519300
 145.000	           1.311000           1.587800           2.401600
 146.000	           1.227000           1.506000           2.279700
 147.000	           1.143000           1.422300           2.155400
 148.000	           1.060000           1.337600           2.030800
 149.000	           0.980000           1.252900           1.907700
 150.000	           0.906000           1.169000           1.788000
 151.000	           0.839300           1.086700           1.673600
 152.000	           0.782000           1.007000           1.566200
 153.000	           0.735600           0.930460           1.467400
 154.000	           0.701900           0.857870           1.378700
 155.000	           0.682100           0.789820           1.301200
 156.000	           0.677300           0.726800           1.236000
 157.000	           0.688500           0.669250           1.183800
 158.000	           0.716000           0.617470           1.145200
 159.000	           0.760200           0.571680           1.120400
 160.000	           0.820800           0.531980           1.109300
 161.000	           0.897400           0.498360           1.111800
 162.000	           0.989100           0.470720           1.127100
 163.000	           1.095000           0.448860           1.154600
 164.000	           1.213000           0.432470           1.193200
 165.000	           1.342000           0.421170           1.241600
 166.000	           1.479000           0.414520           1.298500
 167.000	           1.623000           0.412010           1.362200
 168.000	           1.770000           0.413060           1.431100
 169.000	           1.919000           0.417100           1.503400
 170.000	           2.066000           0.423490           1.577300
 171.000	           2.210000           0.431610           1.650800
 172.000	           2.347000           0.440850           1.722400
 173.000	           2.474000           0.450620           1.790100
 174.000	           2.590000           0.460340           1.852500
 175.000	           2.692000           0.469520           1.907900
 176.000	           2.779000           0.477680           1.955200
 177.000	           2.848000           0.484450           1.993200
 178.000	           2.898000           0.489510           2.020900
 179.000	           2.928000           0.492640           2.037900
 180.000	           2.939000           0.493700           2.043500
