1.312 322.626 322.626 339.201 339.201
1.321 326.759 326.759 343.495 343.495
1.330 330.891 330.891 347.788 347.788
1.340 335.023 335.023 352.082 352.082
1.349 339.155 339.155 356.375 356.375
1.358 343.288 343.288 360.669 360.669
1.368 347.420 347.420 364.962 364.962
1.377 351.552 351.552 369.256 369.256
1.386 355.685 355.685 373.549 373.549
1.396 359.817 359.817 377.843 377.843
1.405 363.949 363.949 382.136 382.136
1.415 368.082 368.082 386.430 386.430
1.424 372.214 372.214 390.723 390.723
1.433 376.346 376.346 395.016 395.016
1.443 380.479 380.479 399.310 399.310
1.452 384.611 384.611 403.603 403.603
1.461 388.743 388.743 407.897 407.897
1.471 392.876 392.876 412.190 412.190
1.480 397.008 397.008 416.484 416.484
1.489 401.140 401.140 420.777 420.777
1.499 405.272 405.272 425.071 425.071
1.508 409.922 409.922 429.886 429.886
1.518 414.645 414.645 434.776 434.776
1.527 419.369 419.369 439.666 439.666
1.536 424.092 424.092 444.555 444.555
1.546 428.816 428.816 449.445 449.445
1.555 433.539 433.539 454.335 454.335
1.564 438.263 438.263 459.225 459.225
1.574 442.986 442.986 464.115 464.115
1.583 447.709 447.709 469.005 469.005
1.592 452.433 452.433 473.894 473.894
1.602 457.156 457.156 478.784 478.784
1.611 461.880 461.880 483.674 483.674
1.621 466.603 466.603 488.564 488.564
1.630 471.327 471.327 493.454 493.454
1.639 476.050 476.050 498.344 498.344
1.649 480.774 480.774 503.233 503.233
1.658 485.497 485.497 508.123 508.123
1.667 490.221 490.221 513.013 513.013
1.677 494.944 494.944 517.903 517.903
1.686 499.667 499.667 522.793 522.793
1.695 504.391 504.391 527.683 527.683
1.705 509.114 509.114 532.572 532.572
1.714 513.838 513.838 537.462 537.462
1.724 518.561 518.561 542.352 542.352
1.733 523.285 523.285 547.242 547.242
1.742 528.008 528.008 552.132 552.132
1.752 532.830 532.830 557.120 557.120
1.761 538.133 538.133 562.590 562.590
1.770 543.436 543.436 568.061 568.061
1.780 548.739 548.739 573.531 573.531
1.789 554.042 554.042 579.002 579.002
1.798 559.345 559.345 584.473 584.473
1.808 564.648 564.648 589.943 589.943
1.817 569.951 569.951 595.414 595.414
1.826 575.254 575.254 600.884 600.884
1.836 580.557 580.557 606.355 606.355
1.845 585.860 585.860 611.825 611.825
1.855 591.163 591.163 617.296 617.296
1.864 596.466 596.466 622.766 622.766
1.873 601.769 601.769 628.237 628.237
1.883 607.072 607.072 633.707 633.707
1.892 612.375 612.375 639.178 639.178
1.901 617.678 617.678 644.648 644.648
1.911 622.981 622.981 650.119 650.119
1.920 628.284 628.284 655.589 655.589
1.929 633.587 633.587 661.060 661.060
1.939 638.890 638.890 666.530 666.530
1.948 644.193 644.193 672.001 672.001
1.958 649.496 649.496 677.471 677.471
1.967 654.799 654.799 682.942 682.942
1.976 660.102 660.102 688.412 688.412
1.986 665.405 665.405 693.883 693.883
1.995 670.708 670.708 699.353 699.353
2.004 676.275 676.275 705.088 705.088
2.014 682.148 682.148 711.126 711.126
2.023 688.021 688.021 717.165 717.165
2.032 693.894 693.894 723.204 723.204
2.042 699.767 699.767 729.243 729.243
2.051 705.640 705.640 735.282 735.282
2.061 711.513 711.513 741.321 741.321
2.070 717.386 717.386 747.359 747.359
2.079 723.259 723.259 753.398 753.398
2.089 729.132 729.132 759.437 759.437
2.098 735.005 735.005 765.476 765.476
2.107 740.878 740.878 771.515 771.515
2.117 746.751 746.751 777.554 777.554
2.126 752.624 752.624 783.592 783.592
2.135 758.497 758.497 789.631 789.631
2.145 764.370 764.370 795.670 795.670
2.154 770.243 770.243 801.709 801.709
2.163 776.116 776.116 807.748 807.748
2.173 781.989 781.989 813.786 813.786
2.182 787.862 787.862 819.825 819.825
2.192 793.735 793.735 825.864 825.864
2.201 799.608 799.608 831.903 831.903
2.210 805.481 805.481 837.942 837.942
2.220 811.354 811.354 843.981 843.981
2.229 817.226 817.226 850.019 850.019
2.238 823.099 823.099 856.058 856.058
2.248 828.972 828.972 862.097 862.097
2.257 835.277 835.272 868.559 868.559
2.266 841.719 841.706 875.156 875.156
2.276 848.161 848.141 881.753 881.753
2.285 854.603 854.576 888.350 888.350
2.295 861.046 861.011 894.947 894.947
2.304 867.488 867.446 901.544 901.544
2.313 873.930 873.880 908.141 908.141
2.323 880.372 880.315 914.738 914.738
2.332 886.814 886.750 921.335 921.335
2.341 893.256 893.185 927.932 927.932
2.351 899.698 899.620 934.529 934.529
2.360 906.140 906.054 941.126 941.126
2.369 912.582 912.489 947.723 947.723
2.379 919.024 918.924 954.320 954.320
2.388 925.466 925.359 960.917 960.917
2.398 931.908 931.794 967.514 967.514
2.407 938.350 938.228 974.111 974.111
2.416 944.793 944.663 980.708 980.708
2.426 951.235 951.098 987.305 987.305
2.435 957.677 957.533 993.902 993.902
2.444 964.119 963.968 1000.500 1000.500
2.454 970.561 970.402 1007.100 1007.100
2.463 977.003 976.837 1013.690 1013.690
2.472 983.445 983.272 1020.290 1020.290
2.482 989.887 989.707 1026.890 1026.890
2.491 996.329 996.142 1033.480 1033.480
2.501 1002.830 1002.620 1040.120 1040.120
2.510 1010.310 1009.880 1047.540 1047.540
2.519 1017.790 1017.150 1054.960 1054.960
2.529 1025.280 1024.410 1062.380 1062.380
2.538 1032.760 1031.680 1069.790 1069.790
2.547 1040.240 1038.940 1077.210 1077.210
2.557 1047.730 1046.200 1084.630 1084.630
2.566 1055.210 1053.470 1092.050 1092.050
2.575 1062.700 1060.730 1099.460 1099.460
2.585 1070.180 1068.000 1106.880 1106.880
2.594 1077.660 1075.260 1114.300 1114.300
2.603 1085.150 1082.520 1121.720 1121.720
2.613 1092.630 1089.790 1129.130 1129.130
2.622 1100.110 1097.050 1136.550 1136.550
2.632 1107.600 1104.310 1143.970 1143.970
2.641 1115.080 1111.580 1151.390 1151.390
2.650 1122.560 1118.840 1158.810 1158.810
2.660 1130.050 1126.110 1166.220 1166.220
2.669 1137.530 1133.370 1173.640 1173.640
2.678 1145.010 1140.630 1181.060 1181.060
2.688 1152.500 1147.900 1188.480 1188.480
2.697 1159.980 1155.160 1195.890 1195.890
2.706 1167.470 1162.430 1203.310 1203.310
2.716 1174.950 1169.690 1210.730 1210.730
2.725 1182.430 1176.950 1218.150 1218.150
2.735 1189.920 1184.220 1225.560 1225.560
2.744 1197.400 1191.480 1232.980 1232.980
2.753 1204.880 1198.750 1240.400 1240.400
2.763 1212.370 1206.010 1247.820 1247.820
2.772 1219.850 1213.270 1255.230 1255.230
2.781 1227.330 1220.540 1262.650 1262.650
2.791 1234.820 1227.800 1270.070 1270.070
2.800 1242.300 1235.060 1277.490 1277.490
2.809 1249.780 1242.330 1284.900 1284.900
2.819 1257.270 1249.590 1292.320 1292.320
2.828 1264.750 1256.860 1299.740 1299.740
2.838 1272.230 1264.120 1307.160 1307.160
2.847 1279.720 1271.380 1314.570 1314.570
2.856 1287.200 1278.650 1321.990 1321.990
2.866 1294.690 1285.910 1329.410 1329.410
2.875 1302.170 1293.180 1336.830 1336.830
2.884 1309.650 1300.440 1344.240 1344.240
2.894 1317.140 1307.700 1351.660 1351.660
2.903 1324.620 1314.970 1359.080 1359.080
2.912 1332.100 1322.230 1366.500 1366.500
2.922 1339.590 1329.490 1373.910 1373.910
2.931 1347.070 1336.760 1381.330 1381.330
2.940 1354.550 1344.020 1388.750 1388.750
2.950 1362.040 1351.290 1396.170 1396.170
2.959 1369.520 1358.550 1403.580 1403.580
2.969 1377.000 1365.810 1411.000 1411.000
2.978 1384.490 1373.080 1418.420 1418.420
2.987 1391.970 1380.340 1425.840 1425.840
2.997 1399.460 1387.610 1433.250 1433.250
3.006 1407.640 1395.570 1441.360 1441.360
3.015 1416.210 1403.920 1449.850 1449.850
3.025 1424.780 1412.270 1458.340 1458.340
3.034 1433.360 1420.620 1466.830 1466.830
3.043 1441.930 1428.970 1475.320 1475.320
3.053 1450.500 1437.320 1483.810 1483.810
3.062 1459.070 1445.670 1492.300 1492.300
3.072 1467.650 1454.020 1500.780 1500.780
3.081 1476.220 1462.370 1509.270 1509.270
3.090 1484.790 1470.720 1517.760 1517.760
3.100 1493.360 1479.070 1526.250 1526.250
3.109 1501.940 1487.420 1534.740 1534.740
3.118 1510.510 1495.770 1543.230 1543.230
3.128 1519.080 1504.120 1551.720 1551.720
3.137 1527.650 1512.470 1560.210 1560.210
3.146 1536.230 1520.820 1568.700 1568.700
