#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
15 25.1427 0 4.75433e-14 275
15.1 99.1689 3.53868 177.255 271.461
15.2 108.321 13.8083 174.67 261.192
15.3 117.441 29.8037 172.415 245.196
15.4 126.517 49.959 170.674 225.041
15.5 135.542 72.3013 169.651 202.699
15.6 144.514 94.6436 169.559 180.356
15.7 153.436 114.799 170.582 160.201
15.8 162.316 130.794 172.798 144.206
15.9 171.166 141.064 176.078 133.936
16 180 144.603 180 130.397
16.1 8.83408 141.064 3.92232 133.936
16.2 17.684 130.794 7.20168 144.206
16.3 26.5641 114.799 9.41839 160.201
16.4 35.4863 94.6436 10.4407 180.356
16.5 44.4582 72.3013 10.3487 202.699
16.6 53.4833 49.959 9.3263 225.041
16.7 62.5593 29.8037 7.58532 245.196
16.8 71.6791 13.8083 5.32969 261.192
16.9 80.8311 3.53868 2.74488 271.461
17 172.701 0 180 275
17.1 99.1689 3.53868 177.255 271.461
17.2 108.321 13.8083 174.67 261.192
17.3 117.441 29.8037 172.415 245.196
17.4 126.517 49.959 170.674 225.041
17.5 135.542 72.3013 169.651 202.699
17.6 144.514 94.6436 169.559 180.356
17.7 153.436 114.799 170.582 160.201
17.8 162.316 130.794 172.798 144.206
17.9 171.166 141.064 176.078 133.936
18 180 144.603 180 130.397
18.1 8.83408 141.064 3.92232 133.936
18.2 17.684 130.794 7.20168 144.206
18.3 26.5641 114.799 9.41839 160.201
18.4 35.4863 94.6436 10.4407 180.356
18.5 44.4582 72.3013 10.3487 202.699
18.6 53.4833 49.959 9.3263 225.041
18.7 62.5593 29.8037 7.58532 245.196
18.8 71.6791 13.8083 5.32969 261.192
18.9 80.8311 3.53868 2.74488 271.461
19 27.1125 0 5.18644e-14 275
19.1 99.1689 3.53868 177.255 271.461
19.2 108.321 13.8083 174.67 261.192
19.3 117.441 29.8037 172.415 245.196
19.4 126.517 49.959 170.674 225.041
19.5 135.542 72.3013 169.651 202.699
19.6 144.514 94.6436 169.559 180.356
19.7 153.436 114.799 170.582 160.201
19.8 162.316 130.794 172.798 144.206
19.9 171.166 141.064 176.078 133.936
20 180 144.603 180 130.397
20.1 8.83408 141.064 3.92232 133.936
20.2 17.684 130.794 7.20168 144.206
20.3 26.5641 114.799 9.41839 160.201
20.4 35.4863 94.6436 10.4407 180.356
20.5 44.4582 72.3013 10.3487 202.699
20.6 53.4833 49.959 9.3263 225.041
20.7 62.5593 29.8037 7.58532 245.196
20.8 71.6791 13.8083 5.32969 261.192
20.9 80.8311 3.53868 2.74488 271.461
21 175.117 0 180 275
21.1 99.1689 3.53868 177.255 271.461
21.2 108.321 13.8083 174.67 261.192
21.3 117.441 29.8037 172.415 245.196
21.4 126.517 49.959 170.674 225.041
21.5 135.542 72.3013 169.651 202.699
21.6 144.514 94.6436 169.559 180.356
21.7 153.436 114.799 170.582 160.201
21.8 162.316 130.794 172.798 144.206
21.9 171.166 141.064 176.078 133.936
22 180 144.603 180 130.397
22.1 8.83408 141.064 3.92232 133.936
22.2 17.684 130.794 7.20168 144.206
22.3 26.5641 114.799 9.41839 160.201
22.4 35.4863 94.6436 10.4407 180.356
22.5 44.4582 72.3013 10.3487 202.699
22.6 53.4833 49.959 9.3263 225.041
22.7 62.5593 29.8037 7.58532 245.196
22.8 71.6791 13.8083 5.32969 261.192
22.9 80.8311 3.53868 2.74488 271.461
23 29.0154 0 5.61856e-14 275
23.1 99.1689 3.53868 177.255 271.461
23.2 108.321 13.8083 174.67 261.192
23.3 117.441 29.8037 172.415 245.196
23.4 126.517 49.959 170.674 225.041
23.5 135.542 72.3013 169.651 202.699
23.6 144.514 94.6436 169.559 180.356
23.7 153.436 114.799 170.582 160.201
23.8 162.316 130.794 172.798 144.206
23.9 171.166 141.064 176.078 133.936
24 180 144.603 180 130.397
24.1 8.83408 141.064 3.92232 133.936
24.2 17.684 130.794 7.20168 144.206
24.3 26.5641 114.799 9.41839 160.201
24.4 35.4863 94.6436 10.4407 180.356
24.5 44.4582 72.3013 10.3487 202.699
24.6 53.4833 49.959 9.3263 225.041
24.7 62.5593 29.8037 7.58532 245.196
24.8 71.6791 13.8083 5.32969 261.192
24.9 80.8311 3.53868 2.74488 271.461
25 177.551 0 180 275
25.1 99.1689 3.53868 177.255 271.461
25.2 108.321 13.8083 174.67 261.192
25.3 117.441 29.8037 172.415 245.196
25.4 126.517 49.959 170.674 225.041
25.5 135.542 72.3013 169.651 202.699
25.6 144.514 94.6436 169.559 180.356
25.7 153.436 114.799 170.582 160.201
25.8 162.316 130.794 172.798 144.206
25.9 171.166 141.064 176.078 133.936
26 1.10234e-13 144.603 5.0409e-14 130.397
26.1 8.83408 141.064 3.92232 133.936
26.2 17.684 130.794 7.20168 144.206
26.3 26.5641 114.799 9.41839 160.201
26.4 35.4863 94.6436 10.4407 180.356
26.5 44.4582 72.3013 10.3487 202.699
26.6 53.4833 49.959 9.3263 225.041
26.7 62.5593 29.8037 7.58532 245.196
26.8 71.6791 13.8083 5.32969 261.192
26.9 80.8311 3.53868 2.74488 271.461
27 30.8506 0 6.05067e-14 275
27.1 99.1689 3.53868 177.255 271.461
27.2 108.321 13.8083 174.67 261.192
27.3 117.441 29.8037 172.415 245.196
27.4 126.517 49.959 170.674 225.041
27.5 135.542 72.3013 169.651 202.699
27.6 144.514 94.6436 169.559 180.356
27.7 153.436 114.799 170.582 160.201
27.8 162.316 130.794 172.798 144.206
27.9 171.166 141.064 176.078 133.936
28 180 144.603 180 130.397
28.1 8.83408 141.064 3.92232 133.936
28.2 17.684 130.794 7.20168 144.206
28.3 26.5641 114.799 9.41839 160.201
28.4 35.4863 94.6436 10.4407 180.356
