#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
14.7 83.3868 24.9656 5.40803 232.982
14.8 102.6 13.7345 3.83396 244.213
14.9 131.766 6.52368 1.98512 251.424
15 180 4.03899 3.44446e-14 253.908
15.1 48.2344 6.52368 178.015 251.424
15.2 77.4001 13.7345 176.166 244.213
15.3 96.6132 24.9656 174.592 232.982
15.4 111.651 39.1177 173.433 218.83
15.5 124.686 54.8054 172.828 203.142
15.6 136.625 70.4931 172.898 187.454
15.7 147.913 84.6451 173.718 173.302
15.8 158.802 95.8762 175.283 162.071
15.9 169.455 103.087 177.465 154.86
16 180 105.572 180 152.376
16.1 10.5446 103.087 2.53514 154.86
16.2 21.1984 95.8762 4.71666 162.071
16.3 32.0868 84.6451 6.28198 173.302
16.4 43.3748 70.4931 7.10241 187.454
16.5 55.3141 54.8054 7.17164 203.142
16.6 68.3486 39.1177 6.56655 218.83
16.7 83.3868 24.9656 5.40803 232.982
16.8 102.6 13.7345 3.83396 244.213
16.9 131.766 6.52368 1.98512 251.424
17 2.55795e-13 4.03899 180 253.908
17.1 48.2344 6.52368 178.015 251.424
17.2 77.4001 13.7345 176.166 244.213
17.3 96.6132 24.9656 174.592 232.982
17.4 111.651 39.1177 173.433 218.83
17.5 124.686 54.8054 172.828 203.142
17.6 136.625 70.4931 172.898 187.454
17.7 147.913 84.6451 173.718 173.302
17.8 158.802 95.8762 175.283 162.071
17.9 169.455 103.087 177.465 154.86
18 180 105.572 180 152.376
18.1 10.5446 103.087 2.53514 154.86
18.2 21.1984 95.8762 4.71666 162.071
18.3 32.0868 84.6451 6.28198 173.302
18.4 43.3748 70.4931 7.10241 187.454
18.5 55.3141 54.8054 7.17164 203.142
18.6 68.3486 39.1177 6.56655 218.83
18.7 83.3868 24.9656 5.40803 232.982
18.8 102.6 13.7345 3.83396 244.213
18.9 131.766 6.52368 1.98512 251.424
19 180 4.03899 3.75752e-14 253.908
19.1 48.2344 6.52368 178.015 251.424
19.2 77.4001 13.7345 176.166 244.213
19.3 96.6132 24.9656 174.592 232.982
19.4 111.651 39.1177 173.433 218.83
19.5 124.686 54.8054 172.828 203.142
19.6 136.625 70.4931 172.898 187.454
19.7 147.913 84.6451 173.718 173.302
19.8 158.802 95.8762 175.283 162.071
19.9 169.455 103.087 177.465 154.86
20 180 105.572 180 152.376
20.1 10.5446 103.087 2.53514 154.86
20.2 21.1984 95.8762 4.71666 162.071
20.3 32.0868 84.6451 6.28198 173.302
20.4 43.3748 70.4931 7.10241 187.454
20.5 55.3141 54.8054 7.17164 203.142
20.6 68.3486 39.1177 6.56655 218.83
20.7 83.3868 24.9656 5.40803 232.982
20.8 102.6 13.7345 3.83396 244.213
20.9 131.766 6.52368 1.98512 251.424
21 1.7053e-13 4.03899 180 253.908
21.1 48.2344 6.52368 178.015 251.424
21.2 77.4001 13.7345 176.166 244.213
21.3 96.6132 24.9656 174.592 232.982
21.4 111.651 39.1177 173.433 218.83
21.5 124.686 54.8054 172.828 203.142
21.6 136.625 70.4931 172.898 187.454
21.7 147.913 84.6451 173.718 173.302
21.8 158.802 95.8762 175.283 162.071
21.9 169.455 103.087 177.465 154.86
22 180 105.572 180 152.376
22.1 10.5446 103.087 2.53514 154.86
22.2 21.1984 95.8762 4.71666 162.071
22.3 32.0868 84.6451 6.28198 173.302
22.4 43.3748 70.4931 7.10241 187.454
22.5 55.3141 54.8054 7.17164 203.142
22.6 68.3486 39.1177 6.56655 218.83
22.7 83.3868 24.9656 5.40803 232.982
22.8 102.6 13.7345 3.83396 244.213
22.9 131.766 6.52368 1.98512 251.424
23 180 4.03899 4.07058e-14 253.908
23.1 48.2344 6.52368 178.015 251.424
23.2 77.4001 13.7345 176.166 244.213
23.3 96.6132 24.9656 174.592 232.982
23.4 111.651 39.1177 173.433 218.83
23.5 124.686 54.8054 172.828 203.142
23.6 136.625 70.4931 172.898 187.454
23.7 147.913 84.6451 173.718 173.302
23.8 158.802 95.8762 175.283 162.071
23.9 169.455 103.087 177.465 154.86
24 180 105.572 180 152.376
24.1 10.5446 103.087 2.53514 154.86
24.2 21.1984 95.8762 4.71666 162.071
24.3 32.0868 84.6451 6.28198 173.302
24.4 43.3748 70.4931 7.10241 187.454
24.5 55.3141 54.8054 7.17164 203.142
24.6 68.3486 39.1177 6.56655 218.83
24.7 83.3868 24.9656 5.40803 232.982
24.8 102.6 13.7345 3.83396 244.213
24.9 131.766 6.52368 1.98512 251.424
25 5.68434e-14 4.03899 180 253.908
25.1 48.2344 6.52368 178.015 251.424
