#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
14.7 36.7302 32.9176 7.47489 207.911
14.8 34.3824 19.5343 5.25463 221.295
14.9 23.3902 10.9416 2.70699 229.887
15 4.6464e-13 7.98079 4.68915e-14 232.848
15.1 156.61 10.9416 177.293 229.887
15.2 145.618 19.5343 174.745 221.295
15.3 143.27 32.9176 172.525 207.911
15.4 145.191 49.7817 170.816 191.047
15.5 149.274 68.4756 169.818 172.353
15.6 154.534 87.1695 169.738 153.66
15.7 160.469 104.034 170.753 136.795
15.8 166.799 117.417 172.937 123.412
15.9 173.35 126.01 176.157 114.819
16 180 128.97 180 111.859
16.1 6.65002 126.01 3.84349 114.819
16.2 13.2006 117.417 7.06263 123.412
16.3 19.5305 104.034 9.24656 136.795
16.4 25.4659 87.1695 10.2619 153.66
16.5 30.7259 68.4756 10.1822 172.353
16.6 34.8091 49.7817 9.18427 191.047
16.7 36.7302 32.9176 7.47489 207.911
16.8 34.3824 19.5343 5.25463 221.295
16.9 23.3902 10.9416 2.70699 229.887
17 180 7.98079 180 232.848
17.1 156.61 10.9416 177.293 229.887
17.2 145.618 19.5343 174.745 221.295
17.3 143.27 32.9176 172.525 207.911
17.4 145.191 49.7817 170.816 191.047
17.5 149.274 68.4756 169.818 172.353
17.6 154.534 87.1695 169.738 153.66
17.7 160.469 104.034 170.753 136.795
17.8 166.799 117.417 172.937 123.412
17.9 173.35 126.01 176.157 114.819
18 180 128.97 180 111.859
18.1 6.65002 126.01 3.84349 114.819
18.2 13.2006 117.417 7.06263 123.412
18.3 19.5305 104.034 9.24656 136.795
18.4 25.4659 87.1695 10.2619 153.66
18.5 30.7259 68.4756 10.1822 172.353
18.6 34.8091 49.7817 9.18427 191.047
18.7 36.7302 32.9176 7.47489 207.911
18.8 34.3824 19.5343 5.25463 221.295
18.9 23.3902 10.9416 2.70699 229.887
19 5.0687e-13 7.98079 5.11534e-14 232.848
19.1 156.61 10.9416 177.293 229.887
19.2 145.618 19.5343 174.745 221.295
19.3 143.27 32.9176 172.525 207.911
19.4 145.191 49.7817 170.816 191.047
19.5 149.274 68.4756 169.818 172.353
19.6 154.534 87.1695 169.738 153.66
19.7 160.469 104.034 170.753 136.795
19.8 166.799 117.417 172.937 123.412
19.9 173.35 126.01 176.157 114.819
20 180 128.97 180 111.859
20.1 6.65002 126.01 3.84349 114.819
20.2 13.2006 117.417 7.06263 123.412
20.3 19.5305 104.034 9.24656 136.795
20.4 25.4659 87.1695 10.2619 153.66
20.5 30.7259 68.4756 10.1822 172.353
20.6 34.8091 49.7817 9.18427 191.047
20.7 36.7302 32.9176 7.47489 207.911
20.8 34.3824 19.5343 5.25463 221.295
20.9 23.3902 10.9416 2.70699 229.887
21 180 7.98079 180 232.848
21.1 156.61 10.9416 177.293 229.887
21.2 145.618 19.5343 174.745 221.295
21.3 143.27 32.9176 172.525 207.911
21.4 145.191 49.7817 170.816 191.047
21.5 149.274 68.4756 169.818 172.353
21.6 154.534 87.1695 169.738 153.66
21.7 160.469 104.034 170.753 136.795
21.8 166.799 117.417 172.937 123.412
21.9 173.35 126.01 176.157 114.819
22 180 128.97 180 111.859
22.1 6.65002 126.01 3.84349 114.819
22.2 13.2006 117.417 7.06263 123.412
22.3 19.5305 104.034 9.24656 136.795
22.4 25.4659 87.1695 10.2619 153.66
22.5 30.7259 68.4756 10.1822 172.353
22.6 34.8091 49.7817 9.18427 191.047
22.7 36.7302 32.9176 7.47489 207.911
22.8 34.3824 19.5343 5.25463 221.295
22.9 23.3902 10.9416 2.70699 229.887
23 5.49101e-13 7.98079 5.54152e-14 232.848
23.1 156.61 10.9416 177.293 229.887
23.2 145.618 19.5343 174.745 221.295
23.3 143.27 32.9176 172.525 207.911
23.4 145.191 49.7817 170.816 191.047
23.5 149.274 68.4756 169.818 172.353
23.6 154.534 87.1695 169.738 153.66
23.7 160.469 104.034 170.753 136.795
23.8 166.799 117.417 172.937 123.412
23.9 173.35 126.01 176.157 114.819
24 180 128.97 180 111.859
24.1 6.65002 126.01 3.84349 114.819
24.2 13.2006 117.417 7.06263 123.412
24.3 19.5305 104.034 9.24656 136.795
24.4 25.4659 87.1695 10.2619 153.66
24.5 30.7259 68.4756 10.1822 172.353
24.6 34.8091 49.7817 9.18427 191.047
24.7 36.7302 32.9176 7.47489 207.911
24.8 34.3824 19.5343 5.25463 221.295
24.9 23.3902 10.9416 2.70699 229.887
25 180 7.98079 180 232.848
25.1 156.61 10.9416 177.293 229.887
25.2 145.618 19.5343 174.745 221.295
25.3 143.27 32.9176 172.525 207.911
25.4 145.191 49.7817 170.816 191.047
25.5 149.274 68.4756 169.818 172.353
25.6 154.534 87.1695 169.738 153.66
25.7 160.469 104.034 170.753 136.795
25.8 166.799 117.417 172.937 123.412
25.9 173.35 126.01 176.157 114.819
26 8.32041e-14 128.97 4.9381e-14 111.859
26.1 6.65002 126.01 3.84349 114.819
26.2 13.2006 117.417 7.06263 123.412
