#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
14.8 36.0258 19.1631 5.39809 223.166
14.9 24.9673 10.2995 2.77953 232.029
15 5.03057e-13 7.24538 4.81402e-14 235.084
15.1 155.033 10.2995 177.22 232.029
15.2 143.974 19.1631 174.602 223.166
15.3 141.945 32.9684 172.315 209.361
15.4 144.169 50.364 170.546 191.965
15.5 148.498 69.6473 169.503 172.682
15.6 153.957 88.9306 169.401 153.398
15.7 160.06 106.326 170.43 136.003
15.8 166.536 120.132 172.676 122.198
15.9 173.221 128.995 176.009 113.334
16 180 132.049 180 110.28
16.1 6.77865 128.995 3.99126 113.334
16.2 13.4637 120.132 7.32361 122.198
16.3 19.9403 106.326 9.56974 136.003
16.4 26.0431 88.9306 10.5991 153.398
16.5 31.5023 69.6473 10.4974 172.682
16.6 35.8309 50.364 9.45407 191.965
16.7 38.0555 32.9684 7.68536 209.361
16.8 36.0258 19.1631 5.39809 223.166
16.9 24.9673 10.2995 2.77953 232.029
17 180 7.24538 180 235.084
17.1 155.033 10.2995 177.22 232.029
17.2 143.974 19.1631 174.602 223.166
17.3 141.945 32.9684 172.315 209.361
17.4 144.169 50.364 170.546 191.965
17.5 148.498 69.6473 169.503 172.682
17.6 153.957 88.9306 169.401 153.398
17.7 160.06 106.326 170.43 136.003
17.8 166.536 120.132 172.676 122.198
17.9 173.221 128.995 176.009 113.334
18 180 132.049 180 110.28
18.1 6.77865 128.995 3.99126 113.334
18.2 13.4637 120.132 7.32361 122.198
18.3 19.9403 106.326 9.56974 136.003
18.4 26.0431 88.9306 10.5991 153.398
18.5 31.5023 69.6473 10.4974 172.682
18.6 35.8309 50.364 9.45407 191.965
18.7 38.0555 32.9684 7.68536 209.361
18.8 36.0258 19.1631 5.39809 223.166
18.9 24.9673 10.2995 2.77953 232.029
19 5.48779e-13 7.24538 5.25156e-14 235.084
19.1 155.033 10.2995 177.22 232.029
19.2 143.974 19.1631 174.602 223.166
19.3 141.945 32.9684 172.315 209.361
19.4 144.169 50.364 170.546 191.965
19.5 148.498 69.6473 169.503 172.682
19.6 153.957 88.9306 169.401 153.398
19.7 160.06 106.326 170.43 136.003
19.8 166.536 120.132 172.676 122.198
