 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\26_62.txt

 Ion = Iron [26] , Mass = 62 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.635E+01  1.619E-01   66.61 mm     1.81 mm     1.81 mm  
  32.50 MeV   4.734E+01  1.515E-01   69.27 mm     1.85 mm     1.82 mm  
  35.00 MeV   4.819E+01  1.425E-01   71.87 mm     1.88 mm     1.83 mm  
  37.50 MeV   4.892E+01  1.345E-01   74.44 mm     1.92 mm     1.84 mm  
  40.00 MeV   4.954E+01  1.274E-01   76.97 mm     1.95 mm     1.84 mm  
  45.00 MeV   5.052E+01  1.155E-01   81.95 mm     2.08 mm     1.86 mm  
  50.00 MeV   5.121E+01  1.057E-01   86.86 mm     2.19 mm     1.87 mm  
  55.00 MeV   5.167E+01  9.751E-02   91.71 mm     2.30 mm     1.88 mm  
  60.00 MeV   5.195E+01  9.060E-02   96.52 mm     2.40 mm     1.89 mm  
  65.00 MeV   5.208E+01  8.466E-02  101.32 mm     2.50 mm     1.90 mm  
  70.00 MeV   5.209E+01  7.949E-02  106.11 mm     2.59 mm     1.91 mm  
  80.00 MeV   5.185E+01  7.095E-02  115.72 mm     2.92 mm     1.93 mm  
  90.00 MeV   5.135E+01  6.415E-02  125.40 mm     3.23 mm     1.95 mm  
 100.00 MeV   5.069E+01  5.862E-02  135.19 mm     3.52 mm     1.97 mm  
 110.00 MeV   4.993E+01  5.401E-02  145.12 mm     3.79 mm     1.98 mm  
 120.00 MeV   4.910E+01  5.011E-02  155.20 mm     4.05 mm     2.00 mm  
 130.00 MeV   4.851E+01  4.677E-02  165.44 mm     4.30 mm     2.01 mm  
 140.00 MeV   4.779E+01  4.387E-02  175.81 mm     4.54 mm     2.03 mm  
 150.00 MeV   4.678E+01  4.133E-02  186.38 mm     4.79 mm     2.04 mm  
 160.00 MeV   4.598E+01  3.908E-02  197.15 mm     5.02 mm     2.06 mm  
