 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\31_74.txt

 Ion = Gallium [31] , Mass = 74 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.704E+01  2.572E-01   71.64 mm     1.97 mm     1.90 mm  
  32.50 MeV   4.835E+01  2.409E-01   74.62 mm     2.02 mm     1.91 mm  
  35.00 MeV   4.955E+01  2.267E-01   77.52 mm     2.06 mm     1.93 mm  
  37.50 MeV   5.064E+01  2.142E-01   80.35 mm     2.10 mm     1.94 mm  
  40.00 MeV   5.165E+01  2.031E-01   83.13 mm     2.14 mm     1.95 mm  
  45.00 MeV   5.342E+01  1.843E-01   88.54 mm     2.28 mm     1.97 mm  
  50.00 MeV   5.491E+01  1.688E-01   93.79 mm     2.40 mm     1.99 mm  
  55.00 MeV   5.616E+01  1.559E-01   98.91 mm     2.51 mm     2.00 mm  
  60.00 MeV   5.721E+01  1.450E-01  103.93 mm     2.61 mm     2.02 mm  
  65.00 MeV   5.808E+01  1.356E-01  108.87 mm     2.70 mm     2.03 mm  
  70.00 MeV   5.879E+01  1.274E-01  113.74 mm     2.79 mm     2.04 mm  
  80.00 MeV   5.983E+01  1.138E-01  123.34 mm     3.11 mm     2.07 mm  
  90.00 MeV   6.045E+01  1.031E-01  132.82 mm     3.38 mm     2.09 mm  
 100.00 MeV   6.074E+01  9.424E-02  142.22 mm     3.64 mm     2.11 mm  
 110.00 MeV   6.079E+01  8.690E-02  151.60 mm     3.87 mm     2.12 mm  
 120.00 MeV   6.064E+01  8.068E-02  160.99 mm     4.10 mm     2.14 mm  
 130.00 MeV   6.036E+01  7.534E-02  170.41 mm     4.31 mm     2.16 mm  
 140.00 MeV   5.996E+01  7.071E-02  179.88 mm     4.51 mm     2.17 mm  
 150.00 MeV   5.959E+01  6.665E-02  189.42 mm     4.71 mm     2.19 mm  
 160.00 MeV   5.939E+01  6.305E-02  199.01 mm     4.90 mm     2.20 mm  
 170.00 MeV   5.885E+01  5.985E-02  208.65 mm     5.09 mm     2.22 mm  
 180.00 MeV   5.809E+01  5.697E-02  218.40 mm     5.28 mm     2.23 mm  
 200.00 MeV   5.692E+01  5.202E-02  238.24 mm     5.98 mm     2.26 mm  
 225.00 MeV   5.540E+01  4.697E-02  263.63 mm     6.97 mm     2.30 mm  
 250.00 MeV   5.388E+01  4.287E-02  289.74 mm     7.89 mm     2.33 mm  
 275.00 MeV   5.238E+01  3.946E-02  316.58 mm     8.76 mm     2.37 mm  
 300.00 MeV   5.094E+01  3.658E-02  344.19 mm     9.59 mm     2.41 mm  
 325.00 MeV   4.955E+01  3.412E-02  372.58 mm    10.40 mm     2.44 mm  
 350.00 MeV   4.823E+01  3.198E-02  401.75 mm    11.19 mm     2.48 mm  
 375.00 MeV   4.697E+01  3.010E-02  431.72 mm    11.97 mm     2.52 mm  
 400.00 MeV   4.577E+01  2.845E-02  462.48 mm    12.73 mm     2.56 mm  
 450.00 MeV   4.353E+01  2.566E-02  526.40 mm    15.62 mm     2.64 mm  
 500.00 MeV   4.149E+01  2.339E-02  593.53 mm    18.28 mm     2.73 mm  
 550.00 MeV   3.962E+01  2.151E-02  663.90 mm    20.82 mm     2.83 mm  
 600.00 MeV   3.790E+01  1.992E-02  737.53 mm    23.28 mm     2.93 mm  
 650.00 MeV   3.631E+01  1.856E-02  814.45 mm    25.70 mm     3.03 mm  
 700.00 MeV   3.482E+01  1.738E-02  894.70 mm    28.09 mm     3.14 mm  
 800.00 MeV   3.215E+01  1.544E-02    1.07 m     37.04 mm     3.38 mm  
 900.00 MeV   2.981E+01  1.391E-02    1.25 m     45.30 mm     3.65 mm  
   1.00 GeV   2.774E+01  1.267E-02    1.45 m     53.30 mm     3.94 mm  
   1.10 GeV   2.592E+01  1.164E-02    1.66 m     61.22 mm     4.26 mm  
   1.20 GeV   2.430E+01  1.077E-02    1.89 m     69.16 mm     4.60 mm  
   1.30 GeV   2.287E+01  1.003E-02    2.13 m     77.18 mm     4.97 mm  
   1.40 GeV   2.161E+01  9.386E-03    2.39 m     85.30 mm     5.37 mm  
   1.50 GeV   2.050E+01  8.825E-03    2.66 m     93.53 mm     5.80 mm  
   1.60 GeV   1.953E+01  8.330E-03    2.94 m    101.86 mm     6.25 mm  
   1.70 GeV   1.868E+01  7.890E-03    3.24 m    110.29 mm     6.73 mm  
   1.80 GeV   1.795E+01  7.496E-03    3.55 m    118.78 mm     7.22 mm  
   2.00 GeV   1.680E+01  6.820E-03    4.21 m    150.86 mm     8.28 mm  
   2.25 GeV   1.579E+01  6.136E-03    5.09 m    195.25 mm     9.69 mm  
   2.50 GeV   1.465E+01  5.581E-03    6.03 m    236.09 mm    11.19 mm  
   2.75 GeV   1.368E+01  5.122E-03    7.03 m    275.82 mm    12.80 mm  
   3.00 GeV   1.284E+01  4.736E-03    8.11 m    315.08 mm    14.51 mm  
   3.25 GeV   1.212E+01  4.406E-03    9.26 m    354.21 mm    16.31 mm  
   3.50 GeV   1.148E+01  4.121E-03   10.47 m    393.41 mm    18.21 mm  
   3.75 GeV   1.091E+01  3.872E-03   11.74 m    432.79 mm    20.20 mm  
   4.00 GeV   1.041E+01  3.653E-03   13.08 m    472.42 mm    22.28 mm  
   4.50 GeV   9.547E+00  3.283E-03   15.94 m    622.34 mm    26.70 mm  
   5.00 GeV   8.839E+00  2.985E-03   19.05 m    761.91 mm    31.46 mm  
   5.50 GeV   8.246E+00  2.738E-03   22.39 m    896.76 mm    36.53 mm  
   6.00 GeV   7.742E+00  2.530E-03   25.97 m      1.03 m     41.92 mm  
   6.50 GeV   7.301E+00  2.352E-03   29.76 m      1.16 m     47.61 mm  
   7.00 GeV   6.909E+00  2.199E-03   33.78 m      1.29 m     53.58 mm  
   8.00 GeV   6.262E+00  1.948E-03   42.46 m      1.78 m     66.40 mm  
   9.00 GeV   5.750E+00  1.749E-03   51.97 m      2.23 m     80.30 mm  
  10.00 GeV   5.334E+00  1.589E-03   62.28 m      2.67 m     95.21 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7519E-03                 eV / Angstrom 
  1.7519E-02                keV / micron   
  1.7519E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.6471E+00                 eV / (1E15 atoms/cm2)
  4.5204E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
