 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\28_67.txt

 Ion = Nickel [28] , Mass = 67 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.682E+01  1.974E-01   81.90 mm     2.34 mm     2.56 mm  
  32.50 MeV   4.807E+01  1.848E-01   84.52 mm     2.37 mm     2.57 mm  
  35.00 MeV   4.914E+01  1.738E-01   87.09 mm     2.40 mm     2.58 mm  
  37.50 MeV   5.005E+01  1.641E-01   89.60 mm     2.43 mm     2.59 mm  
  40.00 MeV   5.084E+01  1.556E-01   92.07 mm     2.45 mm     2.60 mm  
  45.00 MeV   5.208E+01  1.410E-01   96.91 mm     2.55 mm     2.61 mm  
  50.00 MeV   5.299E+01  1.291E-01  101.65 mm     2.64 mm     2.63 mm  
  55.00 MeV   5.364E+01  1.192E-01  106.33 mm     2.72 mm     2.64 mm  
  60.00 MeV   5.410E+01  1.108E-01  110.96 mm     2.80 mm     2.65 mm  
  65.00 MeV   5.440E+01  1.036E-01  115.56 mm     2.88 mm     2.66 mm  
  70.00 MeV   5.458E+01  9.726E-02  120.14 mm     2.95 mm     2.67 mm  
  80.00 MeV   5.466E+01  8.685E-02  129.27 mm     3.22 mm     2.69 mm  
  90.00 MeV   5.447E+01  7.857E-02  138.42 mm     3.48 mm     2.71 mm  
 100.00 MeV   5.409E+01  7.181E-02  147.62 mm     3.71 mm     2.72 mm  
 110.00 MeV   5.359E+01  6.619E-02  156.90 mm     3.94 mm     2.74 mm  
 120.00 MeV   5.301E+01  6.143E-02  166.27 mm     4.16 mm     2.75 mm  
 130.00 MeV   5.236E+01  5.735E-02  175.75 mm     4.37 mm     2.76 mm  
 140.00 MeV   5.195E+01  5.380E-02  185.32 mm     4.58 mm     2.78 mm  
 150.00 MeV   5.144E+01  5.070E-02  194.99 mm     4.78 mm     2.79 mm  
 160.00 MeV   5.059E+01  4.795E-02  204.78 mm     4.97 mm     2.80 mm  
 170.00 MeV   4.992E+01  4.550E-02  214.72 mm     5.17 mm     2.81 mm  
 180.00 MeV   4.927E+01  4.330E-02  224.80 mm     5.36 mm     2.82 mm  
 200.00 MeV   4.798E+01  3.952E-02  245.35 mm     6.10 mm     2.85 mm  
 225.00 MeV   4.641E+01  3.567E-02  271.82 mm     7.16 mm     2.88 mm  
 250.00 MeV   4.492E+01  3.255E-02  299.19 mm     8.14 mm     2.91 mm  
 275.00 MeV   4.351E+01  2.995E-02  327.45 mm     9.07 mm     2.94 mm  
 300.00 MeV   4.218E+01  2.775E-02  356.61 mm     9.97 mm     2.97 mm  
 325.00 MeV   4.092E+01  2.587E-02  386.69 mm    10.84 mm     3.01 mm  
 350.00 MeV   3.972E+01  2.425E-02  417.68 mm    11.69 mm     3.04 mm  
 375.00 MeV   3.860E+01  2.282E-02  449.60 mm    12.53 mm     3.07 mm  
 400.00 MeV   3.753E+01  2.156E-02  482.43 mm    13.37 mm     3.11 mm  
 450.00 MeV   3.554E+01  1.944E-02  550.87 mm    16.51 mm     3.19 mm  
 500.00 MeV   3.374E+01  1.771E-02  623.06 mm    19.41 mm     3.27 mm  
 550.00 MeV   3.208E+01  1.628E-02  699.03 mm    22.19 mm     3.36 mm  
 600.00 MeV   3.056E+01  1.508E-02  778.86 mm    24.90 mm     3.46 mm  
 650.00 MeV   2.915E+01  1.404E-02  862.60 mm    27.57 mm     3.56 mm  
 700.00 MeV   2.785E+01  1.315E-02  950.33 mm    30.24 mm     3.67 mm  
 800.00 MeV   2.551E+01  1.168E-02    1.14 m     40.24 mm     3.92 mm  
 900.00 MeV   2.347E+01  1.052E-02    1.34 m     49.55 mm     4.20 mm  
   1.00 GeV   2.170E+01  9.576E-03    1.56 m     58.64 mm     4.51 mm  
   1.10 GeV   2.015E+01  8.795E-03    1.80 m     67.70 mm     4.86 mm  
   1.20 GeV   1.881E+01  8.137E-03    2.06 m     76.83 mm     5.24 mm  
   1.30 GeV   1.765E+01  7.575E-03    2.33 m     86.08 mm     5.66 mm  
