 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\29_70.txt

 Ion = Copper [29] , Mass = 70 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.650E+01  2.180E-01   69.06 mm     1.92 mm     1.95 mm  
  32.50 MeV   4.793E+01  2.041E-01   71.70 mm     1.96 mm     1.96 mm  
  35.00 MeV   4.922E+01  1.920E-01   74.26 mm     1.99 mm     1.97 mm  
  37.50 MeV   5.037E+01  1.814E-01   76.76 mm     2.02 mm     1.98 mm  
  40.00 MeV   5.140E+01  1.720E-01   79.20 mm     2.05 mm     1.99 mm  
  45.00 MeV   5.316E+01  1.559E-01   83.97 mm     2.16 mm     2.01 mm  
  50.00 MeV   5.458E+01  1.428E-01   88.60 mm     2.26 mm     2.02 mm  
  55.00 MeV   5.571E+01  1.319E-01   93.12 mm     2.35 mm     2.03 mm  
  60.00 MeV   5.659E+01  1.226E-01   97.56 mm     2.44 mm     2.05 mm  
  65.00 MeV   5.728E+01  1.146E-01  101.94 mm     2.52 mm     2.06 mm  
  70.00 MeV   5.779E+01  1.076E-01  106.27 mm     2.59 mm     2.07 mm  
  80.00 MeV   5.840E+01  9.614E-02  114.86 mm     2.86 mm     2.08 mm  
  90.00 MeV   5.859E+01  8.699E-02  123.40 mm     3.11 mm     2.10 mm  
 100.00 MeV   5.848E+01  7.953E-02  131.93 mm     3.34 mm     2.12 mm  
 110.00 MeV   5.815E+01  7.331E-02  140.49 mm     3.55 mm     2.13 mm  
 120.00 MeV   5.766E+01  6.805E-02  149.11 mm     3.76 mm     2.14 mm  
 130.00 MeV   5.706E+01  6.354E-02  157.82 mm     3.95 mm     2.16 mm  
 140.00 MeV   5.638E+01  5.962E-02  166.63 mm     4.15 mm     2.17 mm  
 150.00 MeV   5.605E+01  5.618E-02  175.51 mm     4.33 mm     2.18 mm  
 160.00 MeV   5.536E+01  5.314E-02  184.48 mm     4.52 mm     2.20 mm  
 170.00 MeV   5.443E+01  5.043E-02  193.58 mm     4.70 mm     2.21 mm  
 180.00 MeV   5.371E+01  4.800E-02  202.82 mm     4.88 mm     2.22 mm  
 200.00 MeV   5.224E+01  4.381E-02  221.69 mm     5.56 mm     2.24 mm  
 225.00 MeV   5.044E+01  3.956E-02  246.03 mm     6.54 mm     2.27 mm  
 250.00 MeV   4.872E+01  3.609E-02  271.23 mm     7.45 mm     2.31 mm  
 275.00 MeV   4.709E+01  3.322E-02  297.31 mm     8.31 mm     2.34 mm  
 300.00 MeV   4.555E+01  3.079E-02  324.29 mm     9.15 mm     2.37 mm  
 325.00 MeV   4.411E+01  2.871E-02  352.16 mm     9.96 mm     2.40 mm  
 350.00 MeV   4.276E+01  2.690E-02  380.93 mm    10.76 mm     2.44 mm  
 375.00 MeV   4.149E+01  2.532E-02  410.59 mm    11.55 mm     2.47 mm  
 400.00 MeV   4.030E+01  2.393E-02  441.15 mm    12.34 mm     2.51 mm  
 450.00 MeV   3.812E+01  2.157E-02  504.93 mm    15.28 mm     2.59 mm  
 500.00 MeV   3.616E+01  1.966E-02  572.26 mm    18.01 mm     2.68 mm  
