 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\36_86.txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   5.029E+01  3.798E-01   73.87 mm     2.10 mm     2.09 mm  
  32.50 MeV   5.232E+01  3.560E-01   76.63 mm     2.14 mm     2.11 mm  
  35.00 MeV   5.416E+01  3.353E-01   79.30 mm     2.18 mm     2.12 mm  
  37.50 MeV   5.582E+01  3.171E-01   81.87 mm     2.21 mm     2.14 mm  
  40.00 MeV   5.731E+01  3.008E-01   84.38 mm     2.24 mm     2.15 mm  
  45.00 MeV   5.989E+01  2.732E-01   89.23 mm     2.35 mm     2.17 mm  
  50.00 MeV   6.199E+01  2.506E-01   93.89 mm     2.44 mm     2.19 mm  
  55.00 MeV   6.370E+01  2.317E-01   98.41 mm     2.53 mm     2.20 mm  
  60.00 MeV   6.509E+01  2.156E-01  102.82 mm     2.60 mm     2.22 mm  
  65.00 MeV   6.622E+01  2.017E-01  107.16 mm     2.68 mm     2.23 mm  
  70.00 MeV   6.712E+01  1.897E-01  111.42 mm     2.75 mm     2.24 mm  
  80.00 MeV   6.841E+01  1.697E-01  119.82 mm     3.00 mm     2.27 mm  
  90.00 MeV   6.917E+01  1.537E-01  128.10 mm     3.22 mm     2.29 mm  
 100.00 MeV   6.955E+01  1.407E-01  136.31 mm     3.42 mm     2.30 mm  
 110.00 MeV   6.967E+01  1.298E-01  144.49 mm     3.62 mm     2.32 mm  
 120.00 MeV   6.959E+01  1.206E-01  152.67 mm     3.80 mm     2.34 mm  
 130.00 MeV   6.937E+01  1.127E-01  160.87 mm     3.97 mm     2.35 mm  
 140.00 MeV   6.905E+01  1.058E-01  169.11 mm     4.14 mm     2.37 mm  
 150.00 MeV   6.866E+01  9.980E-02  177.39 mm     4.30 mm     2.38 mm  
 160.00 MeV   6.821E+01  9.446E-02  185.71 mm     4.46 mm     2.39 mm  
 170.00 MeV   6.773E+01  8.969E-02  194.10 mm     4.62 mm     2.41 mm  
 180.00 MeV   6.758E+01  8.541E-02  202.53 mm     4.77 mm     2.42 mm  
 200.00 MeV   6.671E+01  7.804E-02  219.51 mm     5.34 mm     2.44 mm  
 225.00 MeV   6.535E+01  7.052E-02  241.10 mm     6.16 mm     2.48 mm  
 250.00 MeV   6.418E+01  6.440E-02  263.11 mm     6.90 mm     2.51 mm  
 275.00 MeV   6.304E+01  5.932E-02  285.53 mm     7.60 mm     2.53 mm  
 300.00 MeV   6.194E+01  5.501E-02  308.34 mm     8.25 mm     2.56 mm  
 325.00 MeV   6.087E+01  5.133E-02  331.57 mm     8.88 mm     2.59 mm  
 350.00 MeV   5.985E+01  4.813E-02  355.19 mm     9.49 mm     2.62 mm  
 375.00 MeV   5.887E+01  4.533E-02  379.21 mm    10.08 mm     2.65 mm  
 400.00 MeV   5.792E+01  4.285E-02  403.64 mm    10.66 mm     2.68 mm  
 450.00 MeV   5.611E+01  3.867E-02  453.68 mm    12.80 mm     2.74 mm  
 500.00 MeV   5.440E+01  3.527E-02  505.31 mm    14.74 mm     2.81 mm  
 550.00 MeV   5.277E+01  3.244E-02  558.56 mm    16.55 mm     2.87 mm  
 600.00 MeV   5.122E+01  3.006E-02  613.43 mm    18.28 mm     2.94 mm  
 650.00 MeV   4.971E+01  2.802E-02  669.97 mm    19.95 mm     3.01 mm  
 700.00 MeV   4.826E+01  2.625E-02  728.21 mm    21.59 mm     3.08 mm  
 800.00 MeV   4.549E+01  2.334E-02  850.02 mm    27.62 mm     3.23 mm  
 900.00 MeV   4.288E+01  2.103E-02  979.25 mm    33.12 mm     3.39 mm  
   1.00 GeV   4.042E+01  1.916E-02    1.12 m     38.39 mm     3.56 mm  
   1.10 GeV   3.812E+01  1.761E-02    1.26 m     43.55 mm     3.75 mm  
   1.20 GeV   3.597E+01  1.630E-02    1.42 m     48.70 mm     3.95 mm  
   1.30 GeV   3.398E+01  1.518E-02    1.58 m     53.90 mm     4.16 mm  
   1.40 GeV   3.216E+01  1.422E-02    1.75 m     59.18 mm     4.39 mm  
   1.50 GeV   3.048E+01  1.337E-02    1.93 m     64.55 mm     4.64 mm  
   1.60 GeV   2.897E+01  1.262E-02    2.13 m     70.04 mm     4.90 mm  
   1.70 GeV   2.760E+01  1.196E-02    2.33 m     75.64 mm     5.18 mm  
   1.80 GeV   2.637E+01  1.136E-02    2.54 m     81.34 mm     5.48 mm  
   2.00 GeV   2.434E+01  1.034E-02    2.99 m    103.34 mm     6.12 mm  
   2.25 GeV   2.252E+01  9.309E-03    3.60 m    134.60 mm     7.00 mm  
   2.50 GeV   2.142E+01  8.470E-03    4.25 m    162.98 mm     7.95 mm  
   2.75 GeV   2.030E+01  7.776E-03    4.93 m    189.56 mm     8.95 mm  
   3.00 GeV   1.911E+01  7.192E-03    5.66 m    215.49 mm    10.01 mm  
   3.25 GeV   1.807E+01  6.693E-03    6.43 m    241.32 mm    11.13 mm  
   3.50 GeV   1.715E+01  6.261E-03    7.24 m    267.19 mm    12.30 mm  
   3.75 GeV   1.633E+01  5.884E-03    8.09 m    293.16 mm    13.54 mm  
   4.00 GeV   1.559E+01  5.552E-03    8.98 m    319.29 mm    14.83 mm  
   4.50 GeV   1.433E+01  4.992E-03   10.89 m    418.25 mm    17.57 mm  
   5.00 GeV   1.328E+01  4.539E-03   12.96 m    510.49 mm    20.51 mm  
   5.50 GeV   1.240E+01  4.165E-03   15.19 m    599.64 mm    23.66 mm  
   6.00 GeV   1.165E+01  3.850E-03   17.56 m    687.34 mm    26.99 mm  
   6.50 GeV   1.100E+01  3.580E-03   20.08 m    774.40 mm    30.51 mm  
   7.00 GeV   1.043E+01  3.348E-03   22.75 m    861.30 mm    34.21 mm  
   8.00 GeV   9.481E+00  2.966E-03   28.49 m      1.18 m     42.11 mm  
   9.00 GeV   8.725E+00  2.665E-03   34.77 m      1.48 m     50.65 mm  
  10.00 GeV   8.092E+00  2.422E-03   41.56 m      1.76 m     59.80 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.7519E-03                 eV / Angstrom 
  1.7519E-02                keV / micron   
  1.7519E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.6471E+00                 eV / (1E15 atoms/cm2)
  4.0354E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
