 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\35_84.txt

 Ion = Bromine [35] , Mass = 84 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.592E+01  3.544E-01   75.95 mm     2.15 mm     2.12 mm  
  32.50 MeV   4.761E+01  3.322E-01   78.98 mm     2.20 mm     2.14 mm  
  35.00 MeV   4.919E+01  3.128E-01   81.91 mm     2.24 mm     2.16 mm  
  37.50 MeV   5.066E+01  2.957E-01   84.75 mm     2.28 mm     2.17 mm  
  40.00 MeV   5.204E+01  2.806E-01   87.51 mm     2.32 mm     2.18 mm  
  45.00 MeV   5.455E+01  2.548E-01   92.83 mm     2.44 mm     2.21 mm  
  50.00 MeV   5.675E+01  2.336E-01   97.94 mm     2.55 mm     2.23 mm  
  55.00 MeV   5.869E+01  2.159E-01  102.86 mm     2.64 mm     2.25 mm  
  60.00 MeV   6.039E+01  2.009E-01  107.63 mm     2.73 mm     2.26 mm  
  65.00 MeV   6.188E+01  1.880E-01  112.29 mm     2.81 mm     2.28 mm  
  70.00 MeV   6.319E+01  1.767E-01  116.84 mm     2.89 mm     2.29 mm  
  80.00 MeV   6.530E+01  1.581E-01  125.69 mm     3.15 mm     2.31 mm  
  90.00 MeV   6.687E+01  1.432E-01  134.31 mm     3.38 mm     2.34 mm  
 100.00 MeV   6.801E+01  1.310E-01  142.75 mm     3.59 mm     2.35 mm  
 110.00 MeV   6.879E+01  1.209E-01  151.08 mm     3.78 mm     2.37 mm  
 120.00 MeV   6.929E+01  1.123E-01  159.33 mm     3.95 mm     2.39 mm  
