 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\50_120.txt

 Ion = Tin [50] , Mass = 120 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.697E+01  8.827E-01   72.57 mm     2.22 mm     2.19 mm  
  32.50 MeV   4.896E+01  8.295E-01   75.49 mm     2.26 mm     2.22 mm  
  35.00 MeV   5.081E+01  7.829E-01   78.30 mm     2.30 mm     2.24 mm  
  37.50 MeV   5.254E+01  7.417E-01   81.02 mm     2.34 mm     2.26 mm  
  40.00 MeV   5.418E+01  7.050E-01   83.66 mm     2.37 mm     2.28 mm  
  45.00 MeV   5.721E+01  6.424E-01   88.72 mm     2.49 mm     2.31 mm  
  50.00 MeV   5.999E+01  5.907E-01   93.53 mm     2.58 mm     2.34 mm  
  55.00 MeV   6.256E+01  5.474E-01   98.15 mm     2.67 mm     2.37 mm  
  60.00 MeV   6.495E+01  5.105E-01  102.58 mm     2.75 mm     2.39 mm  
  65.00 MeV   6.718E+01  4.786E-01  106.87 mm     2.82 mm     2.41 mm  
  70.00 MeV   6.928E+01  4.507E-01  111.02 mm     2.88 mm     2.43 mm  
  80.00 MeV   7.308E+01  4.044E-01  118.99 mm     3.10 mm     2.46 mm  
  90.00 MeV   7.644E+01  3.673E-01  126.58 mm     3.28 mm     2.49 mm  
 100.00 MeV   7.939E+01  3.369E-01  133.87 mm     3.44 mm     2.51 mm  
 110.00 MeV   8.199E+01  3.114E-01  140.91 mm     3.59 mm     2.54 mm  
 120.00 MeV   8.427E+01  2.898E-01  147.75 mm     3.72 mm     2.56 mm  
 130.00 MeV   8.626E+01  2.712E-01  154.42 mm     3.84 mm     2.57 mm  
 140.00 MeV   8.801E+01  2.550E-01  160.95 mm     3.95 mm     2.59 mm  
 150.00 MeV   8.953E+01  2.408E-01  167.36 mm     4.05 mm     2.61 mm  
 160.00 MeV   9.085E+01  2.281E-01  173.67 mm     4.15 mm     2.62 mm  
 170.00 MeV   9.199E+01  2.168E-01  179.90 mm     4.25 mm     2.63 mm  
 180.00 MeV   9.297E+01  2.067E-01  186.06 mm     4.34 mm     2.65 mm  
 200.00 MeV   9.452E+01  1.892E-01  198.21 mm     4.67 mm     2.67 mm  
 225.00 MeV   9.584E+01  1.713E-01  213.17 mm     5.13 mm     2.70 mm  
 250.00 MeV   9.709E+01  1.567E-01  227.93 mm     5.54 mm     2.72 mm  
 275.00 MeV   9.784E+01  1.445E-01  242.55 mm     5.91 mm     2.74 mm  
 300.00 MeV   9.773E+01  1.342E-01  257.12 mm     6.26 mm     2.76 mm  
 325.00 MeV   9.775E+01  1.253E-01  271.70 mm     6.59 mm     2.79 mm  
 350.00 MeV   9.759E+01  1.176E-01  286.29 mm     6.91 mm     2.81 mm  
 375.00 MeV   9.728E+01  1.109E-01  300.92 mm     7.21 mm     2.82 mm  
