 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\32_77.txt

 Ion = Germanium [32] , Mass = 77 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.998E+01  2.813E-01   77.86 mm     2.24 mm     2.39 mm  
  32.50 MeV   5.150E+01  2.636E-01   80.65 mm     2.28 mm     2.41 mm  
  35.00 MeV   5.288E+01  2.481E-01   83.37 mm     2.31 mm     2.42 mm  
  37.50 MeV   5.413E+01  2.344E-01   86.03 mm     2.35 mm     2.43 mm  
  40.00 MeV   5.527E+01  2.223E-01   88.62 mm     2.38 mm     2.44 mm  
  45.00 MeV   5.724E+01  2.017E-01   93.67 mm     2.48 mm     2.46 mm  
  50.00 MeV   5.888E+01  1.849E-01   98.57 mm     2.58 mm     2.47 mm  
  55.00 MeV   6.024E+01  1.708E-01  103.35 mm     2.67 mm     2.49 mm  
  60.00 MeV   6.135E+01  1.588E-01  108.03 mm     2.75 mm     2.50 mm  
  65.00 MeV   6.226E+01  1.485E-01  112.63 mm     2.83 mm     2.51 mm  
  70.00 MeV   6.300E+01  1.396E-01  117.18 mm     2.90 mm     2.52 mm  
  80.00 MeV   6.403E+01  1.248E-01  126.14 mm     3.17 mm     2.54 mm  
  90.00 MeV   6.461E+01  1.130E-01  135.00 mm     3.41 mm     2.56 mm  
 100.00 MeV   6.484E+01  1.033E-01  143.80 mm     3.63 mm     2.57 mm  
 110.00 MeV   6.482E+01  9.529E-02  152.59 mm     3.84 mm     2.59 mm  
 120.00 MeV   6.459E+01  8.848E-02  161.40 mm     4.04 mm     2.60 mm  
 130.00 MeV   6.423E+01  8.264E-02  170.25 mm     4.23 mm     2.62 mm  
 140.00 MeV   6.375E+01  7.757E-02  179.16 mm     4.42 mm     2.63 mm  
 150.00 MeV   6.319E+01  7.312E-02  188.14 mm     4.60 mm     2.64 mm  
 160.00 MeV   6.286E+01  6.918E-02  197.19 mm     4.77 mm     2.65 mm  
 170.00 MeV   6.244E+01  6.567E-02  206.29 mm     4.94 mm     2.66 mm  
 180.00 MeV   6.170E+01  6.252E-02  215.48 mm     5.11 mm     2.68 mm  
