 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\39_94.txt

 Ion = Yttrium [39] , Mass = 94 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.818E+01  4.703E-01   70.30 mm     2.02 mm     1.95 mm  
  32.50 MeV   4.976E+01  4.412E-01   73.19 mm     2.06 mm     1.97 mm  
  35.00 MeV   5.123E+01  4.157E-01   75.99 mm     2.10 mm     1.99 mm  
  37.50 MeV   5.260E+01  3.932E-01   78.71 mm     2.14 mm     2.00 mm  
  40.00 MeV   5.390E+01  3.733E-01   81.37 mm     2.18 mm     2.02 mm  
  45.00 MeV   5.630E+01  3.393E-01   86.52 mm     2.30 mm     2.04 mm  
  50.00 MeV   5.846E+01  3.113E-01   91.46 mm     2.41 mm     2.06 mm  
  55.00 MeV   6.043E+01  2.880E-01   96.23 mm     2.50 mm     2.08 mm  
  60.00 MeV   6.223E+01  2.681E-01  100.86 mm     2.59 mm     2.10 mm  
  65.00 MeV   6.387E+01  2.510E-01  105.37 mm     2.67 mm     2.12 mm  
  70.00 MeV   6.535E+01  2.361E-01  109.77 mm     2.74 mm     2.13 mm  
  80.00 MeV   6.793E+01  2.113E-01  118.30 mm     3.00 mm     2.16 mm  
  90.00 MeV   7.004E+01  1.916E-01  126.55 mm     3.22 mm     2.18 mm  
 100.00 MeV   7.176E+01  1.754E-01  134.57 mm     3.42 mm     2.20 mm  
 110.00 MeV   7.312E+01  1.620E-01  142.43 mm     3.60 mm     2.22 mm  
 120.00 MeV   7.420E+01  1.505E-01  150.16 mm     3.76 mm     2.24 mm  
 130.00 MeV   7.503E+01  1.407E-01  157.80 mm     3.91 mm     2.25 mm  
 140.00 MeV   7.564E+01  1.322E-01  165.36 mm     4.06 mm     2.27 mm  
 150.00 MeV   7.608E+01  1.247E-01  172.87 mm     4.20 mm     2.28 mm  
 160.00 MeV   7.636E+01  1.180E-01  180.35 mm     4.33 mm     2.30 mm  
 170.00 MeV   7.652E+01  1.121E-01  187.80 mm     4.46 mm     2.31 mm  
 180.00 MeV   7.656E+01  1.068E-01  195.25 mm     4.58 mm     2.32 mm  
 200.00 MeV   7.690E+01  9.758E-02  210.10 mm     5.04 mm     2.35 mm  
 225.00 MeV   7.628E+01  8.823E-02  228.71 mm     5.69 mm     2.38 mm  
 250.00 MeV   7.558E+01  8.060E-02  247.48 mm     6.28 mm     2.40 mm  
 275.00 MeV   7.472E+01  7.426E-02  266.45 mm     6.83 mm     2.43 mm  
 300.00 MeV   7.375E+01  6.889E-02  285.66 mm     7.35 mm     2.45 mm  
 325.00 MeV   7.270E+01  6.429E-02  305.13 mm     7.85 mm     2.48 mm  
 350.00 MeV   7.160E+01  6.030E-02  324.89 mm     8.33 mm     2.50 mm  
 375.00 MeV   7.049E+01  5.680E-02  344.96 mm     8.81 mm     2.53 mm  
 400.00 MeV   6.938E+01  5.371E-02  365.36 mm     9.27 mm     2.55 mm  
 450.00 MeV   6.717E+01  4.848E-02  407.14 mm    10.99 mm     2.60 mm  
 500.00 MeV   6.502E+01  4.423E-02  450.30 mm    12.58 mm     2.66 mm  
 550.00 MeV   6.296E+01  4.070E-02  494.89 mm    14.07 mm     2.71 mm  
 600.00 MeV   6.099E+01  3.772E-02  540.92 mm    15.50 mm     2.76 mm  
 650.00 MeV   5.911E+01  3.517E-02  588.44 mm    16.90 mm     2.82 mm  
 700.00 MeV   5.731E+01  3.296E-02  637.45 mm    18.27 mm     2.87 mm  
 800.00 MeV   5.395E+01  2.931E-02  740.09 mm    23.33 mm     2.99 mm  
 900.00 MeV   5.088E+01  2.642E-02  849.01 mm    27.96 mm     3.12 mm  
   1.00 GeV   4.806E+01  2.408E-02  964.42 mm    32.38 mm     3.26 mm  
   1.10 GeV   4.548E+01  2.213E-02    1.09 m     36.70 mm     3.40 mm  
   1.20 GeV   4.310E+01  2.049E-02    1.22 m     40.98 mm     3.56 mm  
   1.30 GeV   4.091E+01  1.909E-02    1.35 m     45.27 mm     3.73 mm  
   1.40 GeV   3.891E+01  1.788E-02    1.49 m     49.58 mm     3.91 mm  
   1.50 GeV   3.707E+01  1.682E-02    1.64 m     53.95 mm     4.10 mm  
