 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\31_75.txt

 Ion = Gallium [31] , Mass = 75 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.682E+01  2.601E-01   63.18 mm     1.74 mm     1.67 mm  
  32.50 MeV   4.813E+01  2.436E-01   65.80 mm     1.78 mm     1.68 mm  
  35.00 MeV   4.933E+01  2.293E-01   68.35 mm     1.82 mm     1.70 mm  
  37.50 MeV   5.043E+01  2.166E-01   70.84 mm     1.85 mm     1.71 mm  
  40.00 MeV   5.144E+01  2.054E-01   73.29 mm     1.89 mm     1.72 mm  
  45.00 MeV   5.322E+01  1.864E-01   78.04 mm     2.01 mm     1.73 mm  
  50.00 MeV   5.472E+01  1.708E-01   82.66 mm     2.11 mm     1.75 mm  
  55.00 MeV   5.599E+01  1.577E-01   87.16 mm     2.21 mm     1.76 mm  
  60.00 MeV   5.706E+01  1.467E-01   91.57 mm     2.30 mm     1.78 mm  
  65.00 MeV   5.794E+01  1.371E-01   95.91 mm     2.38 mm     1.79 mm  
  70.00 MeV   5.867E+01  1.289E-01  100.18 mm     2.46 mm     1.80 mm  
  80.00 MeV   5.974E+01  1.152E-01  108.61 mm     2.73 mm     1.82 mm  
  90.00 MeV   6.039E+01  1.042E-01  116.92 mm     2.98 mm     1.84 mm  
 100.00 MeV   6.072E+01  9.533E-02  125.16 mm     3.20 mm     1.86 mm  
 110.00 MeV   6.079E+01  8.790E-02  133.37 mm     3.40 mm     1.87 mm  
 120.00 MeV   6.068E+01  8.162E-02  141.60 mm     3.60 mm     1.89 mm  
 130.00 MeV   6.042E+01  7.622E-02  149.84 mm     3.78 mm     1.90 mm  
 140.00 MeV   6.004E+01  7.154E-02  158.13 mm     3.96 mm     1.91 mm  
 150.00 MeV   5.958E+01  6.743E-02  166.48 mm     4.14 mm     1.93 mm  
 160.00 MeV   5.947E+01  6.379E-02  174.87 mm     4.30 mm     1.94 mm  
