 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 23, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\59_142.txt

 Ion = Praseodymium [59] , Mass = 142 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.405E+01  1.338E+00   64.20 mm     2.04 mm     1.99 mm  
  32.50 MeV   4.624E+01  1.259E+00   66.88 mm     2.08 mm     2.02 mm  
  35.00 MeV   4.827E+01  1.190E+00   69.46 mm     2.12 mm     2.04 mm  
  37.50 MeV   5.016E+01  1.129E+00   71.94 mm     2.16 mm     2.07 mm  
  40.00 MeV   5.193E+01  1.074E+00   74.34 mm     2.19 mm     2.09 mm  
  45.00 MeV   5.518E+01  9.807E-01   78.91 mm     2.29 mm     2.13 mm  
  50.00 MeV   5.810E+01  9.034E-01   83.25 mm     2.38 mm     2.16 mm  
  55.00 MeV   6.078E+01  8.383E-01   87.39 mm     2.46 mm     2.19 mm  
  60.00 MeV   6.324E+01  7.828E-01   91.37 mm     2.52 mm     2.22 mm  
  65.00 MeV   6.554E+01  7.347E-01   95.21 mm     2.59 mm     2.24 mm  
  70.00 MeV   6.768E+01  6.927E-01   98.92 mm     2.64 mm     2.26 mm  
  80.00 MeV   7.159E+01  6.226E-01  106.03 mm     2.83 mm     2.30 mm  
  90.00 MeV   7.508E+01  5.663E-01  112.79 mm     3.00 mm     2.33 mm  
 100.00 MeV   7.821E+01  5.201E-01  119.26 mm     3.14 mm     2.36 mm  
 110.00 MeV   8.102E+01  4.813E-01  125.50 mm     3.26 mm     2.38 mm  
 120.00 MeV   8.357E+01  4.484E-01  131.54 mm     3.37 mm     2.40 mm  
 130.00 MeV   8.587E+01  4.200E-01  137.41 mm     3.48 mm     2.42 mm  
 140.00 MeV   8.795E+01  3.952E-01  143.13 mm     3.57 mm     2.44 mm  
 150.00 MeV   8.983E+01  3.734E-01  148.73 mm     3.66 mm     2.46 mm  
 160.00 MeV   9.154E+01  3.540E-01  154.22 mm     3.75 mm     2.47 mm  
 170.00 MeV   9.309E+01  3.367E-01  159.62 mm     3.82 mm     2.49 mm  
 180.00 MeV   9.449E+01  3.211E-01  164.93 mm     3.90 mm     2.50 mm  
 200.00 MeV   9.690E+01  2.942E-01  175.34 mm     4.17 mm     2.52 mm  
 225.00 MeV   9.930E+01  2.667E-01  188.04 mm     4.54 mm     2.55 mm  
 250.00 MeV   1.012E+02  2.442E-01  200.48 mm     4.87 mm     2.58 mm  
 275.00 MeV   1.026E+02  2.254E-01  212.72 mm     5.17 mm     2.60 mm  
 300.00 MeV   1.043E+02  2.095E-01  224.78 mm     5.45 mm     2.62 mm  
 325.00 MeV   1.053E+02  1.958E-01  236.68 mm     5.71 mm     2.64 mm  
 350.00 MeV   1.056E+02  1.839E-01  248.51 mm     5.95 mm     2.66 mm  
 375.00 MeV   1.062E+02  1.734E-01  260.29 mm     6.18 mm     2.68 mm  
 400.00 MeV   1.065E+02  1.642E-01  272.03 mm     6.40 mm     2.70 mm  
 450.00 MeV   1.069E+02  1.485E-01  295.43 mm     7.20 mm     2.73 mm  
 500.00 MeV   1.068E+02  1.357E-01  318.79 mm     7.93 mm     2.76 mm  
 550.00 MeV   1.065E+02  1.251E-01  342.20 mm     8.59 mm     2.79 mm  
 600.00 MeV   1.060E+02  1.161E-01  365.70 mm     9.21 mm     2.82 mm  
 650.00 MeV   1.054E+02  1.084E-01  389.33 mm     9.80 mm     2.85 mm  
 700.00 MeV   1.046E+02  1.017E-01  413.12 mm    10.37 mm     2.88 mm  
 800.00 MeV   1.029E+02  9.059E-02  461.28 mm    12.40 mm     2.93 mm  
 900.00 MeV   1.009E+02  8.181E-02  510.33 mm    14.21 mm     2.98 mm  
   1.00 GeV   9.879E+01  7.466E-02  560.38 mm    15.88 mm     3.03 mm  
   1.10 GeV   9.661E+01  6.872E-02  611.53 mm    17.45 mm     3.08 mm  
   1.20 GeV   9.438E+01  6.371E-02  663.87 mm    18.96 mm     3.14 mm  
   1.30 GeV   9.212E+01  5.941E-02  717.47 mm    20.42 mm     3.19 mm  
   1.40 GeV   8.985E+01  5.568E-02  772.40 mm    21.85 mm     3.24 mm  
   1.50 GeV   8.759E+01  5.242E-02  828.74 mm    23.26 mm     3.29 mm  
   1.60 GeV   8.536E+01  4.954E-02  886.54 mm    24.65 mm     3.35 mm  
   1.70 GeV   8.316E+01  4.698E-02  945.87 mm    26.04 mm     3.41 mm  
   1.80 GeV   8.100E+01  4.468E-02    1.01 m     27.43 mm     3.46 mm  
   2.00 GeV   7.684E+01  4.072E-02    1.13 m     32.77 mm     3.59 mm  
   2.25 GeV   7.200E+01  3.671E-02    1.30 m     40.48 mm     3.75 mm  
   2.50 GeV   6.762E+01  3.345E-02    1.48 m     47.76 mm     3.92 mm  
   2.75 GeV   6.371E+01  3.075E-02    1.67 m     54.83 mm     4.11 mm  
   3.00 GeV   6.030E+01  2.847E-02    1.87 m     61.81 mm     4.32 mm  
   3.25 GeV   5.738E+01  2.652E-02    2.09 m     68.73 mm     4.53 mm  
   3.50 GeV   5.493E+01  2.483E-02    2.31 m     75.60 mm     4.76 mm  
   3.75 GeV   5.294E+01  2.336E-02    2.54 m     82.40 mm     5.01 mm  
   4.00 GeV   5.138E+01  2.205E-02    2.78 m     89.10 mm     5.26 mm  
   4.50 GeV   4.855E+01  1.986E-02    3.28 m    113.81 mm     5.80 mm  
   5.00 GeV   4.549E+01  1.808E-02    3.81 m    136.44 mm     6.38 mm  
   5.50 GeV   4.283E+01  1.660E-02    4.38 m    158.23 mm     7.00 mm  
   6.00 GeV   4.050E+01  1.536E-02    4.98 m    179.57 mm     7.65 mm  
   6.50 GeV   3.845E+01  1.430E-02    5.61 m    200.69 mm     8.35 mm  
   7.00 GeV   3.662E+01  1.338E-02    6.28 m    221.71 mm     9.08 mm  
   8.00 GeV   3.351E+01  1.187E-02    7.71 m    299.90 mm    10.65 mm  
   9.00 GeV   3.096E+01  1.068E-02    9.26 m    371.71 mm    12.35 mm  
  10.00 GeV   2.884E+01  9.715E-03   10.93 m    440.69 mm    14.17 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.9999E-03                 eV / Angstrom 
  1.9999E-02                keV / micron   
  1.9999E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.6471E+00                 eV / (1E15 atoms/cm2)
  2.8009E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
