 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\46_110.txt

 Ion = Palladium [46] , Mass = 110 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.812E+01  7.127E-01   71.41 mm     2.14 mm     2.11 mm  
  32.50 MeV   5.005E+01  6.693E-01   74.28 mm     2.18 mm     2.14 mm  
  35.00 MeV   5.185E+01  6.314E-01   77.04 mm     2.22 mm     2.16 mm  
  37.50 MeV   5.354E+01  5.978E-01   79.72 mm     2.26 mm     2.17 mm  
  40.00 MeV   5.515E+01  5.680E-01   82.31 mm     2.29 mm     2.19 mm  
  45.00 MeV   5.814E+01  5.170E-01   87.30 mm     2.40 mm     2.22 mm  
  50.00 MeV   6.088E+01  4.751E-01   92.05 mm     2.50 mm     2.25 mm  
  55.00 MeV   6.340E+01  4.400E-01   96.61 mm     2.58 mm     2.27 mm  
  60.00 MeV   6.573E+01  4.100E-01  101.00 mm     2.66 mm     2.29 mm  
  65.00 MeV   6.789E+01  3.842E-01  105.24 mm     2.73 mm     2.31 mm  
  70.00 MeV   6.989E+01  3.617E-01  109.36 mm     2.80 mm     2.32 mm  
  80.00 MeV   7.347E+01  3.242E-01  117.28 mm     3.02 mm     2.35 mm  
  90.00 MeV   7.653E+01  2.943E-01  124.86 mm     3.20 mm     2.38 mm  
 100.00 MeV   7.915E+01  2.698E-01  132.16 mm     3.37 mm     2.40 mm  
 110.00 MeV   8.138E+01  2.493E-01  139.25 mm     3.52 mm     2.42 mm  
 120.00 MeV   8.328E+01  2.318E-01  146.16 mm     3.65 mm     2.44 mm  
 130.00 MeV   8.487E+01  2.169E-01  152.93 mm     3.78 mm     2.45 mm  
 140.00 MeV   8.622E+01  2.038E-01  159.58 mm     3.90 mm     2.47 mm  
 150.00 MeV   8.734E+01  1.924E-01  166.14 mm     4.01 mm     2.48 mm  
 160.00 MeV   8.826E+01  1.822E-01  172.63 mm     4.11 mm     2.49 mm  
 170.00 MeV   8.901E+01  1.732E-01  179.05 mm     4.21 mm     2.51 mm  
 180.00 MeV   8.961E+01  1.650E-01  185.43 mm     4.31 mm     2.52 mm  
 200.00 MeV   9.045E+01  1.510E-01  198.09 mm     4.67 mm     2.54 mm  
 225.00 MeV   9.121E+01  1.366E-01  213.77 mm     5.17 mm     2.57 mm  
 250.00 MeV   9.179E+01  1.249E-01  229.34 mm     5.62 mm     2.59 mm  
 275.00 MeV   9.134E+01  1.151E-01  244.90 mm     6.04 mm     2.61 mm  
 300.00 MeV   9.102E+01  1.069E-01  260.53 mm     6.43 mm     2.64 mm  
 325.00 MeV   9.052E+01  9.981E-02  276.24 mm     6.80 mm     2.66 mm  
 350.00 MeV   8.990E+01  9.366E-02  292.04 mm     7.16 mm     2.68 mm  
 375.00 MeV   8.918E+01  8.827E-02  307.96 mm     7.51 mm     2.70 mm  
 400.00 MeV   8.840E+01  8.349E-02  324.02 mm     7.85 mm     2.72 mm  
 450.00 MeV   8.671E+01  7.543E-02  356.59 mm     9.10 mm     2.75 mm  
 500.00 MeV   8.494E+01  6.886E-02  389.82 mm    10.24 mm     2.79 mm  
 550.00 MeV   8.313E+01  6.340E-02  423.76 mm    11.31 mm     2.83 mm  
 600.00 MeV   8.132E+01  5.878E-02  458.45 mm    12.33 mm     2.87 mm  
 650.00 MeV   7.954E+01  5.483E-02  493.92 mm    13.32 mm     2.90 mm  
 700.00 MeV   7.778E+01  5.140E-02  530.18 mm    14.27 mm     2.94 mm  
 800.00 MeV   7.437E+01  4.575E-02  605.21 mm    17.78 mm     3.02 mm  
 900.00 MeV   7.112E+01  4.127E-02  683.67 mm    20.96 mm     3.10 mm  
   1.00 GeV   6.802E+01  3.763E-02  765.72 mm    23.96 mm     3.18 mm  
   1.10 GeV   6.508E+01  3.460E-02  851.49 mm    26.86 mm     3.27 mm  
