 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\43_103.txt

 Ion = Technetium [43] , Mass = 103 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.940E+01  6.011E-01   70.92 mm     2.09 mm     2.06 mm  
  32.50 MeV   5.123E+01  5.642E-01   73.72 mm     2.13 mm     2.08 mm  
  35.00 MeV   5.292E+01  5.319E-01   76.43 mm     2.17 mm     2.10 mm  
  37.50 MeV   5.451E+01  5.035E-01   79.06 mm     2.20 mm     2.12 mm  
  40.00 MeV   5.600E+01  4.781E-01   81.62 mm     2.24 mm     2.13 mm  
  45.00 MeV   5.876E+01  4.350E-01   86.55 mm     2.35 mm     2.16 mm  
  50.00 MeV   6.125E+01  3.995E-01   91.27 mm     2.44 mm     2.18 mm  
  55.00 MeV   6.353E+01  3.697E-01   95.81 mm     2.53 mm     2.20 mm  
  60.00 MeV   6.562E+01  3.444E-01  100.21 mm     2.61 mm     2.22 mm  
  65.00 MeV   6.754E+01  3.226E-01  104.47 mm     2.68 mm     2.24 mm  
  70.00 MeV   6.931E+01  3.036E-01  108.62 mm     2.75 mm     2.25 mm  
  80.00 MeV   7.242E+01  2.720E-01  116.64 mm     2.98 mm     2.28 mm  
  90.00 MeV   7.505E+01  2.468E-01  124.35 mm     3.17 mm     2.30 mm  
 100.00 MeV   7.726E+01  2.261E-01  131.82 mm     3.35 mm     2.32 mm  
 110.00 MeV   7.910E+01  2.088E-01  139.10 mm     3.50 mm     2.34 mm  
 120.00 MeV   8.063E+01  1.942E-01  146.22 mm     3.65 mm     2.36 mm  
 130.00 MeV   8.188E+01  1.816E-01  153.23 mm     3.78 mm     2.37 mm  
 140.00 MeV   8.289E+01  1.706E-01  160.14 mm     3.91 mm     2.39 mm  
 150.00 MeV   8.370E+01  1.610E-01  166.98 mm     4.03 mm     2.40 mm  
 160.00 MeV   8.432E+01  1.524E-01  173.76 mm     4.14 mm     2.42 mm  
 170.00 MeV   8.480E+01  1.448E-01  180.50 mm     4.25 mm     2.43 mm  
 180.00 MeV   8.514E+01  1.380E-01  187.20 mm     4.35 mm     2.44 mm  
 200.00 MeV   8.550E+01  1.262E-01  200.56 mm     4.75 mm     2.46 mm  
 225.00 MeV   8.618E+01  1.141E-01  217.16 mm     5.30 mm     2.49 mm  
 250.00 MeV   8.560E+01  1.043E-01  233.75 mm     5.80 mm     2.51 mm  
 275.00 MeV   8.513E+01  9.616E-02  250.45 mm     6.26 mm     2.54 mm  
 300.00 MeV   8.446E+01  8.924E-02  267.26 mm     6.70 mm     2.56 mm  
 325.00 MeV   8.367E+01  8.331E-02  284.22 mm     7.12 mm     2.58 mm  
 350.00 MeV   8.279E+01  7.816E-02  301.35 mm     7.52 mm     2.60 mm  
 375.00 MeV   8.184E+01  7.364E-02  318.67 mm     7.91 mm     2.62 mm  
 400.00 MeV   8.086E+01  6.965E-02  336.19 mm     8.29 mm     2.64 mm  
 450.00 MeV   7.884E+01  6.290E-02  371.91 mm     9.71 mm     2.68 mm  
 500.00 MeV   7.681E+01  5.741E-02  408.56 mm    11.01 mm     2.73 mm  
 550.00 MeV   7.481E+01  5.284E-02  446.19 mm    12.23 mm     2.77 mm  
 600.00 MeV   7.285E+01  4.899E-02  484.83 mm    13.39 mm     2.81 mm  
 650.00 MeV   7.095E+01  4.568E-02  524.51 mm    14.52 mm     2.85 mm  
 700.00 MeV   6.910E+01  4.282E-02  565.25 mm    15.63 mm     2.90 mm  
 800.00 MeV   6.560E+01  3.810E-02  650.01 mm    19.70 mm     2.99 mm  
 900.00 MeV   6.233E+01  3.436E-02  739.25 mm    23.40 mm     3.08 mm  
   1.00 GeV   5.928E+01  3.132E-02  833.14 mm    26.90 mm     3.18 mm  
   1.10 GeV   5.642E+01  2.880E-02  931.82 mm    30.31 mm     3.29 mm  
   1.20 GeV   5.376E+01  2.667E-02    1.04 m     33.67 mm     3.40 mm  
   1.30 GeV   5.128E+01  2.485E-02    1.14 m     37.01 mm     3.53 mm  
   1.40 GeV   4.897E+01  2.327E-02    1.26 m     40.37 mm     3.65 mm  
   1.50 GeV   4.681E+01  2.190E-02    1.38 m     43.75 mm     3.79 mm  
   1.60 GeV   4.482E+01  2.068E-02    1.50 m     47.17 mm     3.94 mm  
   1.70 GeV   4.297E+01  1.960E-02    1.63 m     50.63 mm     4.09 mm  
