 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\37_89.txt

 Ion = Rubidium [37] , Mass = 89 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.653E+01  4.099E-01   73.17 mm     2.09 mm     2.03 mm  
  32.50 MeV   4.804E+01  3.844E-01   76.16 mm     2.13 mm     2.05 mm  
  35.00 MeV   4.944E+01  3.621E-01   79.07 mm     2.18 mm     2.07 mm  
  37.50 MeV   5.076E+01  3.424E-01   81.89 mm     2.21 mm     2.08 mm  
  40.00 MeV   5.199E+01  3.250E-01   84.65 mm     2.25 mm     2.10 mm  
  45.00 MeV   5.426E+01  2.952E-01   89.99 mm     2.38 mm     2.12 mm  
  50.00 MeV   5.629E+01  2.708E-01   95.12 mm     2.49 mm     2.14 mm  
  55.00 MeV   5.813E+01  2.504E-01  100.09 mm     2.59 mm     2.16 mm  
  60.00 MeV   5.978E+01  2.331E-01  104.91 mm     2.68 mm     2.18 mm  
  65.00 MeV   6.128E+01  2.181E-01  109.60 mm     2.77 mm     2.20 mm  
  70.00 MeV   6.262E+01  2.051E-01  114.19 mm     2.84 mm     2.21 mm  
  80.00 MeV   6.492E+01  1.835E-01  123.11 mm     3.11 mm     2.24 mm  
  90.00 MeV   6.676E+01  1.663E-01  131.75 mm     3.35 mm     2.26 mm  
 100.00 MeV   6.822E+01  1.523E-01  140.19 mm     3.56 mm     2.28 mm  
 110.00 MeV   6.934E+01  1.405E-01  148.47 mm     3.75 mm     2.30 mm  
 120.00 MeV   7.019E+01  1.306E-01  156.63 mm     3.92 mm     2.32 mm  
 130.00 MeV   7.082E+01  1.220E-01  164.71 mm     4.09 mm     2.33 mm  
 140.00 MeV   7.124E+01  1.146E-01  172.73 mm     4.24 mm     2.35 mm  
 150.00 MeV   7.151E+01  1.081E-01  180.72 mm     4.39 mm     2.36 mm  
 160.00 MeV   7.163E+01  1.023E-01  188.68 mm     4.53 mm     2.38 mm  
 170.00 MeV   7.165E+01  9.713E-02  196.63 mm     4.67 mm     2.39 mm  
 180.00 MeV   7.167E+01  9.250E-02  204.59 mm     4.81 mm     2.41 mm  
 200.00 MeV   7.180E+01  8.453E-02  220.48 mm     5.31 mm     2.43 mm  
 225.00 MeV   7.087E+01  7.640E-02  240.46 mm     6.02 mm     2.46 mm  
 250.00 MeV   7.002E+01  6.978E-02  260.70 mm     6.66 mm     2.49 mm  
 275.00 MeV   6.902E+01  6.428E-02  281.21 mm     7.27 mm     2.52 mm  
 300.00 MeV   6.794E+01  5.962E-02  302.03 mm     7.84 mm     2.54 mm  
 325.00 MeV   6.681E+01  5.563E-02  323.19 mm     8.40 mm     2.57 mm  
 350.00 MeV   6.566E+01  5.217E-02  344.72 mm     8.93 mm     2.60 mm  
 375.00 MeV   6.450E+01  4.914E-02  366.64 mm     9.46 mm     2.63 mm  
 400.00 MeV   6.335E+01  4.645E-02  388.94 mm     9.97 mm     2.65 mm  
 450.00 MeV   6.111E+01  4.192E-02  434.79 mm    11.89 mm     2.71 mm  
 500.00 MeV   5.896E+01  3.824E-02  482.32 mm    13.66 mm     2.76 mm  
 550.00 MeV   5.691E+01  3.518E-02  531.56 mm    15.34 mm     2.82 mm  
 600.00 MeV   5.497E+01  3.260E-02  582.57 mm    16.95 mm     2.88 mm  
