 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\51_123.txt

 Ion = Antimony [51] , Mass = 123 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.677E+01  9.314E-01   64.02 mm     1.97 mm     1.94 mm  
  32.50 MeV   4.881E+01  8.754E-01   66.59 mm     2.00 mm     1.96 mm  
  35.00 MeV   5.069E+01  8.264E-01   69.05 mm     2.04 mm     1.98 mm  
  37.50 MeV   5.244E+01  7.830E-01   71.44 mm     2.07 mm     2.00 mm  
  40.00 MeV   5.409E+01  7.444E-01   73.75 mm     2.10 mm     2.02 mm  
  45.00 MeV   5.712E+01  6.784E-01   78.19 mm     2.20 mm     2.05 mm  
  50.00 MeV   5.988E+01  6.240E-01   82.41 mm     2.28 mm     2.07 mm  
  55.00 MeV   6.241E+01  5.783E-01   86.46 mm     2.36 mm     2.10 mm  
  60.00 MeV   6.476E+01  5.394E-01   90.35 mm     2.43 mm     2.12 mm  
  65.00 MeV   6.696E+01  5.058E-01   94.12 mm     2.49 mm     2.14 mm  
  70.00 MeV   6.902E+01  4.764E-01   97.76 mm     2.54 mm     2.15 mm  
  80.00 MeV   7.278E+01  4.275E-01  104.77 mm     2.73 mm     2.18 mm  
  90.00 MeV   7.611E+01  3.884E-01  111.45 mm     2.90 mm     2.21 mm  
 100.00 MeV   7.907E+01  3.563E-01  117.86 mm     3.04 mm     2.23 mm  
 110.00 MeV   8.169E+01  3.294E-01  124.05 mm     3.16 mm     2.25 mm  
 120.00 MeV   8.401E+01  3.066E-01  130.06 mm     3.28 mm     2.27 mm  
 130.00 MeV   8.607E+01  2.869E-01  135.91 mm     3.38 mm     2.28 mm  
 140.00 MeV   8.788E+01  2.698E-01  141.64 mm     3.48 mm     2.30 mm  
 150.00 MeV   8.948E+01  2.548E-01  147.26 mm     3.57 mm     2.31 mm  
 160.00 MeV   9.089E+01  2.414E-01  152.79 mm     3.66 mm     2.32 mm  
