 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\41_99.txt

 Ion = Niobium [41] , Mass = 99 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.650E+01  5.355E-01   66.80 mm     1.95 mm     1.92 mm  
  32.50 MeV   4.850E+01  5.025E-01   69.40 mm     1.99 mm     1.94 mm  
  35.00 MeV   5.035E+01  4.737E-01   71.91 mm     2.03 mm     1.96 mm  
  37.50 MeV   5.205E+01  4.482E-01   74.33 mm     2.06 mm     1.97 mm  
  40.00 MeV   5.363E+01  4.255E-01   76.67 mm     2.09 mm     1.98 mm  
  45.00 MeV   5.648E+01  3.870E-01   81.18 mm     2.19 mm     2.01 mm  
  50.00 MeV   5.896E+01  3.553E-01   85.48 mm     2.27 mm     2.03 mm  
  55.00 MeV   6.114E+01  3.287E-01   89.61 mm     2.35 mm     2.05 mm  
  60.00 MeV   6.306E+01  3.061E-01   93.62 mm     2.42 mm     2.07 mm  
  65.00 MeV   6.476E+01  2.867E-01   97.51 mm     2.49 mm     2.08 mm  
  70.00 MeV   6.626E+01  2.697E-01  101.31 mm     2.55 mm     2.09 mm  
  80.00 MeV   6.877E+01  2.415E-01  108.68 mm     2.75 mm     2.12 mm  
  90.00 MeV   7.074E+01  2.191E-01  115.82 mm     2.94 mm     2.14 mm  
 100.00 MeV   7.229E+01  2.006E-01  122.79 mm     3.10 mm     2.16 mm  
 110.00 MeV   7.350E+01  1.853E-01  129.63 mm     3.25 mm     2.18 mm  
 120.00 MeV   7.442E+01  1.722E-01  136.38 mm     3.39 mm     2.19 mm  
 130.00 MeV   7.512E+01  1.610E-01  143.05 mm     3.52 mm     2.21 mm  
 140.00 MeV   7.564E+01  1.513E-01  149.66 mm     3.64 mm     2.22 mm  
 150.00 MeV   7.600E+01  1.427E-01  156.25 mm     3.76 mm     2.23 mm  
 160.00 MeV   7.623E+01  1.351E-01  162.80 mm     3.87 mm     2.25 mm  
 170.00 MeV   7.635E+01  1.284E-01  169.34 mm     3.98 mm     2.26 mm  
 180.00 MeV   7.639E+01  1.223E-01  175.88 mm     4.09 mm     2.27 mm  
 200.00 MeV   7.635E+01  1.118E-01  188.95 mm     4.49 mm     2.29 mm  
 225.00 MeV   7.645E+01  1.011E-01  205.29 mm     5.05 mm     2.32 mm  
 250.00 MeV   7.564E+01  9.240E-02  221.71 mm     5.56 mm     2.34 mm  
 275.00 MeV   7.500E+01  8.514E-02  238.29 mm     6.04 mm     2.36 mm  
 300.00 MeV   7.426E+01  7.901E-02  255.02 mm     6.49 mm     2.39 mm  
 325.00 MeV   7.345E+01  7.374E-02  271.93 mm     6.91 mm     2.41 mm  
 350.00 MeV   7.262E+01  6.918E-02  289.03 mm     7.33 mm     2.43 mm  
 375.00 MeV   7.176E+01  6.517E-02  306.33 mm     7.72 mm     2.45 mm  
 400.00 MeV   7.089E+01  6.163E-02  323.84 mm     8.11 mm     2.47 mm  
 450.00 MeV   6.915E+01  5.565E-02  359.52 mm     9.56 mm     2.52 mm  
 500.00 MeV   6.744E+01  5.078E-02  396.11 mm    10.87 mm     2.56 mm  
 550.00 MeV   6.577E+01  4.673E-02  433.63 mm    12.10 mm     2.60 mm  
 600.00 MeV   6.413E+01  4.332E-02  472.10 mm    13.26 mm     2.65 mm  
 650.00 MeV   6.255E+01  4.039E-02  511.56 mm    14.39 mm     2.69 mm  
 700.00 MeV   6.101E+01  3.785E-02  552.01 mm    15.49 mm     2.74 mm  
 800.00 MeV   5.805E+01  3.367E-02  636.01 mm    19.52 mm     2.83 mm  
 900.00 MeV   5.525E+01  3.036E-02  724.28 mm    23.17 mm     2.93 mm  
   1.00 GeV   5.260E+01  2.767E-02  817.01 mm    26.63 mm     3.04 mm  
   1.10 GeV   5.010E+01  2.544E-02  914.38 mm    29.98 mm     3.15 mm  
   1.20 GeV   4.775E+01  2.356E-02    1.02 m     33.29 mm     3.27 mm  
   1.30 GeV   4.553E+01  2.195E-02    1.12 m     36.58 mm     3.40 mm  
   1.40 GeV   4.345E+01  2.056E-02    1.24 m     39.89 mm     3.53 mm  
   1.50 GeV   4.151E+01  1.934E-02    1.35 m     43.22 mm     3.67 mm  
   1.60 GeV   3.971E+01  1.826E-02    1.48 m     46.60 mm     3.82 mm  
   1.70 GeV   3.804E+01  1.730E-02    1.61 m     50.03 mm     3.98 mm  
   1.80 GeV   3.650E+01  1.645E-02    1.74 m     53.51 mm     4.15 mm  
   2.00 GeV   3.378E+01  1.498E-02    2.02 m     66.98 mm     4.51 mm  
   2.25 GeV   3.104E+01  1.348E-02    2.41 m     86.43 mm     5.01 mm  
   2.50 GeV   2.896E+01  1.227E-02    2.83 m    104.64 mm     5.56 mm  
   2.75 GeV   2.747E+01  1.127E-02    3.27 m    121.98 mm     6.16 mm  
   3.00 GeV   2.643E+01  1.043E-02    3.73 m    138.51 mm     6.78 mm  
   3.25 GeV   2.505E+01  9.706E-03    4.22 m    154.62 mm     7.44 mm  
   3.50 GeV   2.383E+01  9.082E-03    4.73 m    170.72 mm     8.13 mm  
   3.75 GeV   2.273E+01  8.537E-03    5.27 m    186.86 mm     8.85 mm  
   4.00 GeV   2.174E+01  8.056E-03    5.83 m    203.09 mm     9.61 mm  
   4.50 GeV   2.003E+01  7.247E-03    7.03 m    264.54 mm    11.22 mm  
   5.00 GeV   1.860E+01  6.591E-03    8.33 m    321.82 mm    12.96 mm  
   5.50 GeV   1.739E+01  6.049E-03    9.72 m    377.15 mm    14.81 mm  
   6.00 GeV   1.635E+01  5.592E-03   11.20 m    431.55 mm    16.77 mm  
   6.50 GeV   1.545E+01  5.203E-03   12.77 m    485.55 mm    18.85 mm  
   7.00 GeV   1.466E+01  4.866E-03   14.43 m    539.44 mm    21.02 mm  
   8.00 GeV   1.333E+01  4.312E-03   18.01 m    739.70 mm    25.67 mm  
   9.00 GeV   1.227E+01  3.876E-03   21.92 m    923.57 mm    30.71 mm  
  10.00 GeV   1.140E+01  3.523E-03   26.15 m      1.10 m     36.09 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.9999E-03                 eV / Angstrom 
  1.9999E-02                keV / micron   
  1.9999E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.6471E+00                 eV / (1E15 atoms/cm2)
  3.6592E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
