 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\49_118.txt

 Ion = Indium [49] , Mass = 118 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.711E+01  8.410E-01   72.40 mm     2.20 mm     2.17 mm  
  32.50 MeV   4.907E+01  7.903E-01   75.32 mm     2.25 mm     2.20 mm  
  35.00 MeV   5.090E+01  7.458E-01   78.13 mm     2.29 mm     2.22 mm  
  37.50 MeV   5.262E+01  7.065E-01   80.85 mm     2.32 mm     2.24 mm  
  40.00 MeV   5.425E+01  6.714E-01   83.48 mm     2.36 mm     2.26 mm  
  45.00 MeV   5.728E+01  6.116E-01   88.54 mm     2.47 mm     2.29 mm  
  50.00 MeV   6.006E+01  5.624E-01   93.35 mm     2.57 mm     2.32 mm  
  55.00 MeV   6.263E+01  5.210E-01   97.96 mm     2.65 mm     2.35 mm  
  60.00 MeV   6.502E+01  4.858E-01  102.39 mm     2.73 mm     2.37 mm  
  65.00 MeV   6.726E+01  4.554E-01  106.68 mm     2.80 mm     2.39 mm  
  70.00 MeV   6.935E+01  4.289E-01  110.82 mm     2.86 mm     2.41 mm  
  80.00 MeV   7.314E+01  3.847E-01  118.79 mm     3.08 mm     2.44 mm  
  90.00 MeV   7.646E+01  3.494E-01  126.38 mm     3.27 mm     2.47 mm  
 100.00 MeV   7.937E+01  3.204E-01  133.67 mm     3.43 mm     2.49 mm  
 110.00 MeV   8.191E+01  2.962E-01  140.72 mm     3.57 mm     2.51 mm  
 120.00 MeV   8.412E+01  2.756E-01  147.57 mm     3.71 mm     2.53 mm  
 130.00 MeV   8.605E+01  2.579E-01  154.25 mm     3.83 mm     2.55 mm  
 140.00 MeV   8.772E+01  2.424E-01  160.80 mm     3.94 mm     2.56 mm  
 150.00 MeV   8.916E+01  2.289E-01  167.24 mm     4.04 mm     2.58 mm  
 160.00 MeV   9.040E+01  2.168E-01  173.58 mm     4.14 mm     2.59 mm  
 170.00 MeV   9.146E+01  2.061E-01  179.84 mm     4.24 mm     2.61 mm  
 180.00 MeV   9.236E+01  1.964E-01  186.03 mm     4.33 mm     2.62 mm  
 200.00 MeV   9.375E+01  1.798E-01  198.27 mm     4.67 mm     2.64 mm  
 225.00 MeV   9.488E+01  1.627E-01  213.37 mm     5.13 mm     2.67 mm  
 250.00 MeV   9.610E+01  1.489E-01  228.29 mm     5.55 mm     2.69 mm  
 275.00 MeV   9.648E+01  1.373E-01  243.09 mm     5.93 mm     2.71 mm  
 300.00 MeV   9.633E+01  1.275E-01  257.87 mm     6.29 mm     2.74 mm  
 325.00 MeV   9.623E+01  1.190E-01  272.67 mm     6.63 mm     2.76 mm  
 350.00 MeV   9.595E+01  1.117E-01  287.50 mm     6.96 mm     2.78 mm  
 375.00 MeV   9.553E+01  1.053E-01  302.39 mm     7.27 mm     2.80 mm  
 400.00 MeV   9.502E+01  9.965E-02  317.35 mm     7.57 mm     2.81 mm  
 450.00 MeV   9.378E+01  9.005E-02  347.55 mm     8.70 mm     2.85 mm  
 500.00 MeV   9.236E+01  8.223E-02  378.20 mm     9.72 mm     2.89 mm  
 550.00 MeV   9.083E+01  7.573E-02  409.33 mm    10.67 mm     2.92 mm  
 600.00 MeV   8.925E+01  7.023E-02  441.01 mm    11.57 mm     2.95 mm  
 650.00 MeV   8.765E+01  6.552E-02  473.25 mm    12.44 mm     2.99 mm  
 700.00 MeV   8.605E+01  6.144E-02  506.09 mm    13.28 mm     3.02 mm  
 800.00 MeV   8.285E+01  5.469E-02  573.67 mm    16.36 mm     3.09 mm  
 900.00 MeV   7.973E+01  4.935E-02  643.87 mm    19.14 mm     3.16 mm  
   1.00 GeV   7.671E+01  4.501E-02  716.83 mm    21.75 mm     3.23 mm  
   1.10 GeV   7.378E+01  4.140E-02  792.68 mm    24.25 mm     3.31 mm  
   1.20 GeV   7.097E+01  3.836E-02  871.53 mm    26.69 mm     3.39 mm  
   1.30 GeV   6.827E+01  3.575E-02  953.51 mm    29.10 mm     3.47 mm  
   1.40 GeV   6.569E+01  3.350E-02    1.04 m     31.50 mm     3.55 mm  
   1.50 GeV   6.323E+01  3.152E-02    1.13 m     33.90 mm     3.64 mm  
   1.60 GeV   6.089E+01  2.978E-02    1.22 m     36.31 mm     3.74 mm  
   1.70 GeV   5.867E+01  2.822E-02    1.31 m     38.74 mm     3.83 mm  
   1.80 GeV   5.657E+01  2.683E-02    1.41 m     41.20 mm     3.94 mm  
   2.00 GeV   5.272E+01  2.445E-02    1.62 m     50.71 mm     4.16 mm  
   2.25 GeV   4.855E+01  2.202E-02    1.90 m     64.53 mm     4.47 mm  
   2.50 GeV   4.506E+01  2.006E-02    2.21 m     77.63 mm     4.81 mm  
   2.75 GeV   4.220E+01  1.843E-02    2.54 m     90.38 mm     5.18 mm  
   3.00 GeV   3.993E+01  1.705E-02    2.88 m    102.89 mm     5.59 mm  
   3.25 GeV   3.818E+01  1.588E-02    3.25 m    115.15 mm     6.02 mm  
   3.50 GeV   3.692E+01  1.486E-02    3.63 m    127.07 mm     6.47 mm  
   3.75 GeV   3.544E+01  1.398E-02    4.02 m    138.78 mm     6.95 mm  
   4.00 GeV   3.400E+01  1.319E-02    4.44 m    150.47 mm     7.45 mm  
   4.50 GeV   3.148E+01  1.187E-02    5.31 m    194.62 mm     8.51 mm  
   5.00 GeV   2.934E+01  1.080E-02    6.25 m    235.64 mm     9.65 mm  
