 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\30_72.txt

 Ion = Zinc [30] , Mass = 72 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.654E+01  2.371E-01   71.81 mm     1.96 mm     1.87 mm  
  32.50 MeV   4.780E+01  2.221E-01   74.81 mm     2.01 mm     1.89 mm  
  35.00 MeV   4.894E+01  2.090E-01   77.75 mm     2.06 mm     1.90 mm  
  37.50 MeV   4.998E+01  1.974E-01   80.62 mm     2.10 mm     1.91 mm  
  40.00 MeV   5.093E+01  1.872E-01   83.44 mm     2.14 mm     1.92 mm  
  45.00 MeV   5.259E+01  1.697E-01   88.93 mm     2.28 mm     1.94 mm  
  50.00 MeV   5.397E+01  1.555E-01   94.27 mm     2.40 mm     1.96 mm  
  55.00 MeV   5.511E+01  1.436E-01   99.49 mm     2.51 mm     1.98 mm  
  60.00 MeV   5.604E+01  1.335E-01  104.61 mm     2.62 mm     1.99 mm  
  65.00 MeV   5.680E+01  1.248E-01  109.65 mm     2.72 mm     2.00 mm  
  70.00 MeV   5.741E+01  1.173E-01  114.64 mm     2.81 mm     2.02 mm  
  80.00 MeV   5.824E+01  1.048E-01  124.49 mm     3.14 mm     2.04 mm  
  90.00 MeV   5.868E+01  9.481E-02  134.23 mm     3.43 mm     2.06 mm  
 100.00 MeV   5.881E+01  8.669E-02  143.93 mm     3.69 mm     2.08 mm  
 110.00 MeV   5.872E+01  7.993E-02  153.63 mm     3.94 mm     2.10 mm  
 120.00 MeV   5.845E+01  7.420E-02  163.36 mm     4.18 mm     2.12 mm  
 130.00 MeV   5.806E+01  6.929E-02  173.15 mm     4.40 mm     2.13 mm  
 140.00 MeV   5.758E+01  6.502E-02  183.01 mm     4.62 mm     2.15 mm  
 150.00 MeV   5.730E+01  6.128E-02  192.94 mm     4.83 mm     2.16 mm  
 160.00 MeV   5.691E+01  5.796E-02  202.92 mm     5.03 mm     2.18 mm  
 170.00 MeV   5.618E+01  5.501E-02  213.01 mm     5.23 mm     2.20 mm  
 180.00 MeV   5.548E+01  5.237E-02  223.22 mm     5.43 mm     2.21 mm  
