 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\47_113.txt

 Ion = Silver [47] , Mass = 113 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   5.149E+01  7.559E-01   74.37 mm     2.26 mm     2.27 mm  
  32.50 MeV   5.391E+01  7.100E-01   77.04 mm     2.29 mm     2.29 mm  
  35.00 MeV   5.614E+01  6.699E-01   79.60 mm     2.33 mm     2.31 mm  
  37.50 MeV   5.820E+01  6.344E-01   82.07 mm     2.36 mm     2.32 mm  
  40.00 MeV   6.012E+01  6.028E-01   84.45 mm     2.38 mm     2.34 mm  
  45.00 MeV   6.359E+01  5.488E-01   89.02 mm     2.48 mm     2.37 mm  
  50.00 MeV   6.667E+01  5.044E-01   93.36 mm     2.56 mm     2.39 mm  
  55.00 MeV   6.941E+01  4.672E-01   97.53 mm     2.63 mm     2.41 mm  
  60.00 MeV   7.188E+01  4.355E-01  101.54 mm     2.69 mm     2.43 mm  
  65.00 MeV   7.411E+01  4.082E-01  105.42 mm     2.75 mm     2.45 mm  
  70.00 MeV   7.613E+01  3.843E-01  109.20 mm     2.80 mm     2.46 mm  
  80.00 MeV   7.963E+01  3.446E-01  116.49 mm     2.99 mm     2.49 mm  
  90.00 MeV   8.253E+01  3.128E-01  123.50 mm     3.15 mm     2.51 mm  
 100.00 MeV   8.494E+01  2.868E-01  130.29 mm     3.30 mm     2.53 mm  
 110.00 MeV   8.694E+01  2.650E-01  136.91 mm     3.43 mm     2.55 mm  
 120.00 MeV   8.860E+01  2.465E-01  143.39 mm     3.55 mm     2.56 mm  
 130.00 MeV   8.996E+01  2.306E-01  149.77 mm     3.67 mm     2.58 mm  
 140.00 MeV   9.108E+01  2.168E-01  156.06 mm     3.78 mm     2.59 mm  
 150.00 MeV   9.198E+01  2.046E-01  162.28 mm     3.88 mm     2.60 mm  
 160.00 MeV   9.271E+01  1.938E-01  168.44 mm     3.98 mm     2.61 mm  
 170.00 MeV   9.327E+01  1.842E-01  174.57 mm     4.07 mm     2.62 mm  
 180.00 MeV   9.371E+01  1.756E-01  180.66 mm     4.16 mm     2.64 mm  
 200.00 MeV   9.424E+01  1.606E-01  192.79 mm     4.50 mm     2.66 mm  
 225.00 MeV   9.443E+01  1.454E-01  207.89 mm     4.99 mm     2.68 mm  
 250.00 MeV   9.504E+01  1.329E-01  222.93 mm     5.42 mm     2.70 mm  
 275.00 MeV   9.434E+01  1.226E-01  237.98 mm     5.83 mm     2.72 mm  
 300.00 MeV   9.387E+01  1.138E-01  253.12 mm     6.21 mm     2.74 mm  
 325.00 MeV   9.326E+01  1.063E-01  268.35 mm     6.57 mm     2.76 mm  
 350.00 MeV   9.255E+01  9.972E-02  283.70 mm     6.92 mm     2.78 mm  
 375.00 MeV   9.176E+01  9.399E-02  299.16 mm     7.26 mm     2.80 mm  
 400.00 MeV   9.093E+01  8.891E-02  314.77 mm     7.59 mm     2.81 mm  
 450.00 MeV   8.917E+01  8.033E-02  346.44 mm     8.82 mm     2.85 mm  
 500.00 MeV   8.737E+01  7.334E-02  378.75 mm     9.93 mm     2.88 mm  
 550.00 MeV   8.555E+01  6.753E-02  411.74 mm    10.97 mm     2.92 mm  
 600.00 MeV   8.376E+01  6.262E-02  445.43 mm    11.96 mm     2.95 mm  
 650.00 MeV   8.199E+01  5.841E-02  479.85 mm    12.92 mm     2.99 mm  
 700.00 MeV   8.026E+01  5.477E-02  515.01 mm    13.84 mm     3.02 mm  
 800.00 MeV   7.691E+01  4.875E-02  587.64 mm    17.24 mm     3.09 mm  
 900.00 MeV   7.371E+01  4.398E-02  663.42 mm    20.30 mm     3.17 mm  
   1.00 GeV   7.067E+01  4.010E-02  742.49 mm    23.18 mm     3.24 mm  
   1.10 GeV   6.776E+01  3.688E-02  824.95 mm    25.95 mm     3.33 mm  
   1.20 GeV   6.500E+01  3.417E-02  910.93 mm    28.66 mm     3.41 mm  
   1.30 GeV   6.238E+01  3.184E-02    1.00 m     31.34 mm     3.50 mm  
   1.40 GeV   5.989E+01  2.983E-02    1.09 m     34.01 mm     3.60 mm  
   1.50 GeV   5.753E+01  2.807E-02    1.19 m     36.68 mm     3.70 mm  
