 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\38_91.txt

 Ion = Strontium [38] , Mass = 91 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.953E+01  4.376E-01   70.12 mm     2.01 mm     1.97 mm  
  32.50 MeV   5.116E+01  4.104E-01   72.93 mm     2.05 mm     1.98 mm  
  35.00 MeV   5.267E+01  3.866E-01   75.65 mm     2.09 mm     2.00 mm  
  37.50 MeV   5.408E+01  3.657E-01   78.31 mm     2.12 mm     2.01 mm  
  40.00 MeV   5.540E+01  3.471E-01   80.89 mm     2.16 mm     2.03 mm  
  45.00 MeV   5.781E+01  3.154E-01   85.90 mm     2.28 mm     2.05 mm  
  50.00 MeV   5.996E+01  2.893E-01   90.72 mm     2.38 mm     2.07 mm  
  55.00 MeV   6.189E+01  2.676E-01   95.38 mm     2.47 mm     2.09 mm  
  60.00 MeV   6.363E+01  2.491E-01   99.91 mm     2.56 mm     2.11 mm  
  65.00 MeV   6.518E+01  2.332E-01  104.32 mm     2.63 mm     2.12 mm  
  70.00 MeV   6.658E+01  2.193E-01  108.64 mm     2.70 mm     2.13 mm  
  80.00 MeV   6.894E+01  1.962E-01  117.03 mm     2.96 mm     2.16 mm  
  90.00 MeV   7.081E+01  1.779E-01  125.18 mm     3.18 mm     2.18 mm  
 100.00 MeV   7.227E+01  1.628E-01  133.14 mm     3.37 mm     2.20 mm  
 110.00 MeV   7.339E+01  1.503E-01  140.95 mm     3.55 mm     2.22 mm  
 120.00 MeV   7.422E+01  1.397E-01  148.67 mm     3.72 mm     2.23 mm  
 130.00 MeV   7.481E+01  1.305E-01  156.32 mm     3.87 mm     2.25 mm  
 140.00 MeV   7.519E+01  1.226E-01  163.91 mm     4.02 mm     2.26 mm  
 150.00 MeV   7.542E+01  1.156E-01  171.48 mm     4.16 mm     2.28 mm  
 160.00 MeV   7.550E+01  1.095E-01  179.03 mm     4.30 mm     2.29 mm  
 170.00 MeV   7.547E+01  1.040E-01  186.58 mm     4.43 mm     2.30 mm  
 180.00 MeV   7.534E+01  9.901E-02  194.14 mm     4.56 mm     2.31 mm  
 200.00 MeV   7.549E+01  9.048E-02  209.26 mm     5.03 mm     2.34 mm  
 225.00 MeV   7.444E+01  8.180E-02  228.27 mm     5.71 mm     2.36 mm  
 250.00 MeV   7.349E+01  7.472E-02  247.55 mm     6.33 mm     2.39 mm  
 275.00 MeV   7.241E+01  6.883E-02  267.09 mm     6.91 mm     2.42 mm  
 300.00 MeV   7.126E+01  6.385E-02  286.94 mm     7.46 mm     2.44 mm  
 325.00 MeV   7.006E+01  5.958E-02  307.12 mm     7.99 mm     2.47 mm  
 350.00 MeV   6.884E+01  5.588E-02  327.65 mm     8.50 mm     2.49 mm  
 375.00 MeV   6.763E+01  5.263E-02  348.55 mm     9.00 mm     2.52 mm  
 400.00 MeV   6.644E+01  4.976E-02  369.82 mm     9.49 mm     2.55 mm  
 450.00 MeV   6.412E+01  4.491E-02  413.53 mm    11.33 mm     2.60 mm  
 500.00 MeV   6.190E+01  4.097E-02  458.81 mm    13.01 mm     2.65 mm  
 550.00 MeV   5.980E+01  3.770E-02  505.70 mm    14.61 mm     2.70 mm  
 600.00 MeV   5.781E+01  3.493E-02  554.22 mm    16.14 mm     2.76 mm  
 650.00 MeV   5.593E+01  3.257E-02  604.39 mm    17.63 mm     2.82 mm  
 700.00 MeV   5.414E+01  3.052E-02  656.24 mm    19.10 mm     2.88 mm  
 800.00 MeV   5.083E+01  2.713E-02  765.03 mm    24.53 mm     3.01 mm  
 900.00 MeV   4.783E+01  2.446E-02  880.77 mm    29.49 mm     3.14 mm  
   1.00 GeV   4.510E+01  2.229E-02    1.00 m     34.23 mm     3.29 mm  
   1.10 GeV   4.260E+01  2.049E-02    1.13 m     38.87 mm     3.45 mm  
   1.20 GeV   4.032E+01  1.897E-02    1.27 m     43.48 mm     3.63 mm  
   1.30 GeV   3.823E+01  1.767E-02    1.42 m     48.10 mm     3.81 mm  
   1.40 GeV   3.632E+01  1.654E-02    1.57 m     52.75 mm     4.01 mm  
