 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\52_125.txt

 Ion = Tellurium [52] , Mass = 125 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.648E+01  9.754E-01   73.29 mm     2.26 mm     2.22 mm  
  32.50 MeV   4.857E+01  9.170E-01   76.23 mm     2.31 mm     2.25 mm  
  35.00 MeV   5.050E+01  8.657E-01   79.06 mm     2.35 mm     2.28 mm  
  37.50 MeV   5.229E+01  8.204E-01   81.79 mm     2.38 mm     2.30 mm  
  40.00 MeV   5.397E+01  7.800E-01   84.43 mm     2.42 mm     2.32 mm  
  45.00 MeV   5.706E+01  7.110E-01   89.50 mm     2.53 mm     2.36 mm  
  50.00 MeV   5.985E+01  6.541E-01   94.32 mm     2.62 mm     2.39 mm  
  55.00 MeV   6.241E+01  6.063E-01   98.94 mm     2.71 mm     2.41 mm  
  60.00 MeV   6.478E+01  5.656E-01  103.38 mm     2.79 mm     2.44 mm  
  65.00 MeV   6.699E+01  5.304E-01  107.68 mm     2.86 mm     2.46 mm  
  70.00 MeV   6.905E+01  4.997E-01  111.84 mm     2.92 mm     2.48 mm  
  80.00 MeV   7.281E+01  4.485E-01  119.83 mm     3.14 mm     2.51 mm  
  90.00 MeV   7.615E+01  4.075E-01  127.44 mm     3.32 mm     2.54 mm  
 100.00 MeV   7.911E+01  3.738E-01  134.76 mm     3.48 mm     2.57 mm  
 110.00 MeV   8.175E+01  3.457E-01  141.82 mm     3.62 mm     2.59 mm  
 120.00 MeV   8.410E+01  3.218E-01  148.67 mm     3.75 mm     2.61 mm  
 130.00 MeV   8.619E+01  3.012E-01  155.35 mm     3.87 mm     2.63 mm  
 140.00 MeV   8.804E+01  2.832E-01  161.88 mm     3.98 mm     2.65 mm  
 150.00 MeV   8.968E+01  2.674E-01  168.28 mm     4.09 mm     2.67 mm  
 160.00 MeV   9.113E+01  2.535E-01  174.57 mm     4.19 mm     2.68 mm  
 170.00 MeV   9.241E+01  2.409E-01  180.77 mm     4.28 mm     2.69 mm  
 180.00 MeV   9.353E+01  2.297E-01  186.90 mm     4.37 mm     2.71 mm  
 200.00 MeV   9.539E+01  2.103E-01  198.95 mm     4.69 mm     2.73 mm  
 225.00 MeV   9.707E+01  1.904E-01  213.75 mm     5.14 mm     2.76 mm  
 250.00 MeV   9.822E+01  1.742E-01  228.33 mm     5.54 mm     2.79 mm  
 275.00 MeV   9.977E+01  1.607E-01  242.72 mm     5.90 mm     2.81 mm  
 300.00 MeV   9.991E+01  1.493E-01  256.98 mm     6.24 mm     2.83 mm  
 325.00 MeV   1.002E+02  1.395E-01  271.22 mm     6.56 mm     2.85 mm  
 350.00 MeV   1.003E+02  1.309E-01  285.43 mm     6.86 mm     2.87 mm  
 375.00 MeV   1.003E+02  1.234E-01  299.64 mm     7.15 mm     2.89 mm  
 400.00 MeV   1.001E+02  1.168E-01  313.87 mm     7.43 mm     2.91 mm  
 450.00 MeV   9.938E+01  1.056E-01  342.46 mm     8.46 mm     2.95 mm  
 500.00 MeV   9.841E+01  9.643E-02  371.29 mm     9.39 mm     2.98 mm  
 550.00 MeV   9.725E+01  8.883E-02  400.44 mm    10.26 mm     3.01 mm  
 600.00 MeV   9.598E+01  8.240E-02  429.95 mm    11.08 mm     3.05 mm  
 650.00 MeV   9.464E+01  7.689E-02  459.87 mm    11.86 mm     3.08 mm  
 700.00 MeV   9.324E+01  7.210E-02  490.23 mm    12.61 mm     3.11 mm  
 800.00 MeV   9.037E+01  6.421E-02  552.38 mm    15.38 mm     3.17 mm  
 900.00 MeV   8.746E+01  5.795E-02  616.56 mm    17.86 mm     3.24 mm  
   1.00 GeV   8.457E+01  5.286E-02  682.90 mm    20.17 mm     3.30 mm  
   1.10 GeV   8.173E+01  4.864E-02  751.52 mm    22.39 mm     3.37 mm  
   1.20 GeV   7.895E+01  4.507E-02  822.56 mm    24.54 mm     3.44 mm  
   1.30 GeV   7.625E+01  4.201E-02  896.10 mm    26.65 mm     3.51 mm  
   1.40 GeV   7.363E+01  3.937E-02  972.26 mm    28.75 mm     3.58 mm  
   1.50 GeV   7.111E+01  3.705E-02    1.05 m     30.84 mm     3.66 mm  
   1.60 GeV   6.869E+01  3.500E-02    1.13 m     32.93 mm     3.74 mm  
   1.70 GeV   6.638E+01  3.318E-02    1.22 m     35.03 mm     3.82 mm  
   1.80 GeV   6.417E+01  3.155E-02    1.30 m     37.15 mm     3.91 mm  
   2.00 GeV   6.007E+01  2.875E-02    1.49 m     45.35 mm     4.09 mm  
   2.25 GeV   5.556E+01  2.590E-02    1.74 m     57.25 mm     4.35 mm  
   2.50 GeV   5.172E+01  2.359E-02    2.00 m     68.53 mm     4.63 mm  
