 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 10, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\36_87.txt

 Ion = Krypton [36] , Mass = 87 amu

 Target Density =  2.0000E-04 g/cm3 = 3.0087E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   5.000E+01  3.834E-01   65.12 mm     1.85 mm     1.84 mm  
  32.50 MeV   5.203E+01  3.594E-01   67.55 mm     1.89 mm     1.86 mm  
  35.00 MeV   5.388E+01  3.385E-01   69.90 mm     1.92 mm     1.87 mm  
  37.50 MeV   5.554E+01  3.201E-01   72.17 mm     1.95 mm     1.88 mm  
  40.00 MeV   5.705E+01  3.037E-01   74.37 mm     1.98 mm     1.89 mm  
  45.00 MeV   5.964E+01  2.759E-01   78.64 mm     2.07 mm     1.91 mm  
  50.00 MeV   6.177E+01  2.530E-01   82.73 mm     2.15 mm     1.93 mm  
  55.00 MeV   6.350E+01  2.339E-01   86.71 mm     2.23 mm     1.94 mm  
  60.00 MeV   6.492E+01  2.177E-01   90.59 mm     2.29 mm     1.95 mm  
  65.00 MeV   6.607E+01  2.037E-01   94.39 mm     2.36 mm     1.96 mm  
  70.00 MeV   6.699E+01  1.915E-01   98.14 mm     2.42 mm     1.98 mm  
  80.00 MeV   6.831E+01  1.713E-01  105.50 mm     2.64 mm     1.99 mm  
  90.00 MeV   6.911E+01  1.552E-01  112.76 mm     2.83 mm     2.01 mm  
 100.00 MeV   6.952E+01  1.421E-01  119.96 mm     3.01 mm     2.03 mm  
 110.00 MeV   6.966E+01  1.311E-01  127.13 mm     3.18 mm     2.04 mm  
 120.00 MeV   6.961E+01  1.218E-01  134.30 mm     3.34 mm     2.06 mm  
 130.00 MeV   6.941E+01  1.138E-01  141.48 mm     3.49 mm     2.07 mm  
 140.00 MeV   6.911E+01  1.069E-01  148.68 mm     3.64 mm     2.08 mm  
 150.00 MeV   6.873E+01  1.008E-01  155.93 mm     3.78 mm     2.10 mm  
 160.00 MeV   6.830E+01  9.540E-02  163.22 mm     3.92 mm     2.11 mm  
 170.00 MeV   6.783E+01  9.059E-02  170.55 mm     4.05 mm     2.12 mm  
 180.00 MeV   6.761E+01  8.627E-02  177.93 mm     4.19 mm     2.13 mm  
 200.00 MeV   6.686E+01  7.882E-02  192.78 mm     4.69 mm     2.15 mm  
 225.00 MeV   6.547E+01  7.123E-02  211.66 mm     5.39 mm     2.18 mm  
 250.00 MeV   6.431E+01  6.505E-02  230.90 mm     6.04 mm     2.20 mm  
 275.00 MeV   6.318E+01  5.992E-02  250.49 mm     6.65 mm     2.23 mm  
 300.00 MeV   6.209E+01  5.557E-02  270.44 mm     7.22 mm     2.26 mm  
 325.00 MeV   6.103E+01  5.185E-02  290.73 mm     7.77 mm     2.28 mm  
 350.00 MeV   6.001E+01  4.862E-02  311.37 mm     8.31 mm     2.31 mm  
 375.00 MeV   5.903E+01  4.579E-02  332.36 mm     8.82 mm     2.33 mm  
 400.00 MeV   5.809E+01  4.329E-02  353.69 mm     9.32 mm     2.36 mm  
 450.00 MeV   5.629E+01  3.906E-02  397.39 mm    11.19 mm     2.41 mm  
 500.00 MeV   5.459E+01  3.563E-02  442.47 mm    12.88 mm     2.47 mm  
 550.00 MeV   5.298E+01  3.277E-02  488.94 mm    14.46 mm     2.52 mm  
 600.00 MeV   5.143E+01  3.037E-02  536.82 mm    15.97 mm     2.58 mm  
 650.00 MeV   4.994E+01  2.831E-02  586.13 mm    17.43 mm     2.64 mm  
 700.00 MeV   4.849E+01  2.652E-02  636.92 mm    18.85 mm     2.70 mm  
 800.00 MeV   4.574E+01  2.358E-02  743.07 mm    24.10 mm     2.83 mm  
 900.00 MeV   4.314E+01  2.125E-02  855.63 mm    28.89 mm     2.97 mm  
   1.00 GeV   4.069E+01  1.936E-02  974.95 mm    33.46 mm     3.12 mm  
   1.10 GeV   3.840E+01  1.779E-02    1.10 m     37.94 mm     3.28 mm  
   1.20 GeV   3.626E+01  1.647E-02    1.24 m     42.41 mm     3.45 mm  
   1.30 GeV   3.427E+01  1.534E-02    1.38 m     46.92 mm     3.64 mm  
   1.40 GeV   3.244E+01  1.436E-02    1.53 m     51.49 mm     3.84 mm  
   1.50 GeV   3.076E+01  1.351E-02    1.69 m     56.15 mm     4.05 mm  
   1.60 GeV   2.923E+01  1.275E-02    1.85 m     60.90 mm     4.28 mm  
   1.70 GeV   2.785E+01  1.208E-02    2.03 m     65.75 mm     4.52 mm  
   1.80 GeV   2.662E+01  1.148E-02    2.21 m     70.70 mm     4.77 mm  
   2.00 GeV   2.455E+01  1.045E-02    2.60 m     89.79 mm     5.33 mm  
   2.25 GeV   2.267E+01  9.406E-03    3.13 m    116.97 mm     6.09 mm  
   2.50 GeV   2.151E+01  8.559E-03    3.70 m    141.75 mm     6.91 mm  
   2.75 GeV   2.046E+01  7.858E-03    4.29 m    164.91 mm     7.77 mm  
   3.00 GeV   1.927E+01  7.268E-03    4.92 m    187.42 mm     8.69 mm  
   3.25 GeV   1.822E+01  6.763E-03    5.59 m    209.85 mm     9.66 mm  
   3.50 GeV   1.729E+01  6.327E-03    6.30 m    232.30 mm    10.67 mm  
   3.75 GeV   1.646E+01  5.946E-03    7.04 m    254.86 mm    11.74 mm  
   4.00 GeV   1.572E+01  5.610E-03    7.81 m    277.55 mm    12.85 mm  
   4.50 GeV   1.445E+01  5.045E-03    9.47 m    363.48 mm    15.22 mm  
   5.00 GeV   1.339E+01  4.587E-03   11.27 m    443.59 mm    17.77 mm  
   5.50 GeV   1.250E+01  4.209E-03   13.20 m    521.03 mm    20.49 mm  
   6.00 GeV   1.174E+01  3.890E-03   15.26 m    597.19 mm    23.37 mm  
   6.50 GeV   1.109E+01  3.618E-03   17.46 m    672.82 mm    26.41 mm  
   7.00 GeV   1.051E+01  3.383E-03   19.77 m    748.31 mm    29.61 mm  
   8.00 GeV   9.559E+00  2.997E-03   24.76 m      1.03 m     36.44 mm  
   9.00 GeV   8.797E+00  2.693E-03   30.21 m      1.29 m     43.83 mm  
  10.00 GeV   8.159E+00  2.447E-03   36.12 m      1.53 m     51.74 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.9999E-03                 eV / Angstrom 
  1.9999E-02                keV / micron   
  1.9999E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.6471E+00                 eV / (1E15 atoms/cm2)
  4.0334E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
