 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\33_79.txt

 Ion = Arsenic [33] , Mass = 79 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.765E+01  3.035E-01   72.09 mm     2.01 mm     1.96 mm  
  32.50 MeV   4.908E+01  2.844E-01   75.02 mm     2.06 mm     1.98 mm  
  35.00 MeV   5.039E+01  2.677E-01   77.87 mm     2.10 mm     1.99 mm  
  37.50 MeV   5.161E+01  2.530E-01   80.65 mm     2.14 mm     2.00 mm  
  40.00 MeV   5.273E+01  2.400E-01   83.37 mm     2.17 mm     2.02 mm  
  45.00 MeV   5.474E+01  2.178E-01   88.66 mm     2.30 mm     2.04 mm  
  50.00 MeV   5.646E+01  1.997E-01   93.77 mm     2.42 mm     2.06 mm  
  55.00 MeV   5.795E+01  1.845E-01   98.74 mm     2.52 mm     2.07 mm  
  60.00 MeV   5.923E+01  1.716E-01  103.59 mm     2.61 mm     2.09 mm  
  65.00 MeV   6.032E+01  1.605E-01  108.35 mm     2.70 mm     2.10 mm  
  70.00 MeV   6.125E+01  1.509E-01  113.04 mm     2.78 mm     2.11 mm  
  80.00 MeV   6.270E+01  1.349E-01  122.22 mm     3.07 mm     2.14 mm  
  90.00 MeV   6.369E+01  1.221E-01  131.23 mm     3.33 mm     2.16 mm  
 100.00 MeV   6.433E+01  1.117E-01  140.13 mm     3.56 mm     2.18 mm  
 110.00 MeV   6.468E+01  1.030E-01  148.96 mm     3.78 mm     2.19 mm  
 120.00 MeV   6.481E+01  9.569E-02  157.77 mm     3.98 mm     2.21 mm  
 130.00 MeV   6.476E+01  8.938E-02  166.56 mm     4.17 mm     2.23 mm  
 140.00 MeV   6.457E+01  8.391E-02  175.38 mm     4.35 mm     2.24 mm  
 150.00 MeV   6.428E+01  7.910E-02  184.23 mm     4.53 mm     2.26 mm  
 160.00 MeV   6.400E+01  7.484E-02  193.11 mm     4.70 mm     2.27 mm  
 170.00 MeV   6.392E+01  7.105E-02  202.03 mm     4.87 mm     2.28 mm  
 180.00 MeV   6.350E+01  6.765E-02  210.98 mm     5.03 mm     2.30 mm  
 200.00 MeV   6.228E+01  6.178E-02  229.11 mm     5.65 mm     2.32 mm  
 225.00 MeV   6.095E+01  5.581E-02  252.26 mm     6.53 mm     2.36 mm  
 250.00 MeV   5.954E+01  5.095E-02  275.93 mm     7.34 mm     2.39 mm  
 275.00 MeV   5.813E+01  4.691E-02  300.16 mm     8.10 mm     2.42 mm  
 300.00 MeV   5.673E+01  4.349E-02  325.00 mm     8.83 mm     2.45 mm  
 325.00 MeV   5.537E+01  4.057E-02  350.44 mm     9.54 mm     2.49 mm  
 350.00 MeV   5.405E+01  3.803E-02  376.51 mm    10.23 mm     2.52 mm  
 375.00 MeV   5.278E+01  3.581E-02  403.21 mm    10.90 mm     2.55 mm  
 400.00 MeV   5.156E+01  3.385E-02  430.55 mm    11.57 mm     2.59 mm  
 450.00 MeV   4.926E+01  3.053E-02  487.16 mm    14.07 mm     2.66 mm  
 500.00 MeV   4.714E+01  2.784E-02  546.37 mm    16.38 mm     2.73 mm  
 550.00 MeV   4.517E+01  2.560E-02  608.20 mm    18.57 mm     2.81 mm  
 600.00 MeV   4.335E+01  2.372E-02  672.68 mm    20.69 mm     2.89 mm  
 650.00 MeV   4.165E+01  2.210E-02  739.83 mm    22.76 mm     2.98 mm  
 700.00 MeV   4.006E+01  2.070E-02  809.69 mm    24.82 mm     3.07 mm  
 800.00 MeV   3.717E+01  1.840E-02  957.61 mm    32.46 mm     3.26 mm  
 900.00 MeV   3.461E+01  1.658E-02    1.12 m     39.51 mm     3.48 mm  
   1.00 GeV   3.233E+01  1.510E-02    1.29 m     46.30 mm     3.71 mm  
   1.10 GeV   3.029E+01  1.387E-02    1.47 m     53.01 mm     3.97 mm  
   1.20 GeV   2.846E+01  1.284E-02    1.66 m     59.72 mm     4.24 mm  
   1.30 GeV   2.683E+01  1.196E-02    1.87 m     66.48 mm     4.54 mm  
   1.40 GeV   2.538E+01  1.119E-02    2.09 m     73.33 mm     4.86 mm  
   1.50 GeV   2.408E+01  1.052E-02    2.32 m     80.27 mm     5.21 mm  
   1.60 GeV   2.293E+01  9.935E-03    2.56 m     87.32 mm     5.57 mm  
   1.70 GeV   2.191E+01  9.411E-03    2.82 m     94.45 mm     5.96 mm  
   1.80 GeV   2.102E+01  8.942E-03    3.08 m    101.67 mm     6.36 mm  
   2.00 GeV   1.957E+01  8.137E-03    3.65 m    129.14 mm     7.23 mm  
   2.25 GeV   1.830E+01  7.322E-03    4.40 m    167.51 mm     8.40 mm  
   2.50 GeV   1.721E+01  6.661E-03    5.20 m    202.48 mm     9.64 mm  
   2.75 GeV   1.609E+01  6.114E-03    6.06 m    236.04 mm    10.97 mm  
   3.00 GeV   1.512E+01  5.654E-03    6.98 m    269.21 mm    12.38 mm  
   3.25 GeV   1.427E+01  5.261E-03    7.95 m    302.27 mm    13.86 mm  
