 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\41_98.txt

 Ion = Niobium [41] , Mass = 98 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.676E+01  5.312E-01   75.86 mm     2.22 mm     2.18 mm  
  32.50 MeV   4.876E+01  4.984E-01   78.81 mm     2.26 mm     2.20 mm  
  35.00 MeV   5.060E+01  4.698E-01   81.65 mm     2.30 mm     2.22 mm  
  37.50 MeV   5.230E+01  4.445E-01   84.40 mm     2.34 mm     2.24 mm  
  40.00 MeV   5.388E+01  4.220E-01   87.06 mm     2.37 mm     2.26 mm  
  45.00 MeV   5.672E+01  3.838E-01   92.18 mm     2.48 mm     2.28 mm  
  50.00 MeV   5.920E+01  3.523E-01   97.07 mm     2.58 mm     2.31 mm  
  55.00 MeV   6.137E+01  3.260E-01  101.78 mm     2.67 mm     2.33 mm  
  60.00 MeV   6.328E+01  3.036E-01  106.33 mm     2.75 mm     2.35 mm  
  65.00 MeV   6.497E+01  2.843E-01  110.76 mm     2.82 mm     2.36 mm  
  70.00 MeV   6.646E+01  2.675E-01  115.09 mm     2.89 mm     2.38 mm  
  80.00 MeV   6.895E+01  2.395E-01  123.48 mm     3.13 mm     2.41 mm  
  90.00 MeV   7.090E+01  2.172E-01  131.61 mm     3.34 mm     2.43 mm  
 100.00 MeV   7.243E+01  1.989E-01  139.55 mm     3.52 mm     2.45 mm  
 110.00 MeV   7.361E+01  1.837E-01  147.35 mm     3.69 mm     2.47 mm  
 120.00 MeV   7.452E+01  1.708E-01  155.03 mm     3.85 mm     2.49 mm  
 130.00 MeV   7.520E+01  1.597E-01  162.64 mm     4.00 mm     2.51 mm  
 140.00 MeV   7.570E+01  1.500E-01  170.19 mm     4.14 mm     2.52 mm  
 150.00 MeV   7.604E+01  1.415E-01  177.70 mm     4.28 mm     2.54 mm  
 160.00 MeV   7.625E+01  1.340E-01  185.18 mm     4.41 mm     2.55 mm  
 170.00 MeV   7.636E+01  1.273E-01  192.64 mm     4.54 mm     2.57 mm  
 180.00 MeV   7.639E+01  1.212E-01  200.10 mm     4.66 mm     2.58 mm  
 200.00 MeV   7.642E+01  1.108E-01  215.02 mm     5.12 mm     2.60 mm  
 225.00 MeV   7.638E+01  1.002E-01  233.67 mm     5.76 mm     2.63 mm  
 250.00 MeV   7.558E+01  9.159E-02  252.43 mm     6.34 mm     2.66 mm  
 275.00 MeV   7.492E+01  8.440E-02  271.37 mm     6.89 mm     2.69 mm  
 300.00 MeV   7.416E+01  7.832E-02  290.50 mm     7.40 mm     2.71 mm  
 325.00 MeV   7.334E+01  7.310E-02  309.83 mm     7.89 mm     2.74 mm  
 350.00 MeV   7.249E+01  6.857E-02  329.38 mm     8.36 mm     2.76 mm  
 375.00 MeV   7.163E+01  6.460E-02  349.16 mm     8.82 mm     2.79 mm  
 400.00 MeV   7.075E+01  6.109E-02  369.19 mm     9.26 mm     2.81 mm  
 450.00 MeV   6.899E+01  5.516E-02  410.01 mm    10.92 mm     2.86 mm  
 500.00 MeV   6.727E+01  5.033E-02  451.88 mm    12.42 mm     2.91 mm  
 550.00 MeV   6.558E+01  4.632E-02  494.83 mm    13.83 mm     2.96 mm  
