 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 26, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\51_122.txt

 Ion = Antimony [51] , Mass = 122 amu

 Target Density =  1.7520E-04 g/cm3 = 2.6357E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   4.698E+01  9.255E-01   72.78 mm     2.23 mm     2.20 mm  
  32.50 MeV   4.902E+01  8.698E-01   75.70 mm     2.28 mm     2.23 mm  
  35.00 MeV   5.090E+01  8.211E-01   78.50 mm     2.32 mm     2.25 mm  
  37.50 MeV   5.265E+01  7.780E-01   81.21 mm     2.35 mm     2.28 mm  
  40.00 MeV   5.430E+01  7.396E-01   83.84 mm     2.39 mm     2.30 mm  
  45.00 MeV   5.733E+01  6.740E-01   88.89 mm     2.50 mm     2.33 mm  
  50.00 MeV   6.009E+01  6.199E-01   93.69 mm     2.60 mm     2.36 mm  
  55.00 MeV   6.263E+01  5.745E-01   98.30 mm     2.68 mm     2.39 mm  
  60.00 MeV   6.499E+01  5.359E-01  102.73 mm     2.76 mm     2.41 mm  
  65.00 MeV   6.719E+01  5.024E-01  107.01 mm     2.83 mm     2.43 mm  
  70.00 MeV   6.925E+01  4.733E-01  111.16 mm     2.89 mm     2.45 mm  
  80.00 MeV   7.301E+01  4.247E-01  119.13 mm     3.11 mm     2.48 mm  
  90.00 MeV   7.634E+01  3.858E-01  126.73 mm     3.29 mm     2.51 mm  
 100.00 MeV   7.929E+01  3.539E-01  134.03 mm     3.46 mm     2.54 mm  
 110.00 MeV   8.191E+01  3.272E-01  141.08 mm     3.60 mm     2.56 mm  
 120.00 MeV   8.423E+01  3.045E-01  147.92 mm     3.73 mm     2.58 mm  
