 Event ID : 167
181.605 -87.8808 388.8 89 1301.2
176.697 -79.3795 392 90 606.4
171.788 -82.3487 395.2 91 1820
166.88 -79.3795 398.4 92 1479.1
166.88 -73.8474 401.6 93 1493.4
-12.2706 103.467 401.6 93 244.8
161.972 -70.8781 404.8 94 1774.7
157.064 -73.8474 408 95 605.1
152.155 -70.8781 408 95 291.5
161.972 -65.3461 408 95 232.5
-9.81647 96.3143 408 95 231.1
-4.90824 96.3143 411.2 96 523.8
-7.36236 94.9652 411.2 96 526.5
157.064 -62.3768 411.2 96 424.6
-2.45412 94.9652 414.4 97 310.9
152.155 -65.3461 414.4 97 1546.1
-4.90824 90.7145 417.6 98 564.6
-7.62939e-06 90.7145 417.6 98 465.9
-2.45413 92.0637 417.6 98 714.7
-7.62939e-06 87.813 420.8 99 913.2
-2.45412 86.4639 420.8 99 505
2.45411 83.5624 424 100 901.3
142.339 -53.8755 424 100 1358.7
2.45411 86.4639 424 100 675.6
142.339 -48.3434 427.2 101 192.6
7.36234 83.5624 427.2 101 148.9
137.431 -45.3742 430.4 102 378.6
4.90822 79.3117 430.4 102 678.1
7.36234 77.9626 433.6 103 768.7
132.522 -48.3434 433.6 103 1364
7.36234 75.0611 433.6 103 473.4
12.2706 77.9626 436.8 104 115.1
130.068 -43.9573 436.8 104 474.2
12.2706 75.0611 436.8 104 459.3
9.81646 73.7119 436.8 104 703.8
14.7247 73.7119 440 105 202.3
12.2706 69.4613 443.2 106 529.5
125.16 -41.0558 443.2 106 490.4
17.1788 69.4613 443.2 106 344.9
14.7247 70.8104 443.2 106 589
12.2706 66.5598 443.2 106 154.4
117.798 -36.8052 446.4 107 278.1
14.7247 65.2106 446.4 107 321.4
115.344 -35.456 449.6 108 224.9
19.633 65.2106 449.6 108 410
17.1788 60.9599 449.6 108 168.2
110.435 -32.5545 452.8 109 147.2
112.889 -28.3038 452.8 109 306.7
22.0871 60.9599 452.8 109 494.5
19.633 62.3091 452.8 109 506.2
107.981 -28.3038 456 110 342
24.5412 56.7093 456 110 514.1
29.4494 53.8078 462.4 112 349.7
105.527 -24.0532 462.4 112 396.2
103.073 -19.8025 465.6 113 241.8
31.9035 52.4586 465.6 113 194.6
98.1647 -22.704 465.6 113 112
34.3577 48.208 468.8 114 276.3
95.7106 -18.4534 472 115 235.4
98.1647 -14.2027 472 115 116.4
95.7106 -15.5519 472 115 306.5
34.3577 45.3065 472 115 398.6
36.8118 41.0558 475.2 116 370
93.2565 -14.2027 475.2 116 333.1
36.8118 43.9573 475.2 116 328.4
90.8024 -9.95207 478.4 117 269.5
88.3483 -14.2027 478.4 117 123
88.3483 -11.3012 478.4 117 312.1
85.8941 -9.95207 481.6 118 274.7
88.3483 -5.70141 481.6 118 109
39.2659 36.8052 481.6 118 316.3
44.1741 36.8052 484.8 119 217.5
80.9859 -7.05056 484.8 119 197.5
41.72 35.456 484.8 119 366.6
83.44 -2.7999 484.8 119 196
83.44 -5.70141 484.8 119 335.8
78.5318 -2.7999 488 120 290.2
78.5318 -5.70141 488 120 130.1
49.0824 31.2053 491.2 121 146.8
46.6282 32.5545 491.2 121 264.1
51.5365 26.9547 497.6 123 253.1
49.0824 22.704 497.6 123 171.1
51.5365 24.0532 497.6 123 329.8
73.6235 5.70141 500.8 124 121.5
73.6235 2.7999 500.8 124 281.7
53.9906 22.704 500.8 124 300.8
51.5365 18.4534 504 125 109.9
71.1694 7.05056 504 125 175
68.7153 2.7999 504 125 124.5
68.7153 5.70141 504 125 304.4
53.9906 19.8025 504 125 349.5
66.2612 9.95207 507.2 126 243.8
56.4447 18.4534 507.2 126 319.9
58.8988 19.8025 507.2 126 137
63.8071 11.3012 510.4 127 323.5
56.4447 15.5519 510.4 127 279.3
63.8071 14.2027 513.6 128 160.9
61.3529 15.5519 513.6 128 276.4
61.3529 9.95207 513.6 128 230.9
58.8988 14.2027 513.6 128 415.3
58.8988 11.3012 520 130 277.7
53.9906 14.2027 558.4 142 159.3
53.9906 11.3012 561.6 143 232.3
49.0824 11.3012 596.8 154 205.3
46.6282 9.95207 622.4 162 211.5
44.1741 11.3012 635.2 166 207.9
41.72 9.95207 651.2 171 187.5
39.2659 11.3012 667.2 176 123.8
36.8118 9.95207 686.4 182 151.1
34.3577 11.3012 708.8 189 75.4
31.9035 7.05056 721.6 193 122.9
26.9953 7.05056 766.4 207 116
24.5412 5.70141 792 215 80.8
19.6329 5.70141 817.6 223 87
14.7247 2.7999 856 235 98.1
7.36237 1.45075 923.2 256 73.9
2.45413 1.45075 955.2 266 69.4
