        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   8.477E-02  3.965E-05    2.13 m     89.52 mm    22.47 mm  
   6.00 MeV   7.880E-02  3.663E-05    2.50 m    103.63 mm    26.24 mm  
   6.50 MeV   7.367E-02  3.405E-05    2.89 m    117.80 mm    30.27 mm  
   7.00 MeV   6.922E-02  3.183E-05    3.31 m    132.11 mm    34.57 mm  
   8.00 MeV   6.185E-02  2.818E-05    4.22 m    185.41 mm    43.92 mm  
   9.00 MeV   5.600E-02  2.531E-05    5.24 m    235.19 mm    54.28 mm  
  10.00 MeV   5.123E-02  2.298E-05    6.36 m    283.92 mm    65.61 mm  
  11.00 MeV   4.727E-02  2.106E-05    7.58 m    332.57 mm    77.91 mm  
  12.00 MeV   4.391E-02  1.945E-05    8.89 m    381.61 mm    91.15 mm  
  13.00 MeV   4.104E-02  1.808E-05   10.30 m    431.28 mm   105.33 mm  
  14.00 MeV   3.855E-02  1.689E-05   11.81 m    481.71 mm   120.42 mm  
  15.00 MeV   3.636E-02  1.585E-05   13.41 m    532.97 mm   136.42 mm  
  16.00 MeV   3.443E-02  1.494E-05   15.10 m    585.09 mm   153.31 mm  
  17.00 MeV   3.271E-02  1.413E-05   16.88 m    638.10 mm   171.08 mm  
  18.00 MeV   3.117E-02  1.341E-05   18.76 m    692.00 mm   189.72 mm  
  20.00 MeV   2.852E-02  1.217E-05   22.78 m    897.30 mm   229.60 mm  
  22.50 MeV   2.582E-02  1.092E-05   28.29 m      1.19 m    284.19 mm  
  25.00 MeV   2.363E-02  9.914E-06   34.35 m      1.47 m    343.93 mm  
  27.50 MeV   2.181E-02  9.081E-06   40.95 m      1.74 m    408.68 mm  
  30.00 MeV   2.028E-02  8.381E-06   48.07 m      2.02 m    478.35 mm  
  32.50 MeV   1.897E-02  7.785E-06   55.70 m      2.29 m    552.82 mm  
