   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   8.776E-02  4.527E-05    1.88 m     76.89 mm    30.38 mm  
   5.00 MeV   8.058E-02  4.116E-05    2.27 m     94.84 mm    36.40 mm  
   5.50 MeV   7.456E-02  3.776E-05    2.69 m    112.39 mm    42.89 mm  
   6.00 MeV   6.945E-02  3.490E-05    3.14 m    129.84 mm    49.86 mm  
   6.50 MeV   6.505E-02  3.246E-05    3.62 m    147.35 mm    57.29 mm  
   7.00 MeV   6.121E-02  3.036E-05    4.14 m    165.02 mm    65.18 mm  
   8.00 MeV   5.485E-02  2.689E-05    5.27 m    230.29 mm    82.32 mm  
   9.00 MeV   4.977E-02  2.416E-05    6.51 m    291.23 mm   101.22 mm  
  10.00 MeV   4.563E-02  2.196E-05    7.88 m    350.85 mm   121.84 mm  
  11.00 MeV   4.217E-02  2.013E-05    9.37 m    410.31 mm   144.15 mm  
  12.00 MeV   3.923E-02  1.860E-05   10.97 m    470.19 mm   168.13 mm  
  13.00 MeV   3.672E-02  1.729E-05   12.69 m    530.79 mm   193.73 mm  
  14.00 MeV   3.453E-02  1.616E-05   14.52 m    592.27 mm   220.94 mm  
  15.00 MeV   3.261E-02  1.517E-05   16.46 m    654.73 mm   249.73 mm  
  16.00 MeV   3.091E-02  1.430E-05   18.52 m    718.21 mm   280.08 mm  
  17.00 MeV   2.939E-02  1.353E-05   20.68 m    782.74 mm   311.97 mm  
  18.00 MeV   2.803E-02  1.284E-05   22.95 m    848.34 mm   345.38 mm  
  20.00 MeV   2.568E-02  1.166E-05   27.81 m      1.10 m    416.71 mm  
  22.50 MeV   2.329E-02  1.047E-05   34.48 m      1.45 m    514.13 mm  
  25.00 MeV   2.135E-02  9.508E-06   41.79 m      1.79 m    620.47 mm  
  27.50 MeV   1.973E-02  8.712E-06   49.73 m      2.12 m    735.53 mm  
  30.00 MeV   1.837E-02  8.044E-06   58.29 m      2.45 m    859.09 mm  
  32.50 MeV   1.720E-02  7.474E-06   67.46 m      2.78 m    990.97 mm  
  35.00 MeV   1.618E-02  6.982E-06   77.23 m      3.11 m      1.13 m   
  37.50 MeV   1.530E-02  6.553E-06   87.59 m      3.44 m      1.28 m   
