   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   9.557E+00  1.046E-02   54.87 mm     1.54 mm     1.36 mm  
   6.50 MeV   9.473E+00  9.761E-03   58.29 mm     1.61 mm     1.37 mm  
   7.00 MeV   9.378E+00  9.155E-03   61.75 mm     1.69 mm     1.39 mm  
   8.00 MeV   9.170E+00  8.153E-03   68.77 mm     1.96 mm     1.42 mm  
   9.00 MeV   8.946E+00  7.360E-03   75.97 mm     2.21 mm     1.44 mm  
  10.00 MeV   8.714E+00  6.714E-03   83.35 mm     2.45 mm     1.47 mm  
  11.00 MeV   8.481E+00  6.178E-03   90.93 mm     2.68 mm     1.50 mm  
  12.00 MeV   8.248E+00  5.725E-03   98.73 mm     2.90 mm     1.53 mm  
  13.00 MeV   8.020E+00  5.337E-03  106.74 mm     3.11 mm     1.55 mm  
  14.00 MeV   7.797E+00  5.001E-03  114.99 mm     3.33 mm     1.58 mm  
  15.00 MeV   7.581E+00  4.707E-03  123.47 mm     3.54 mm     1.61 mm  
  16.00 MeV   7.372E+00  4.447E-03  132.19 mm     3.75 mm     1.64 mm  
  17.00 MeV   7.170E+00  4.216E-03  141.16 mm     3.96 mm     1.67 mm  
  18.00 MeV   6.976E+00  4.009E-03  150.38 mm     4.17 mm     1.70 mm  
  20.00 MeV   6.611E+00  3.653E-03  169.59 mm     4.98 mm     1.77 mm  
  22.50 MeV   6.195E+00  3.292E-03  195.06 mm     6.15 mm     1.85 mm  
  25.00 MeV   5.850E+00  2.999E-03  222.15 mm     7.25 mm     1.95 mm  
  27.50 MeV   5.533E+00  2.756E-03  250.81 mm     8.31 mm     2.04 mm  
  30.00 MeV   5.218E+00  2.551E-03  281.15 mm     9.36 mm     2.15 mm  
  32.50 MeV   4.952E+00  2.376E-03  313.23 mm    10.41 mm     2.26 mm  
  35.00 MeV   4.710E+00  2.224E-03  347.00 mm    11.46 mm     2.38 mm  
  37.50 MeV   4.490E+00  2.091E-03  382.45 mm    12.51 mm     2.51 mm  
  40.00 MeV   4.290E+00  1.974E-03  419.60 mm    13.57 mm     2.65 mm  
  45.00 MeV   3.938E+00  1.777E-03  498.96 mm    17.62 mm     2.94 mm  
  50.00 MeV   3.639E+00  1.618E-03  585.13 mm    21.44 mm     3.26 mm  
  55.00 MeV   3.383E+00  1.485E-03  678.09 mm    25.16 mm     3.62 mm  
  60.00 MeV   3.161E+00  1.374E-03  777.84 mm    28.86 mm     4.00 mm  
  65.00 MeV   2.966E+00  1.279E-03  884.37 mm    32.56 mm     4.41 mm  
  70.00 MeV   2.795E+00  1.196E-03  997.65 mm    36.30 mm     4.85 mm  
  80.00 MeV   2.505E+00  1.061E-03    1.24 m     50.37 mm     5.81 mm  
  90.00 MeV   2.270E+00  9.542E-04    1.52 m     63.55 mm     6.88 mm  
 100.00 MeV   2.074E+00  8.678E-04    1.82 m     76.50 mm     8.06 mm
