   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   1.503E-01  7.694E-05    1.20 m     49.68 mm     9.38 mm  
   6.00 MeV   1.399E-01  7.109E-05    1.40 m     57.43 mm    10.91 mm  
   6.50 MeV   1.310E-01  6.611E-05    1.62 m     65.20 mm    12.55 mm  
   7.00 MeV   1.232E-01  6.180E-05    1.85 m     73.04 mm    14.30 mm  
   8.00 MeV   1.102E-01  5.473E-05    2.35 m    102.30 mm    18.09 mm  
   9.00 MeV   9.993E-02  4.916E-05    2.91 m    129.57 mm    22.27 mm  
  10.00 MeV   9.151E-02  4.466E-05    3.53 m    156.25 mm    26.85 mm  
  11.00 MeV   8.448E-02  4.094E-05    4.20 m    182.85 mm    31.81 mm  
  12.00 MeV   7.854E-02  3.781E-05    4.92 m    209.64 mm    37.15 mm  
  13.00 MeV   7.343E-02  3.514E-05    5.69 m    236.76 mm    42.85 mm  
  14.00 MeV   6.899E-02  3.284E-05    6.52 m    264.27 mm    48.92 mm  
  15.00 MeV   6.509E-02  3.083E-05    7.40 m    292.23 mm    55.36 mm  
  16.00 MeV   6.165E-02  2.906E-05    8.33 m    320.66 mm    62.15 mm  
  17.00 MeV   5.857E-02  2.749E-05    9.30 m    349.56 mm    69.29 mm  
  18.00 MeV   5.581E-02  2.609E-05   10.33 m    378.94 mm    76.78 mm  
  20.00 MeV   5.106E-02  2.369E-05   12.54 m    491.30 mm    92.81 mm  
  22.50 MeV   4.622E-02  2.126E-05   15.56 m    652.49 mm   114.75 mm  
  25.00 MeV   4.228E-02  1.930E-05   18.89 m    805.28 mm   138.78 mm  
  27.50 MeV   3.901E-02  1.768E-05   22.51 m    955.25 mm   164.84 mm  
  30.00 MeV   3.624E-02  1.632E-05   26.42 m      1.10 m    192.90 mm  
  32.50 MeV   3.387E-02  1.516E-05   30.62 m      1.26 m    222.93 mm  
  35.00 MeV   3.181E-02  1.416E-05   35.10 m      1.41 m    254.90 mm  
  37.50 MeV   3.001E-02  1.329E-05   39.86 m      1.56 m    288.78 mm  
  40.00 MeV   2.842E-02  1.252E-05   44.89 m      1.72 m    324.54 mm  
  45.00 MeV   2.573E-02  1.123E-05   55.77 m      2.31 m    401.64 mm  
  50.00 MeV   2.355E-02  1.019E-05   67.72 m      2.86 m    486.00 mm  
  55.00 MeV   2.174E-02  9.334E-06   80.71 m      3.41 m    577.44 mm  
  60.00 MeV   2.021E-02  8.613E-06   94.74 m      3.94 m    675.80 mm  
  65.00 MeV   1.891E-02  7.999E-06  109.79 m      4.49 m    780.95 mm  
  70.00 MeV   1.778E-02  7.469E-06  125.83 m      5.03 m    892.73 mm  
  80.00 MeV   1.591E-02  6.601E-06  160.80 m      7.06 m      1.14 m   
  90.00 MeV   1.444E-02  5.918E-06  199.61 m      8.95 m      1.40 m   
 100.00 MeV   1.325E-02  5.368E-06  242.14 m     10.79 m      1.70 m
