   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.00 keV   1.094E-01  2.953E-01  269.86 um   110.83 um    76.80 um    
   1.10 keV   1.148E-01  2.862E-01  299.26 um   120.89 um    84.15 um  
   1.20 keV   1.199E-01  2.776E-01  329.12 um   130.87 um    91.55 um  
   1.30 keV   1.248E-01  2.697E-01  359.38 um   140.77 um    99.02 um  
   1.40 keV   1.295E-01  2.622E-01  390.03 um   150.58 um   106.53 um  
   1.50 keV   1.340E-01  2.552E-01  421.03 um   160.31 um   114.10 um  
   1.60 keV   1.384E-01  2.486E-01  452.35 um   169.95 um   121.70 um  
   1.70 keV   1.427E-01  2.424E-01  483.96 um   179.50 um   129.34 um  
   1.80 keV   1.468E-01  2.366E-01  515.86 um   188.95 um   137.00 um  
   2.00 keV   1.548E-01  2.258E-01  580.40 um   207.59 um   152.44 um  
   2.25 keV   1.641E-01  2.139E-01  662.28 um   230.37 um   171.82 um  
   2.50 keV   1.730E-01  2.034E-01  745.20 um   252.56 um   191.23 um  
   2.75 keV   1.815E-01  1.940E-01  828.96 um   274.17 um   210.59 um  
   3.00 keV   1.895E-01  1.856E-01  913.37 um   295.19 um   229.88 um  
   3.25 keV   1.973E-01  1.780E-01  998.28 um   315.63 um   249.05 um  
   3.50 keV   2.047E-01  1.711E-01    1.08 mm   335.52 um   268.07 um  
   3.75 keV   2.119E-01  1.648E-01    1.17 mm   354.86 um   286.93 um  
   4.00 keV   2.189E-01  1.591E-01    1.25 mm   373.67 um   305.59 um  
   4.50 keV   2.321E-01  1.488E-01    1.43 mm   409.92 um   342.36 um  
   5.00 keV   2.447E-01  1.400E-01    1.60 mm   444.24 um   378.21 um  
   5.50 keV   2.566E-01  1.323E-01    1.77 mm   476.76 um   413.12 um  
   6.00 keV   2.680E-01  1.256E-01    1.94 mm   507.61 um   447.05 um  
   6.50 keV   2.790E-01  1.195E-01    2.11 mm   536.90 um   480.02 um  
   7.00 keV   2.895E-01  1.142E-01    2.27 mm   564.76 um   512.03 um  
