   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 600.00 keV   2.679E+00  3.677E-03   23.37 mm   906.79 um     1.17 mm  
 650.00 keV   2.686E+00  3.434E-03   24.58 mm   925.58 um     1.18 mm  
 700.00 keV   2.682E+00  3.222E-03   25.79 mm   943.87 um     1.19 mm  
 800.00 keV   2.647E+00  2.872E-03   28.24 mm     1.01 mm     1.21 mm  
 900.00 keV   2.591E+00  2.595E-03   30.72 mm     1.07 mm     1.23 mm  
   1.00 MeV   2.522E+00  2.369E-03   33.27 mm     1.14 mm     1.25 mm  
   1.10 MeV   2.448E+00  2.181E-03   35.90 mm     1.20 mm     1.27 mm  
   1.20 MeV   2.371E+00  2.022E-03   38.60 mm     1.26 mm     1.29 mm  
   1.30 MeV   2.295E+00  1.886E-03   41.39 mm     1.33 mm     1.31 mm  
   1.40 MeV   2.220E+00  1.768E-03   44.28 mm     1.39 mm     1.33 mm  
   1.50 MeV   2.149E+00  1.665E-03   47.27 mm     1.46 mm     1.34 mm  
   1.60 MeV   2.080E+00  1.574E-03   50.35 mm     1.52 mm     1.36 mm  
   1.70 MeV   2.015E+00  1.492E-03   53.53 mm     1.59 mm     1.38 mm  
   1.80 MeV   1.952E+00  1.420E-03   56.82 mm     1.66 mm     1.40 mm  
   2.00 MeV   1.838E+00  1.294E-03   63.71 mm     1.93 mm     1.44 mm  
   2.25 MeV   1.711E+00  1.167E-03   72.90 mm     2.34 mm     1.50 mm  
   2.50 MeV   1.600E+00  1.064E-03   82.75 mm     2.73 mm     1.56 mm  
   2.75 MeV   1.503E+00  9.780E-04   93.26 mm     3.12 mm     1.62 mm  
   3.00 MeV   1.417E+00  9.057E-04  104.43 mm     3.50 mm     1.69 mm  
   3.25 MeV   1.341E+00  8.438E-04  116.26 mm     3.89 mm     1.77 mm  
   3.50 MeV   1.273E+00  7.902E-04  128.74 mm     4.28 mm     1.85 mm  
   3.75 MeV   1.211E+00  7.434E-04  141.87 mm     4.67 mm     1.94 mm  
   4.00 MeV   1.156E+00  7.020E-04  155.65 mm     5.07 mm     2.03 mm  
   4.50 MeV   1.060E+00  6.323E-04  185.11 mm     6.58 mm     2.23 mm  
   5.00 MeV   9.795E-01  5.757E-04  217.11 mm     8.00 mm     2.46 mm  
   5.50 MeV   9.111E-01  5.289E-04  251.63 mm     9.39 mm     2.70 mm  
   6.00 MeV   8.521E-01  4.894E-04  288.65 mm    10.77 mm     2.97 mm  
   6.50 MeV   8.007E-01  4.556E-04  328.13 mm    12.15 mm     3.26 mm  
   7.00 MeV   7.556E-01  4.264E-04  370.05 mm    13.54 mm     3.57 mm  
   8.00 MeV   6.798E-01  3.784E-04  461.06 mm    18.72 mm     4.25 mm  
   9.00 MeV   6.241E-01  3.405E-04  561.21 mm    23.52 mm     5.01 mm  
  10.00 MeV   5.720E-01  3.097E-04  670.38 mm    28.18 mm     5.84 mm
