        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.435E-01  5.792E-01  570.34 um    78.17 um    73.97 um  
  11.00 keV   6.749E-01  5.503E-01  630.73 um    84.13 um    80.67 um  
  12.00 keV   7.049E-01  5.246E-01  691.06 um    89.81 um    87.23 um  
  13.00 keV   7.337E-01  5.016E-01  751.22 um    95.25 um    93.65 um  
  14.00 keV   7.614E-01  4.808E-01  811.17 um   100.45 um    99.93 um  
  15.00 keV   7.881E-01  4.619E-01  870.83 um   105.44 um   106.07 um  
  16.00 keV   8.139E-01  4.447E-01  930.18 um   110.23 um   112.07 um  
  17.00 keV   8.390E-01  4.289E-01  989.16 um   114.82 um   117.93 um  
  18.00 keV   8.633E-01  4.143E-01    1.05 mm   119.23 um   123.65 um  
  20.00 keV   9.100E-01  3.884E-01    1.16 mm   128.05 um   134.69 um  
  22.50 keV   9.387E-01  3.608E-01    1.31 mm   138.59 um   147.91 um  
  25.00 keV   9.635E-01  3.373E-01    1.45 mm   148.47 um   160.61 um  
  27.50 keV   9.871E-01  3.171E-01    1.60 mm   157.81 um   172.85 um  
  30.00 keV   1.010E+00  2.995E-01    1.74 mm   166.64 um   184.69 um  
  32.50 keV   1.034E+00  2.839E-01    1.88 mm   175.02 um   196.13 um  
  35.00 keV   1.058E+00  2.701E-01    2.03 mm   182.97 um   207.20 um  
  37.50 keV   1.082E+00  2.578E-01    2.17 mm   190.52 um   217.91 um  
  40.00 keV   1.107E+00  2.466E-01    2.31 mm   197.71 um   228.26 um  
  45.00 keV   1.159E+00  2.273E-01    2.58 mm   212.75 um   247.95 um  
  50.00 keV   1.213E+00  2.111E-01    2.85 mm   226.27 um   266.35 um  
  55.00 keV   1.268E+00  1.973E-01    3.12 mm   238.47 um   283.53 um  
  60.00 keV   1.324E+00  1.854E-01    3.37 mm   249.53 um   299.59 um  
  65.00 keV   1.379E+00  1.750E-01    3.62 mm   259.58 um   314.61 um  
