   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   1.519E-01  8.859E-05    1.12 m     44.66 mm    13.87 mm  
   5.00 MeV   1.399E-01  8.056E-05    1.34 m     54.89 mm    16.42 mm  
   5.50 MeV   1.298E-01  7.392E-05    1.58 m     64.87 mm    19.17 mm  
   6.00 MeV   1.211E-01  6.833E-05    1.84 m     74.76 mm    22.12 mm  
   6.50 MeV   1.136E-01  6.356E-05    2.12 m     84.66 mm    25.25 mm  
   7.00 MeV   1.071E-01  5.944E-05    2.41 m     94.64 mm    28.58 mm  
   8.00 MeV   9.621E-02  5.267E-05    3.06 m    131.61 mm    35.79 mm  
   9.00 MeV   8.748E-02  4.734E-05    3.77 m    166.05 mm    43.72 mm  
  10.00 MeV   8.032E-02  4.302E-05    4.55 m    199.66 mm    52.35 mm  
  11.00 MeV   7.432E-02  3.945E-05    5.39 m    233.13 mm    61.67 mm  
  12.00 MeV   6.923E-02  3.645E-05    6.30 m    266.79 mm    71.67 mm  
  13.00 MeV   6.484E-02  3.389E-05    7.27 m    300.80 mm    82.34 mm  
  14.00 MeV   6.101E-02  3.168E-05    8.31 m    335.28 mm    93.67 mm  
  15.00 MeV   5.765E-02  2.975E-05    9.41 m    370.28 mm   105.64 mm  
  16.00 MeV   5.467E-02  2.805E-05   10.57 m    405.83 mm   118.25 mm  
  17.00 MeV   5.201E-02  2.654E-05   11.79 m    441.94 mm   131.49 mm  
  18.00 MeV   4.961E-02  2.519E-05   13.08 m    478.63 mm   145.36 mm  
  20.00 MeV   4.548E-02  2.288E-05   15.82 m    618.02 mm   174.95 mm  
  22.50 MeV   4.125E-02  2.054E-05   19.59 m    817.78 mm   215.35 mm  
  25.00 MeV   3.780E-02  1.865E-05   23.72 m      1.01 m    259.44 mm  
  27.50 MeV   3.493E-02  1.709E-05   28.20 m      1.19 m    307.17 mm  
  30.00 MeV   3.250E-02  1.578E-05   33.04 m      1.38 m    358.44 mm  
  32.50 MeV   3.041E-02  1.467E-05   38.23 m      1.56 m    413.20 mm  
  35.00 MeV   2.860E-02  1.370E-05   43.76 m      1.75 m    471.40 mm  
  37.50 MeV   2.701E-02  1.286E-05   49.62 m      1.94 m    532.98 mm  
  40.00 MeV   2.560E-02  1.212E-05   55.82 m      2.13 m    597.88 mm  
  45.00 MeV   2.322E-02  1.088E-05   69.20 m      2.86 m    737.54 mm  
  50.00 MeV   2.128E-02  9.873E-06   83.87 m      3.54 m    890.00 mm  
  55.00 MeV   1.967E-02  9.044E-06   99.81 m      4.20 m      1.05 m   
  60.00 MeV   1.831E-02  8.348E-06  116.99 m      4.86 m      1.23 m   
  65.00 MeV   1.714E-02  7.754E-06  135.40 m      5.52 m      1.42 m   
  70.00 MeV   1.613E-02  7.242E-06  155.01 m      6.19 m      1.62 m   
  80.00 MeV   1.446E-02  6.402E-06  197.71 m      8.67 m      2.06 m   
  90.00 MeV   1.314E-02  5.743E-06  245.02 m     10.97 m      2.54 m   
 100.00 MeV   1.207E-02  5.210E-06  296.80 m     13.21 m      3.06 m
