        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   9.026E+00  4.668E-03   71.09 mm     1.76 mm     1.01 mm  
   6.50 MeV   8.804E+00  4.352E-03   75.40 mm     1.86 mm     1.02 mm  
   7.00 MeV   8.572E+00  4.078E-03   79.83 mm     1.96 mm     1.03 mm  
   8.00 MeV   8.100E+00  3.626E-03   89.06 mm     2.36 mm     1.05 mm  
   9.00 MeV   7.634E+00  3.268E-03   98.84 mm     2.74 mm     1.07 mm  
  10.00 MeV   7.189E+00  2.978E-03  109.23 mm     3.11 mm     1.08 mm  
  11.00 MeV   6.769E+00  2.737E-03  120.25 mm     3.48 mm     1.10 mm  
  12.00 MeV   6.378E+00  2.534E-03  131.96 mm     3.85 mm     1.12 mm  
  13.00 MeV   6.016E+00  2.361E-03  144.38 mm     4.23 mm     1.15 mm  
  14.00 MeV   5.681E+00  2.210E-03  157.54 mm     4.63 mm     1.17 mm  
  15.00 MeV   5.373E+00  2.079E-03  171.46 mm     5.03 mm     1.20 mm  
  16.00 MeV   5.089E+00  1.963E-03  186.17 mm     5.44 mm     1.22 mm  
  17.00 MeV   4.828E+00  1.860E-03  201.69 mm     5.87 mm     1.25 mm  
  18.00 MeV   4.588E+00  1.767E-03  218.03 mm     6.31 mm     1.28 mm  
  20.00 MeV   4.163E+00  1.609E-03  253.24 mm     8.04 mm     1.35 mm  
  22.50 MeV   3.732E+00  1.448E-03  302.04 mm    10.60 mm     1.45 mm  
  25.00 MeV   3.400E+00  1.318E-03  356.04 mm    13.07 mm     1.57 mm  
  27.50 MeV   3.094E+00  1.210E-03  415.34 mm    15.53 mm     1.71 mm  
  30.00 MeV   2.843E+00  1.119E-03  480.18 mm    18.04 mm     1.86 mm  
  32.50 MeV   2.631E+00  1.042E-03  550.51 mm    20.61 mm     2.04 mm  
  35.00 MeV   2.450E+00  9.745E-04  626.26 mm    23.23 mm     2.23 mm  
  37.50 MeV   2.294E+00  9.159E-04  707.39 mm    25.91 mm     2.44 mm  
  40.00 MeV   2.159E+00  8.642E-04  793.79 mm    28.65 mm     2.67 mm  
  45.00 MeV   1.937E+00  7.772E-04  981.89 mm    39.11 mm     3.18 mm  
  50.00 MeV   1.763E+00  7.068E-04    1.19 m     48.97 mm     3.76 mm  
  55.00 MeV   1.622E+00  6.485E-04    1.42 m     58.60 mm     4.40 mm  
  60.00 MeV   1.505E+00  5.995E-04    1.66 m     68.18 mm     5.10 mm  
  65.00 MeV   1.407E+00  5.576E-04    1.93 m     77.76 mm     5.86 mm  
  70.00 MeV   1.322E+00  5.214E-04    2.21 m     87.40 mm     6.67 mm  
  80.00 MeV   1.183E+00  4.620E-04    2.83 m    123.36 mm     8.44 mm  
  90.00 MeV   1.071E+00  4.152E-04    3.51 m    156.77 mm    10.41 mm  
 100.00 MeV   9.777E-01  3.773E-04    4.26 m    189.47 mm    12.58 mm
