        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.340E-01  8.027E-02    1.22 mm   172.81 um   189.23 um  
  11.00 keV   6.678E-01  7.500E-02    1.33 mm   179.71 um   199.89 um  
  12.00 keV   7.004E-01  7.045E-02    1.42 mm   185.89 um   209.70 um  
  13.00 keV   7.319E-01  6.648E-02    1.52 mm   191.46 um   218.77 um  
  14.00 keV   7.625E-01  6.297E-02    1.61 mm   196.52 um   227.19 um  
  15.00 keV   7.922E-01  5.986E-02    1.70 mm   201.12 um   235.02 um  
  16.00 keV   8.211E-01  5.707E-02    1.79 mm   205.35 um   242.34 um  
  17.00 keV   8.494E-01  5.456E-02    1.87 mm   209.23 um   249.20 um  
  18.00 keV   8.770E-01  5.228E-02    1.95 mm   212.82 um   255.64 um  
  20.00 keV   9.304E-01  4.830E-02    2.11 mm   219.77 um   267.43 um  
  22.50 keV   9.945E-01  4.417E-02    2.30 mm   227.50 um   280.43 um  
  25.00 keV   1.056E+00  4.075E-02    2.47 mm   234.09 um   291.88 um  
  27.50 keV   1.115E+00  3.787E-02    2.64 mm   239.80 um   302.05 um  
  30.00 keV   1.172E+00  3.541E-02    2.80 mm   244.80 um   311.17 um  
  32.50 keV   1.227E+00  3.327E-02    2.96 mm   249.22 um   319.41 um  
  35.00 keV   1.281E+00  3.140E-02    3.10 mm   253.16 um   326.89 um  
  37.50 keV   1.333E+00  2.974E-02    3.25 mm   256.70 um   333.73 um  
  40.00 keV   1.384E+00  2.827E-02    3.38 mm   259.91 um   340.01 um  
  45.00 keV   1.483E+00  2.575E-02    3.64 mm   266.74 um   351.17 um  
  50.00 keV   1.578E+00  2.368E-02    3.89 mm   272.52 um   360.81 um  
  55.00 keV   1.669E+00  2.194E-02    4.12 mm   277.48 um   369.25 um  
  60.00 keV   1.756E+00  2.045E-02    4.34 mm   281.80 um   376.71 um  
  65.00 keV   1.841E+00  1.917E-02    4.55 mm   285.61 um   383.37 um  
