        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   9.795E-01  5.054E-04  280.04 mm    10.82 mm     1.78 mm  
   6.50 MeV   9.178E-01  4.703E-04  320.60 mm    12.25 mm     1.99 mm  
   7.00 MeV   8.638E-01  4.401E-04  363.79 mm    13.70 mm     2.21 mm  
   8.00 MeV   7.735E-01  3.903E-04  457.89 mm    19.12 mm     2.70 mm  
   9.00 MeV   7.106E-01  3.510E-04  561.65 mm    24.12 mm     3.24 mm  
  10.00 MeV   6.507E-01  3.192E-04  674.77 mm    28.96 mm     3.83 mm  
  11.00 MeV   6.018E-01  2.929E-04  797.69 mm    33.80 mm     4.48 mm  
  12.00 MeV   5.602E-01  2.708E-04  930.18 mm    38.67 mm     5.17 mm  
  13.00 MeV   5.243E-01  2.519E-04    1.07 m     43.59 mm     5.91 mm  
  14.00 MeV   4.931E-01  2.355E-04    1.22 m     48.58 mm     6.69 mm  
  15.00 MeV   4.656E-01  2.213E-04    1.38 m     53.65 mm     7.53 mm  
  16.00 MeV   4.413E-01  2.087E-04    1.55 m     58.80 mm     8.41 mm  
  17.00 MeV   4.196E-01  1.975E-04    1.73 m     64.03 mm     9.33 mm  
  18.00 MeV   4.000E-01  1.876E-04    1.92 m     69.35 mm    10.30 mm  
  20.00 MeV   3.663E-01  1.705E-04    2.32 m     89.74 mm    12.38 mm  
  22.50 MeV   3.318E-01  1.532E-04    2.87 m    119.00 mm    15.21 mm  
  25.00 MeV   3.037E-01  1.392E-04    3.48 m    146.72 mm    18.32 mm  
  27.50 MeV   2.803E-01  1.276E-04    4.14 m    173.93 mm    21.69 mm  
  30.00 MeV   2.605E-01  1.179E-04    4.85 m    201.05 mm    25.32 mm  
  32.50 MeV   2.434E-01  1.096E-04    5.61 m    228.33 mm    29.20 mm  
  35.00 MeV   2.287E-01  1.024E-04    6.43 m    255.89 mm    33.33 mm  
  37.50 MeV   2.157E-01  9.615E-05    7.29 m    283.80 mm    37.71 mm  
  40.00 MeV   2.043E-01  9.065E-05    8.21 m    312.10 mm    42.34 mm  
  45.00 MeV   1.849E-01  8.139E-05   10.19 m    419.55 mm    52.32 mm  
  50.00 MeV   1.691E-01  7.391E-05   12.37 m    520.57 mm    63.25 mm  
  55.00 MeV   1.560E-01  6.774E-05   14.73 m    619.33 mm    75.11 mm  
  60.00 MeV   1.449E-01  6.254E-05   17.29 m    717.60 mm    87.88 mm  
  65.00 MeV   1.354E-01  5.812E-05   20.04 m    816.28 mm   101.56 mm  
  70.00 MeV   1.272E-01  5.430E-05   22.97 m    915.85 mm   116.12 mm  
  80.00 MeV   1.136E-01  4.803E-05   29.37 m      1.29 m    147.86 mm  
  90.00 MeV   1.029E-01  4.310E-05   36.49 m      1.64 m    183.00 mm  
 100.00 MeV   9.413E-02  3.912E-05   44.30 m      1.98 m    221.46 mm
