Energy CM (MeV)	Angle CM (deg)
0.9622	145.0120
1.2768	111.7775
0.9293	152.0937
0.0949	154.6254
1.0866	127.6553
0.1168	136.6833
1.0091	137.2841
41508.1655	1.8266
2.2544	71.8057
0.9020	160.1669
0.9184	154.9563
0.9222	153.9045
0.5447	136.1123
3.9741	168.7193
0.9712	143.3623
19.6238	66.8617
4.1452	40.1592
0.1251	163.8766
1.1370	150.8653
1.1813	118.7996
0.0551	126.8463
1.8515	86.8696
0.0168	141.5260
3.2705	53.2051
3.2898	27.6568
1.0536	80.1945
3.6686	58.4734
1.0141	136.5562
3.2710	62.2966
0.9221	153.9422
1.0014	47.2615
8.4278	37.5941
16.4917	10.1774
0.9342	150.8877
112149.1589	1.6342
4649.0838	10.3979
40.3347	16.9303
0.8927	163.9266
0.9515	147.1008
1.7432	59.1189
397.6703	162.9745
0.9094	157.6607
0.1490	158.3023
1.1704	119.7101
61.6276	13.6744
3.8009	148.3032
1.1896	118.1323
0.0259	109.9345
3.4250	96.6663
59526.8405	1.0362
7.8017	157.8222
0.8881	166.1804
1.4832	153.3260
1.0091	137.2729
5.7252	46.0283
0.9420	149.1300
180.7439	10.7475
3.1722	135.6356
0.0564	145.7299
0.9114	157.0125
549.7113	4.5342
31.6863	28.9318
0.9057	158.8495
0.2351	150.3290
0.8851	167.8713
39.0655	12.7367
0.9286	152.2683
1.7405	82.1151
0.8947	163.0278
1.1987	117.4074
1.1578	120.7865
0.1233	119.8626
0.9417	149.1770
1.5799	96.1983
1.5799	96.1983
145.5741	116.4437
145.5741	116.4437
1.8649	76.4003
1.7423	147.5454
13.4645	153.6477
13.4645	153.6477
2.5838	71.1828
8.3049	135.6183
0.9442	148.6506
0.8955	162.7149
0.9380	150.0236
0.0777	144.5815
0.0777	144.5815
0.0777	144.5815
140.0535	40.4207
5.6275	28.6092
1.0947	126.8007
10.7344	90.0213
0.0874	110.6735
0.0536	154.8901
0.9377	150.0762
0.9609	145.2476
7.8631	151.7196
0.9192	154.7271
0.8893	165.5588
11622.0043	12.0771
3.7379	67.4199
0.9028	159.8889
0.3431	142.9481
62.8661	136.2025
0.9057	158.8670
0.4225	125.7607
1.3769	159.7965
389.8007	36.8418
4.6052	26.4386
0.9372	150.1967
6.0766	44.6035
0.4607	153.0562
0.9299	151.9310
1.1967	117.5609
0.8880	166.2199
0.9738	142.9041
0.1234	117.1569
1.2701	112.2224
100.3570	3.2546
0.0656	144.6402
9.2961	153.7728
0.4461	136.9645
0.8874	153.8785
0.8860	167.3679
0.9003	160.8050
0.6888	110.2813
0.8898	165.2979
0.4063	133.4543
4.7365	50.9144
3568.4957	155.8184
2.4961	113.4260
0.0040	110.1719
0.4189	118.6153
32.0576	102.6329
2.1359	141.2264
1.0536	131.4031
1.6488	56.6736
5295.6375	41.9689
0.9421	149.0952
0.9372	150.1892
5406.5945	1.3889
1.2827	111.3896
88.7789	151.1009
1.0384	133.2939
4370.3962	8.1523
0.2152	133.3532
2.7172	57.0378
0.9293	152.0833
1.0344	133.8046
0.9133	156.4517
407.5479	18.1871
1.3627	106.5318
223.2912	23.3064
0.0824	150.2161
0.3559	152.9240
0.9253	153.1015
0.0469	127.7839
0.0344	147.6667
0.0344	147.6667
514.4044	162.5313
71.5353	143.7722
0.3726	159.2219
6.5497	157.6259
3.4354	60.6262
94.0291	169.1532
0.1237	144.0176
5.1833	168.7158
0.1872	102.0444
0.9266	152.7572
0.9005	160.7160
14.4105	48.4002
3.9202	69.0639
436.7132	53.7753
0.8844	168.2984
1.0277	134.6918
0.9295	152.0475
1.0349	133.7462
0.8350	168.9368
6.5740	49.6245
104.9202	164.7348
0.9942	139.5199
0.9823	92.5067
6.7901	32.4619
1.3470	107.4291
0.0400	125.4308
545.9079	164.3477
0.6559	139.6723
8.0652	135.6347
0.1512	138.2171
1.8626	90.6953
1.0178	136.0424
1.9477	82.4296
1.9477	82.4296
1.9477	82.4296
44429.0645	4.0385
0.9115	156.9745
0.9115	156.9745
1.1169	124.5572
7.9913	39.5533
0.7679	118.1085
0.9011	160.4977
0.0993	109.7714
0.0807	149.4100
0.9386	149.8834
0.1029	134.9254
0.1612	94.1817
0.8933	163.6338
0.8870	166.7726
1.0017	138.3684
0.8927	163.9359
0.8973	161.9396
1.2230	115.5455
0.9449	148.4858
12.7019	159.8851
1.0233	135.2816
0.9181	155.0382
1.3292	108.4755
115.6410	51.1356
33.9606	42.7640
1.4172	103.5992
5.7328	33.0256
0.9071	158.4071
10.6166	156.4404
0.9053	159.0140
1.0009	138.4875
0.8300	80.6187
251.5314	9.8703
47.3316	64.1738
0.9696	143.6423
239.2568	17.9101
1.4953	69.5075
0.3225	99.0633
0.9221	153.9383
0.9867	140.7137
1.0437	46.2188
0.8898	165.2794
0.9931	139.7040
0.9148	155.9826
17.1416	49.8427
0.8952	162.8103
1.0820	128.1559
1.2501	54.3863
0.1348	140.0682
4.8289	62.8128
0.9131	156.4918
1.2128	116.3127
0.9101	157.4301
0.8215	24.4896
1.2564	113.1529
266.8295	7.1990
16.9896	146.5004
0.9111	157.0990
0.4696	63.4599
11.2886	127.2047
0.9164	155.5177
0.4869	105.0842
0.1299	150.6138
35.6025	150.9997
1.0076	137.5030
64008.3323	1.5993
9.0048	36.3259
0.8934	163.5930
0.9212	154.1851
0.3765	105.8740
5.2258	157.4155
20.7828	50.1002
20.7828	50.1002
1.3360	108.0730
0.7259	158.2213
178.2072	15.2363
0.2968	143.7626
0.9314	151.5773
1.3439	107.6080
164.2778	41.0441
44163.6728	14.7708
41.7072	16.6470
122483.7073	2.7893
10.6393	168.0115
3.2189	75.1534
9.9925	118.2224
3.6981	58.2173
1.0198	135.7688
0.0909	128.3591
66.8966	25.4091
3037.6250	56.3616
21.5243	4.7987
1.7764	89.1606
0.9181	155.0458
589.1278	142.0452
5709.0634	2.2225
8.0611	60.0952
12787.9946	3.0806
12787.9946	3.0806
4.9716	169.2326
0.8040	50.9218
3.0089	31.2346
0.8873	166.6325
1.1973	117.5150
1.3328	108.2625
1.4987	99.6675
0.9920	139.8713
0.9084	150.6484
0.9342	150.8876
1.0251	135.0419
3743.6407	3.1227
3.0708	51.1199
0.0470	136.4873
89.4000	13.5908
0.4386	142.3137
0.1909	148.8471
1.0673	129.8025
0.9328	86.1552
0.6938	67.8504
1.1213	124.1278
0.2956	159.3161
1.8797	121.4650
1.3901	105.0258
0.6479	137.1290
516.7252	167.5909
0.1329	136.2872
4.6606	151.9427
0.9156	155.7590
1.2384	136.1261
156.7722	82.5956
1.4578	101.5799
1732725.3405	5.5435
148.6636	27.4332
1.0362	133.5723
10.3030	155.3224
0.1472	134.5260
12013.3514	1.4306
0.9147	156.0255
0.8987	161.3902
0.0273	146.9589
0.1726	152.5154
0.9988	138.8064
0.3950	104.8682
0.2669	148.9919
1.8801	86.0450
0.9153	155.8553
1.0909	127.2011
1.2340	114.7408
0.9703	143.5140
13.9814	51.9412
19.9828	87.4622
0.9126	156.6579
0.1162	106.7697
1.1988	120.7231
0.9678	143.9698
1.8722	86.2692
0.2688	94.0170
0.0519	100.5880
0.9593	145.5575
17.8682	15.6460
0.8928	163.8894
2.7011	29.5880
69.7821	19.5398
29.8858	160.8079
0.2969	130.1508
0.9030	159.8133
0.8907	164.8802
1.1246	123.8185
12.9032	140.7249
5.5263	121.7495
23321.9408	2.4597
16.9985	26.2233
0.9513	147.1496
0.9054	158.9774
0.9238	153.4781
1.1078	161.1701
0.1080	97.4769
0.9009	160.5483
0.9276	152.5078
17.4324	25.8889
0.9140	96.6428
3.0492	64.7886
0.0337	154.3156
62.6247	171.0251
17.3208	10.8049
461.2765	166.5212
0.9011	160.5029
48.1924	158.1870
0.8993	161.1583
0.9503	147.3470
0.0160	115.8047
2.5821	164.1942
13.6149	47.4533
36.6530	17.7679
28.0424	9.6092
0.9152	155.8649
71846.4407	0.4533
3451.0235	3.0221
2.3889	80.5648
8.3620	128.6626
272.9026	6.4639
0.9961	139.2319
2.4535	43.0399
1.2685	112.3294
0.9030	159.8074
0.1439	123.1750
0.0359	115.0829
0.1248	135.2750
60.8950	127.2283
0.6048	147.2862
14921.8463	78.8436
0.1582	55.5380
124.6512	46.0988
248.9283	14.7125
0.2052	126.4247
0.9668	144.1440
2.4737	128.8531
0.9093	157.6950
0.1820	158.6460
1.8409	133.1742
0.0237	121.2643
19.3962	84.6746
19.3962	84.6746
7.5120	117.2101
0.0590	122.4919
0.9144	156.1250
0.8973	161.9473
0.9784	142.1091
0.9030	159.7885
1.2682	112.3497
0.9245	153.3001
0.5817	127.3990
1.0639	130.1947
0.9570	146.0028
1.0109	137.0182
0.9099	157.4792
0.1245	140.5270
1.4199	103.4606
0.1351	160.1323
55.8294	11.1082
241.6274	51.5789
1.9972	82.9020
57.6283	95.0026
34.3212	18.3673
34.3212	18.3673
0.9715	143.2964
1.2316	114.9133
0.9244	153.3295
0.0257	135.9936
73.5764	142.5080
0.0284	129.7014
238.2464	1.8089
0.0680	100.3306
0.9874	140.6114
5.1492	164.2917
0.1833	134.8202
0.0275	144.9901
1.3888	105.0955
2.2900	25.0161
4.0260	150.8674
0.3751	155.2709
0.2628	158.0645
1.3723	105.9925
212.7902	11.9306
329.9536	140.3719
0.9408	149.3944
1.4203	103.4403
0.1134	98.7235
5.8150	151.9671
0.0962	140.2882
1.5259	98.4612
592.1804	7.9970
0.0253	132.0759
1.2201	115.7670
1.0411	132.9508
0.3897	114.4983
0.9514	147.1276
0.1209	150.0341
1.0026	138.2427
0.6244	102.2439
533.6331	156.6601
533.6331	156.6601
1.5562	97.1709
0.4440	72.8913
0.0534	153.3311
1.0970	126.5607
0.9723	143.1540
0.9049	159.1303
9.4107	78.2068
2.5879	97.5734
0.9299	151.9449
0.9537	146.6673
0.9964	139.1881
11.0360	165.0028
0.9623	144.9879
1.9657	150.2365
4.4114	46.9732
0.9682	143.8897
16978.3758	3.2883
16978.3758	3.2883
0.8878	166.3457
1.0766	128.7491
0.9731	143.0134
48.0351	39.5235
90.2611	151.9346
13.5596	29.4294
0.9284	152.3038
9.5690	69.2018
0.8898	165.3020
0.8898	165.3020
77.5083	22.0372
3.9400	14.4136
0.2186	121.8907
0.9477	147.8985
0.1804	45.9969
0.0518	101.3789
0.7921	154.8741
702.8032	155.1052
8.7180	36.9399
1.0387	133.2494
0.9108	157.2002
1.0111	136.9856
2.4492	81.0675
0.5645	105.3909
1.5040	151.7682
1.2169	116.0081
2.8224	68.2672
1.0411	132.9535
1.6412	27.6088
0.9004	160.7510
1975.5103	9.3714
0.3539	151.2924
1.2835	55.3183
0.9013	160.4203
0.9238	153.4906
3.5840	129.0991
1.1944	117.7440
0.3135	151.5410
477.5083	157.1763
0.6995	150.5149
0.9742	142.8325
6.9933	94.0303
2540.6351	5.4698
0.9209	154.2743
0.0947	141.8245
301.3577	110.6708
1.5239	98.5510
1.1688	119.8422
0.1504	147.5980
0.9203	154.4404
3.8780	59.5003
3285648.5587	0.3515
0.9031	159.7579
1.0409	132.9805
3.3692	148.7040
0.7185	134.7461
0.3755	150.6539
4.6211	51.5924
31.0028	18.3319
0.5362	163.3231
1.9172	79.6367
727.0826	16.2817
7.3493	62.3936
0.9387	149.8484
0.9504	147.3416
1.3269	108.6151
2.1316	79.6989
1.7597	28.1949
0.9727	143.0876
0.2328	158.5103
0.0872	147.8518
167.3261	54.0455
1.1005	144.6647
0.8971	162.0284
0.9452	148.4348
0.9278	152.4690
0.9108	157.2151
0.9053	158.9862
0.0598	148.6717
64.3665	9.6159
0.0468	132.1312
0.0468	132.1312
26.6630	32.4140
2.5011	79.5306
2.5011	79.5306
6.0511	145.7667
1.7144	91.2026
0.9182	155.0209
0.2646	125.0191
0.8890	165.7201
2.0046	49.7915
0.9400	149.5732
2.8630	71.8899
0.8963	162.3764
0.0665	139.1623
0.9941	139.5427
1.0496	30.7753
0.8840	168.5903
1089.4574	15.8799
0.8683	149.4063
1.4763	124.7443
2.2704	68.5705
1.8891	157.7763
17543.7258	53.4765
2.1974	68.5409
0.0552	135.9612
46.5046	35.5091
0.4652	151.2905
5149.1029	150.2857
1.4352	102.6869
0.9085	157.9226
0.8942	163.2720
6187.6748	4.3829
1.1458	121.8520
256.8364	128.1090
4.6570	60.3992
1.0125	136.7942
0.3791	158.6368
1.1161	124.6360
0.9447	148.5317
0.1069	124.7377
1.5174	98.8338
8737.6154	1.0794
0.2466	100.7567
0.8938	163.4283
0.8990	161.3052
1.4013	104.4282
0.8895	165.4338
0.9412	149.2870
617.0132	125.0709
3.4807	164.8514
5.0890	158.8680
1.4868	100.2143
0.9005	160.7155
0.8785	172.9632
1.0301	134.3728
1.0088	137.3188
0.4784	80.6283
0.0382	112.9883
0.3247	103.2949
0.9216	154.0707
1.3432	107.6477
2.3608	111.2655
1.0012	138.4452
1.0012	138.4452
181.5414	7.9389
0.9593	145.5668
1.0203	135.6959
3.0146	137.4947
660.7816	19.8580
0.1434	140.9401
1624.0624	21.7318
0.9266	152.7743
6.8860	44.2153
1.0421	132.8199
0.0912	148.6726
0.7659	156.3876
0.8943	163.2233
0.9625	144.9592
0.9618	145.0873
1.8918	99.8023
789.5039	6.3483
0.0950	136.1354
1.3319	42.6406
0.9966	139.1502
0.3068	155.0948
0.9484	147.7459
217.5565	29.0046
1.5038	99.4418
1.0421	132.8203
0.9383	149.9423
3.8520	12.9360
6.3414	70.2466
0.0495	100.8634
0.1739	85.1762
0.9546	151.9305
4087.5830	55.6662
5.3037	47.9328
91.5990	146.0795
1.0808	128.2907
0.9228	153.7554
1.2318	161.8841
0.6155	169.5496
0.6646	87.2603
0.9532	146.7724
0.8997	161.0198
52.4864	55.0086
0.3899	114.0190
0.9666	144.1801
0.9078	158.1668
11.2913	156.0727
2.5275	63.7533
0.0396	129.9868
0.3537	103.9341
0.6083	165.1414
0.1064	93.3550
0.3834	135.9938
1.0889	127.4086
49.0541	20.8548
0.9400	149.5569
0.9686	143.8189
0.9617	145.1074
1.2723	112.0735
15.5746	49.0504
15.5746	49.0504
0.7822	57.9247
0.9434	148.8041
0.8857	167.5442
0.9546	146.4765
0.0954	118.5834
17.3399	164.5836
0.9316	151.5294
0.9390	149.7926
0.1723	146.3174
0.9715	143.3038
76.0424	165.2541
1.1022	126.0269
1.6768	47.2741
0.9833	141.2825
3.9509	47.5223
0.0470	135.8349
0.3340	140.8069
11.8575	22.1702
20.8598	36.0041
1.2546	113.2814
0.7757	131.4014
4.2026	54.3013
1.2263	115.3035
0.8958	162.5765
1.9979	41.3475
1.0047	137.9202
1.1531	121.2010
0.8970	162.0816
0.2253	157.3200
0.8884	166.0321
0.1089	128.1019
0.9109	157.1888
16.1312	27.0889
4.2090	58.8129
1.5420	97.7698
0.9981	138.9251
0.7194	42.8834
1.0994	126.3174
2.3971	74.3487
1.9427	119.5228
0.9270	152.6689
1.0098	137.1832
0.9429	148.9242
0.9317	151.5034
0.5557	68.1053
25287.2733	2.8426
2.0290	82.1089
2.2430	117.0302
0.9429	148.9197
6.7189	77.3770
1.7883	88.7869
4.5400	61.4804
1.6502	93.4817
0.9349	150.7397
0.9088	157.8534
2.4951	72.6346
1.1447	121.9483
0.8879	166.3024
1.4359	102.6549
0.6926	156.3464
0.0466	120.5970
3.0502	47.1295
57.1339	133.8764
1.0638	130.2040
0.9190	154.7932
0.9549	146.4272
0.8931	163.7587
2.6402	163.7022
23.3877	31.2294
12.4184	12.5483
25.4557	171.9365
5.3245	161.2294
0.1175	150.8661
0.2877	144.4305
1.4961	141.2728
2.8211	57.1128
1.7898	161.0172
0.0508	127.2256
0.9227	153.7771
34.7760	55.3550
3.7787	57.5339
50.1801	4.9400
1.1385	122.5128
1.0742	129.0173
0.1315	164.2090
9.0850	36.1596
1.2717	112.1128
0.9860	140.8398
2.2799	28.3087
0.9295	152.0337
0.8045	36.5819
26.6763	162.6179
0.9269	152.6946
15427.3455	0.9006
0.9931	139.7023
1.3750	105.8461
1.1758	119.2550
6.1042	18.4810
2.8775	70.0594
328.4869	4.0974
0.9563	146.1475
2.4455	146.0197
34.4320	146.4405
9928.5227	13.1460
1.2104	116.5024
0.8943	163.2304
27.1219	13.9992
0.9089	157.8159
0.5103	159.5661
0.9567	146.0712
3.4504	60.4807
1.1565	37.5991
0.9147	156.0156
0.9039	159.4970
2.9907	112.6695
134.5175	50.2607
2.0530	61.5837
0.0330	108.5729
2.0657	81.2215
0.0569	134.7453
1.8197	137.9377
0.9123	156.7433
1.8616	136.7310
1.0767	128.7390
0.3000	114.5861
1.1818	118.7605
2.6360	70.3682
0.9019	160.2060
140.0126	8.3611
11.7550	138.8292
2.3913	142.4734
0.0446	116.3267
4.2541	53.9446
1.1353	122.8079
7.9249	166.1278
7.9504	152.4525
0.9238	153.4814
0.8911	164.6781
0.8949	162.9508
1.1591	108.7268
0.9411	149.3245
0.9210	154.2413
73.1553	12.9515
12.1092	151.6032
0.9254	153.0742
0.8970	162.0807
1181.8569	4.8754
0.9068	158.4918
0.2586	156.1024
2.0266	82.1680
3.1612	162.2743
1.0448	132.4865
49.9159	17.0616
56.2344	158.1221
0.0763	152.2991
3.4333	44.0235
85.5126	7.4458
0.9179	155.0944
0.8892	165.6022
11379.1001	2.3685
0.9529	146.8239
0.9358	150.5152
46.1055	49.6789
1.1867	118.3630
50.1478	55.0686
6.6027	31.2430
1.0379	133.3530
0.9101	157.4416
0.9297	151.9776
1.2518	113.4728
1.2784	111.6669
0.1520	142.0287
1.0132	136.6964
18.2487	25.2931
0.9253	153.1022
8.0700	150.3478
1.7177	107.2440
0.0822	140.9331
1.3073	109.8117
2.3603	78.1013
6.5285	25.7752
6.6526	42.5298
0.5642	49.9453
4.5689	51.9081
0.9311	123.8750
15.1306	155.1322
7.2264	138.5001
0.0814	116.8646
0.8949	162.9636
2.3412	75.1984
0.8840	168.5610
3.6403	151.3705
5.7989	55.0506
872.8493	10.6703
0.9165	155.5121
0.1488	140.8939
0.9569	146.0307
0.9029	159.8468
1.0367	133.5103
30.5246	48.4493
0.9891	140.3345
1.8008	137.1688
0.0305	131.4322
0.5896	152.9699
0.9064	158.6213
0.1598	120.0908
0.9557	146.2635
6.4284	10.6324
0.4329	159.7734
1.4376	102.5690
5373.2239	0.7229
3.2097	164.8413
1.9632	133.9034
0.1047	143.2547
0.0747	144.5448
0.2430	129.4682
1.1630	120.3412
1.5077	62.5142
11.2466	37.6735
0.9190	154.7776
0.8486	15.8005
0.9227	153.7910
1.7133	91.2414
6655.9442	8.3906
5.0275	61.8697
0.9090	157.7819
2.3337	62.7954
2.3337	62.7954
0.9013	160.4149
558.2498	1.9538
1.0162	136.2602
1.2273	115.2318
0.0509	146.0874
0.9522	146.9716
4.0718	55.2396
1.3798	36.5472
1.1970	117.5413
781.9549	71.6686
0.7073	84.4270
1.0777	128.6228
0.9706	143.4689
0.2456	140.6432
1.4928	99.9389
2.6050	166.9988
133.2406	22.9085
1.6685	114.2293
0.3953	148.7496
626.8152	9.5364
0.7089	150.6726
1.0258	134.9396
0.8208	145.2367
1.0418	132.8568
0.2541	154.6769
0.9557	146.2635
12993.2914	3.6485
1.0041	138.0110
1.0824	128.1136
171509.0573	7.7908
0.9082	158.0469
43359.8074	19.4655
0.9405	149.4613
1.8484	86.9618
0.9475	147.9408
0.9003	160.7931
0.9340	150.9439
1.0822	128.1355
0.0648	152.0830
1.2574	113.0887
0.9500	147.4191
20.8770	23.6217
0.9878	140.5356
2.5481	59.1109
20.0154	13.3888
0.0848	146.9399
1.9046	85.3558
0.9272	152.6143
3.1448	63.6779
0.1540	137.7046
8501.9629	1.5654
45.8457	163.6236
0.9472	148.0045
3.2795	134.5934
53.4005	80.0467
0.9305	151.7820
0.9318	151.4761
0.9992	138.7495
5.3971	147.8028
1126.9480	23.4141
0.8834	168.9531
124.3445	8.0129
2040.5874	15.9822
12.7089	147.2737
26560.1301	3.4667
0.9142	156.1733
1.5597	65.9327
87.9501	141.2062
0.8962	162.3971
0.9113	157.0444
0.9014	160.3673
0.9308	151.7230
1.6967	72.6378
1462.0956	1.4258
1.5438	97.6926
1354426.7941	1.9468
0.7601	100.7895
2.4613	73.2113
0.9694	143.6759
0.9230	153.6892
2.2455	77.2612
1.1079	125.4485
0.4575	148.0274
0.0718	97.8421
1.1300	123.3001
1312.8647	69.2867
0.9667	144.1753
0.1347	137.3324
0.9665	144.2149
0.1284	66.5630
1.0606	130.5706
7.3799	164.1292
0.8979	161.7289
1.0564	131.0664
0.9539	146.6128
1.1147	124.7707
334.6000	31.6122
1.0621	130.3952
1571.3083	11.0819
0.7055	55.7097
7.7142	154.3213
0.0827	150.4679
1.4221	160.1229
0.0721	143.0698
0.2257	119.6359
0.2603	124.9745
0.9122	156.7681
69892.3244	9.2257
1.4392	23.0950
0.3548	79.0306
1.3321	108.3018
1.1050	125.7450
3.8473	154.6062
0.9280	152.4138
0.0495	93.1085
69.6258	42.1717
1.2807	111.5162
1.6439	158.8153
1.0078	137.4658
2.4468	65.5521
0.8875	166.5148
1.0728	129.1779
3.2970	51.4115
0.9257	152.9854
0.4208	153.8621
0.4208	153.8621
0.5619	152.9525
9.6137	46.0495
1.9066	53.8007
0.8876	166.4683
0.9067	158.5358
0.9067	158.5358
0.9404	149.4672
27.6162	117.1291
0.8927	163.9042
1.0062	137.7041
1.4148	103.7226
0.9335	151.0642
4.4945	25.9483
26.2996	39.5871
0.2812	110.2295
0.9343	150.8672
1.0425	132.7685
6.6829	13.7580
7.3127	167.6833
0.9174	155.2311
36.0164	8.6580
2.0324	56.2292
5168.9441	0.8969
0.1068	109.6954
182.9779	163.4624
1.4215	103.3773
0.9111	157.1018
0.0840	143.7614
16.6214	121.5290
1.1060	126.0325
0.8992	161.2191
1.1240	123.8738
21.8741	57.1009
0.9183	154.9875
3.9139	47.4381
0.9900	37.9955
6.8075	117.8637
12422.6558	151.8864
1.3516	131.0091
0.9793	141.9435
0.9696	143.6377
6.3643	43.5306
50.6653	15.0920
131.0535	166.9211
7.6939	114.5179
1.2154	116.1215
1.9300	84.6595
0.8901	165.1282
12.5308	50.8310
1.0606	130.5784
0.9004	160.7617
0.0903	149.0477
6.2158	10.2918
0.9013	160.4085
8.5685	118.3055
9.8781	171.4828
2.1767	80.5553
0.8823	54.2801
0.8895	165.4293
21.2543	157.5171
0.9215	154.0977
368.8493	140.0362
301031.3407	2.6484
0.9217	154.0598
0.9002	160.8357
0.9085	157.9520
13091.3206	0.8736
0.2558	133.4419
0.9633	144.7934
0.9555	146.3063
1.3585	106.7709
28960.9800	4.9706
3.4013	139.9252
1.1026	125.9807
1.0745	126.3212
0.0914	127.9981
0.8923	164.1053
1.6323	94.1491
4.8634	50.1991
1.0470	132.2114
0.9346	150.7954
34.1489	162.0324
1.4419	102.3555
0.9176	155.1831
0.9437	148.7574
0.8868	166.9044
0.9269	152.6816
25.4996	97.7845
117.5963	80.1820
4.1390	158.2435
0.6798	155.1469
0.0549	87.8315
0.1342	148.2285
0.9339	150.9682
0.6591	161.0006
2.6788	84.9924
0.9222	153.9167
1.6684	92.8172
1.0499	131.8582
118.9596	4.2977
0.9419	149.1520
3.5488	56.9348
54.1033	37.9198
14.6769	159.9246
0.4099	97.0897
16.6944	82.8055
1.1694	152.5951
448.3883	100.4737
1.1291	45.9893
0.9198	154.5802
1.0011	138.4643
0.9858	140.8712
0.4307	69.3854
0.3963	25.7341
1.8771	88.7181
0.9548	146.4418
0.9178	155.1234
0.9596	145.5039
8.2237	106.8432
0.9166	155.4771
1.1946	117.7282
10.7076	33.2198
0.9198	154.5694
1.3103	109.6309
13.9767	86.2192
0.9154	155.8126
0.9195	154.6653
0.0949	153.2896
0.0949	153.2896
0.7267	129.6066
0.8971	162.0490
1.2092	116.5901
0.0299	151.3028
8.3534	48.9187
5.0718	154.2074
6.4643	156.3893
44.5959	45.1930
90629.2330	32.1047
1.0689	129.6163
1.0547	131.2695
0.4505	131.7103
2.7815	146.0396
0.8943	163.2301
174.5153	8.0984
2.0478	81.6501
0.1685	141.8404
0.8943	163.1999
0.1037	156.3553
1.0514	131.6690
0.9255	153.0432
0.9851	140.9861
0.0745	126.4752
3.1691	63.4046
0.9606	145.3119
0.9820	141.4996
1390095.3978	4.3341
0.3150	144.1022
0.9431	148.8725
1748.3726	1.9188
0.0727	119.7402
0.9910	140.0251
35.9688	101.4195
1.1338	122.9528
7.7477	39.2747
6.0443	97.2462
1.2300	115.0352
6324.7335	1.4538
1.0245	135.1227
414.4420	155.5562
0.9729	143.0553
1.0861	127.7147
0.9036	159.6005
1.3927	69.5066
1.9616	149.7057
5380.4490	5.3725
0.9008	160.5913
0.9008	160.5913
0.8989	161.3211
4.7109	148.1302
0.9545	146.5038
399786.8385	2.8450
0.0786	156.7959
0.9614	145.1616
0.9081	158.0812
0.8915	164.4522
1.7800	89.0489
0.9121	156.8156
0.8970	162.0709
297.7873	107.7529
1329.1756	20.8397
12.4877	126.8316
8.6865	37.0094
4.7327	95.9639
0.0888	144.6531
2639.9783	150.8280
1364.9870	87.1361
0.8947	163.0419
2.2315	33.0056
4.8386	111.0977
1.1570	120.8588
394.3765	23.6908
0.9108	157.2139
0.8965	162.2992
0.9158	155.7085
0.9181	155.0354
1.0118	136.8955
0.9076	158.2400
1.0281	134.6413
0.9201	154.4963
1.5121	93.4775
0.9082	158.0381
15.0960	168.6562
0.9536	146.6782
1.0249	135.0692
28.0285	20.3469
0.8980	161.6754
2191.0226	2.2283
0.8905	164.9742
0.8983	169.1445
533.9393	13.4271
1.0505	131.7828
1.2619	112.7807
3.4383	158.4726
0.4433	147.9659
0.9594	145.5493
0.9486	147.7059
0.1896	133.3184
0.9185	154.9195
0.9464	148.1721
1.7553	154.3293
0.0616	161.8277
1.2838	111.3166
1.0927	127.0054
0.9152	155.8850
5.9652	169.6919
0.2855	130.1497
4.8549	137.4608
0.4309	146.4056
1.8563	50.2944
19.3212	152.4232
0.0729	150.7196
1.0335	133.9253
4.4773	146.5939
0.1499	134.1432
0.9065	158.5983
4.9082	49.9538
115.5903	39.4980
0.9171	155.3242
1.2409	114.2442
1.5925	163.7365
1.2692	112.2809
0.9309	151.6816
2.6567	70.0535
3.0433	91.4575
412.4536	8.9133
0.9622	145.0116
0.0813	148.2479
0.9124	156.7215
4.9305	156.5073
24.8472	150.5974
1.0233	135.2875
0.9007	160.6225
0.9071	158.3977
57.7832	14.1251
0.9145	156.0693
25.4898	125.9870
256.2697	58.9360
0.9081	158.0802
0.0407	155.7038
0.0939	115.9980
0.9177	155.1502
0.9371	150.2147
0.8986	161.4472
1.4313	66.0897
0.9445	148.5812
1.2364	157.4872
101.2747	145.9644
0.9590	145.6109
103.6075	124.3197
2.9100	165.6763
0.9304	151.8193
9.1280	36.4442
2.1369	57.6735
0.7209	129.7634
0.9045	159.2899
234.3280	127.7639
2.9605	69.2249
8.7011	43.7232
1.1671	116.2677
1.8061	88.2325
1.0218	135.4931
0.0843	129.7262
0.9280	152.4078
1.1024	126.0094
0.0428	111.3639
2.1970	78.2713
0.9359	150.5018
14.0838	142.1645
0.9039	159.4788
0.9560	146.2139
0.0741	150.3261
0.9003	160.8085
0.9454	148.3790
0.9009	160.5800
1.0003	138.5869
0.0207	157.9883
0.0311	115.3753
6571.7046	6.3759
0.9907	140.0784
0.8974	161.9072
1.1427	69.9233
1.0214	135.5431
3.1922	73.6554
1514.4479	4.6522
0.9503	147.3541
0.9399	149.5767
0.3312	98.5670
0.9269	152.6813
1.5300	98.2842
47.3961	57.9232
1.0948	126.7901
5.2078	155.0683
53.2267	7.0264
0.9728	143.0674
0.8855	167.6691
0.1493	52.1553
1.5451	130.5434
10.4748	54.7755
0.9026	159.9471
0.1313	125.9767
1.6659	92.9077
1.2821	111.4279
50.9916	15.0433
0.2599	69.0799
48.0427	15.5016
31.3036	81.3045
