run_0062.root	3352	-22.6816	2.5543
run_0062.root	7016	-28.4836	2.20118
run_0062.root	19851	-23.5449	2.5005
run_0062.root	22671	-30.607	2.64695
run_0063.root	20224	-22.89	2.03043
run_0064.root	7326	-20.176	1.81809
run_0064.root	7327	-20.176	1.81809
run_0064.root	7844	-34.8014	2.59247
run_0064.root	18694	-36.556	2.77949
run_0064.root	30572	-23.8245	2.2485
run_0064.root	31728	-21.7566	2.68221
run_0064.root	37094	-25.9011	2.22163
run_0064.root	39500	-21.2555	2.31781
run_0065.root	22950	-23.6866	2.27625
run_0065.root	27977	-27.5374	2.16005
run_0065.root	28437	-26.2064	1.93481
run_0065.root	33496	-21.0022	2.31729
run_0065.root	55033	-30.1528	2.30446
run_0065.root	59974	-38.6655	2.74417
run_0066.root	29515	-21.7634	2.01508
run_0066.root	36984	-23.7749	2.01375
run_0066.root	37867	-38.0815	2.7012
run_0066.root	40381	-22.33	2.01535
run_0066.root	44740	-31.2917	2.27711
run_0066.root	68261	-29.1145	2.69616
run_0066.root	75469	-32.561	2.8944
run_0067.root	1737	-27.4551	2.23606
run_0067.root	15365	-22.6645	2.25754
run_0067.root	15860	-27.3147	2.52174
run_0070.root	9303	-30.6096	2.50957
run_0070.root	14272	-20.8683	1.99546
run_0070.root	15712	-20.6482	2.10406
run_0070.root	24070	-29.2846	2.414
run_0070.root	41347	-24.1741	2.40039
run_0071.root	9153	-23.324	2.55613
run_0071.root	10078	-38.5694	2.82009
run_0071.root	14786	-27.7772	2.45814
run_0071.root	28945	-27.3959	2.45277
run_0071.root	28974	-25.5942	2.51491
run_0072.root	14838	-20.4624	1.98917
run_0072.root	16033	-27.5945	2.42439
run_0072.root	23492	-20.819	2.5017
run_0072.root	26731	-27.5386	2.75156
run_0072.root	29394	-20.6204	2.4758
run_0072.root	51887	-22.8927	2.132
run_0072.root	51954	-28.5735	2.60321
run_0072.root	59380	-25.7276	2.22537
run_0073.root	44120	-23.427	2.39232
run_0073.root	52522	-23.1192	2.11502
run_0074.root	68173	-30.3079	2.54493
run_0075.root	8526	-27.7653	2.53422
run_0075.root	8527	-27.7653	2.53422
run_0075.root	11828	-28.4808	2.57133
run_0075.root	23419	-32.0429	2.39703
run_0075.root	37635	-24.7805	2.32931
run_0075.root	44368	-26.3658	2.24192
run_0075.root	74690	-39.9768	2.65989
run_0076.root	2048	-25.0771	2.39854
run_0076.root	46281	-23.7533	2.09222
run_0076.root	49029	-34.9748	2.53098
run_0076.root	58188	-36.6887	2.68299
run_0076.root	64211	-22.8478	2.38342
run_0077.root	27	-34.623	2.52846
run_0077.root	6252	-29.0659	2.52434
run_0077.root	38362	-20.9195	2.02355
run_0077.root	40468	-20.0321	2.08125
run_0077.root	42680	-22.6036	1.92122
run_0077.root	60511	-24.9961	2.36802
run_0077.root	64295	-29.7124	2.42882
run_0077.root	74578	-20.5258	2.03917
run_0078.root	22577	-20.8752	2.09923
run_0078.root	51731	-31.3425	2.44167
run_0078.root	60898	-22.1664	1.97899
run_0078.root	64251	-35.3012	2.47846
run_0078.root	66291	-28.1904	2.68229
run_0079.root	9858	-26.2602	2.36322
run_0079.root	20930	-36.902	2.79437
run_0079.root	31933	-24.8999	2.13249
run_0079.root	32092	-29.2789	2.45481
run_0079.root	33273	-32.4	2.66482
run_0080.root	22886	-31.7116	2.64384
run_0080.root	25244	-23.8746	2.33973
run_0080.root	27598	-26.2048	2.58658
run_0080.root	34553	-22.6556	2.46312
run_0080.root	41492	-22.3982	2.14659
run_0081.root	19360	-22.9944	2.5763
run_0081.root	19808	-26.0022	2.12653
run_0081.root	25258	-29.1002	2.55689
run_0081.root	31149	-21.2248	2.48131
run_0081.root	34619	-21.3727	1.98011
run_0081.root	37793	-21.5026	2.39689
run_0082.root	13891	-35.0901	2.63643
run_0082.root	28198	-24.4914	1.94519
run_0082.root	55911	-20.4326	2.46253
run_0082.root	61480	-25.8196	2.1521
run_0082.root	61887	-20.7129	1.98931
run_0083.root	3328	-21.5218	2.23195
run_0083.root	9822	-35.4452	2.52677
run_0083.root	13008	-31.8239	2.60848
run_0083.root	30064	-21.6591	1.99687
run_0083.root	35325	-29.0234	2.39568
run_0083.root	38549	-39.4901	2.80887
run_0083.root	41225	-43.1483	2.78469
run_0083.root	48095	-33.3907	2.73221
run_0083.root	52094	-20.2661	1.84349
run_0083.root	52726	-30.75	2.47981
run_0084.root	16988	-23.7728	2.36968
run_0084.root	28181	-31.5245	2.6406
run_0084.root	35191	-28.8374	2.4204
run_0084.root	37729	-23.7944	2.17142
run_0084.root	40860	-43.2612	2.95728
run_0084.root	58642	-26.4505	2.41004
run_0084.root	59156	-27.3012	2.21571
run_0084.root	63414	-41.7682	2.88403
run_0084.root	66446	-21.6929	2.46845
run_0085.root	12265	-31.7314	2.54985
run_0085.root	26403	-22.8268	2.09075
run_0085.root	26404	-22.8268	2.09075
run_0086.root	2612	-20.2212	1.95328
run_0086.root	5935	-29.7564	2.1231
run_0086.root	10246	-24.7145	2.24735
run_0086.root	13835	-24.6159	2.45567
run_0086.root	13888	-39.4864	2.59339
run_0086.root	18448	-22.3177	2.12635
run_0086.root	28983	-30.0684	2.36817
run_0086.root	33201	-22.9697	2.39909
run_0086.root	39140	-21.3901	2.11048
run_0086.root	51531	-22.0408	1.95034
run_0086.root	77334	-20.6825	2.24292
run_0086.root	79156	-20.4075	2.27857
run_0086.root	79157	-20.4075	2.27857
run_0086.root	79158	-20.4075	2.27857
run_0086.root	80517	-32.7943	2.69876
run_0087.root	25526	-22.5674	2.27703
run_0087.root	38749	-27.0727	2.39783
run_0087.root	39383	-33.4182	2.43274
run_0087.root	44133	-26.7881	2.31811
run_0087.root	51969	-22.4033	2.11618
run_0089.root	21630	-25.0983	2.0761
run_0089.root	53967	-30.7504	2.63939
run_0089.root	57443	-22.7553	1.99874
run_0089.root	58833	-23.9391	2.16666
run_0090.root	6092	-28.1969	2.513
run_0090.root	11243	-26.823	2.62393
run_0090.root	11912	-28.2453	2.56904
run_0090.root	23781	-27.1546	2.73379
run_0090.root	39185	-41.2448	2.57365
run_0091.root	46708	-21.7838	2.26444
run_0092.root	805	-32.0679	2.26674
run_0092.root	16115	-31.158	2.46739
run_0092.root	18269	-30.8287	2.31823
run_0092.root	44558	-25.1519	2.32741
run_0093.root	14394	-21.0889	2.16985
run_0093.root	25775	-20.4396	2.44118
run_0093.root	30158	-40.0506	2.78648
run_0093.root	37186	-31.0289	2.3858
run_0093.root	57943	-37.3984	2.6788
run_0094.root	10213	-23.4658	2.04808
run_0094.root	27155	-29.0877	2.55572
run_0094.root	30987	-25.2821	2.51937
run_0094.root	42717	-20.3138	2.15417
run_0094.root	49047	-20.8349	2.25738
run_0094.root	54709	-24.1096	2.30625
run_0094.root	56722	-22.3196	2.4308
run_0094.root	61120	-20.4154	2.43818
run_0094.root	80605	-23.9963	2.53365
run_0095.root	7443	-20.4	2.40633
run_0095.root	7857	-25.869	2.25761
run_0095.root	9265	-20.0234	2.10955
run_0095.root	11102	-35.3507	2.76347
run_0095.root	13392	-31.2831	2.36663
run_0095.root	27560	-24.356	2.74168
run_0095.root	55090	-26.4721	2.04119
run_0095.root	55661	-33.7081	2.65756
run_0095.root	64409	-20.588	2.29027
run_0095.root	68206	-26.4025	2.06199
run_0096.root	17670	-22.4571	2.05268
run_0096.root	17743	-24.2614	1.90957
run_0096.root	41761	-25.0944	2.83533
run_0096.root	59535	-23.7962	2.17555
run_0096.root	66420	-21.3031	2.02227
run_0097.root	8033	-32.0642	2.54519
run_0097.root	28889	-26.7981	2.04603
run_0097.root	43208	-25.1293	2.43789
run_0097.root	64950	-35.2311	2.6414
run_0098.root	16620	-20.0891	2.68844
run_0098.root	23062	-22.8546	2.25967
run_0098.root	23063	-22.8546	2.25967
run_0098.root	38229	-38.8359	2.75524
run_0098.root	65026	-24.3335	2.01373
run_0098.root	69648	-27.0923	2.24351
run_0098.root	72998	-24.4275	1.94938
run_0099.root	12657	-35.3961	2.75359
run_0099.root	65034	-20.6507	2.00467
run_0100.root	1847	-55.4303	2.93058
run_0100.root	45856	-25.4469	2.51517
run_0100.root	50353	-20.5407	2.46088
run_0100.root	51198	-24.9862	2.60115
run_0100.root	85966	-30.1365	2.45472
run_0101.root	1558	-26.7397	2.42408
run_0101.root	4127	-24.9005	2.6776
run_0101.root	4429	-23.6563	2.21675
run_0101.root	7231	-22.1395	2.2276
run_0101.root	12465	-34.8333	2.72354
run_0102.root	18002	-27.0226	2.4796
run_0102.root	20940	-24.9962	2.14426
run_0102.root	24660	-32.4818	2.69601
run_0102.root	24888	-30.2493	2.28948
run_0102.root	32713	-33.0645	2.65345
run_0102.root	33060	-20.0073	1.86062
run_0102.root	47678	-30.9246	2.00951
run_0102.root	48841	-22.3157	2.17062
run_0102.root	55263	-34.4165	2.48945
run_0103.root	18646	-21.8612	2.27028
run_0103.root	33101	-40.1861	3.02501
run_0103.root	34872	-22.1538	1.8068
run_0103.root	51566	-24.9331	2.33847
run_0103.root	53441	-28.1314	2.28301
run_0103.root	58323	-24.1593	2.80341
run_0103.root	62051	-34.2743	2.53938
run_0104.root	5684	-24.0234	2.23593
run_0104.root	19836	-29.0741	2.4482
run_0104.root	23549	-21.9623	1.8729
run_0104.root	25003	-20.1012	2.44116
run_0104.root	26555	-37.7678	2.91047
run_0104.root	42409	-34.9533	2.73505
run_0105.root	5031	-20.1568	2.04028
run_0105.root	19207	-37.874	2.6708
run_0105.root	28138	-32.8162	2.28558
