Z,A,"Y(Z,A)"
29,7.10E+01,1.61E-05
29,7.20E+01,1.12E-05
29,7.30E+01,3.72E-06
30,7.10E+01,1.29E-05
30,7.20E+01,4.03E-05
30,7.30E+01,6.03E-05
30,7.40E+01,5.42E-05
30,7.50E+01,2.71E-05
30,7.60E+01,7.03E-06
31,7.20E+01,3.86E-06
31,7.30E+01,2.60E-05
31,7.40E+01,1.05E-04
31,7.50E+01,2.37E-04
31,7.60E+01,2.77E-04
31,7.70E+01,1.58E-04
31,7.80E+01,4.25E-05
31,7.90E+01,5.64E-06
32,7.40E+01,5.43E-06
32,7.50E+01,5.51E-05
32,7.60E+01,2.89E-04
32,7.70E+01,7.42E-04
32,7.80E+01,9.00E-04
32,7.90E+01,5.37E-04
32,8.00E+01,1.69E-04
32,8.10E+01,2.87E-05
32,8.20E+01,2.59E-06
33,7.60E+01,8.03E-06
33,7.70E+01,9.28E-05
33,7.80E+01,5.07E-04
33,7.90E+01,1.36E-03
33,8.00E+01,1.93E-03
33,8.10E+01,1.47E-03
33,8.20E+01,5.98E-04
33,8.30E+01,1.29E-04
33,8.40E+01,1.50E-05
34,7.80E+01,7.57E-06
34,7.90E+01,9.15E-05
34,8.00E+01,5.83E-04
34,8.10E+01,2.00E-03
34,8.20E+01,3.67E-03
34,8.30E+01,3.57E-03
34,8.40E+01,1.87E-03
34,8.50E+01,5.23E-04
34,8.60E+01,7.64E-05
34,8.70E+01,5.79E-06
35,8.00E+01,4.69E-06
35,8.10E+01,7.26E-05
35,8.20E+01,5.98E-04
35,8.30E+01,2.62E-03
35,8.40E+01,6.17E-03
35,8.50E+01,7.78E-03
35,8.60E+01,5.11E-03
35,8.70E+01,1.74E-03
35,8.80E+01,3.23E-04
35,8.90E+01,3.29E-05
35,9.00E+01,1.77E-06
36,8.20E+01,2.59E-06
36,8.30E+01,5.10E-05
36,8.40E+01,5.41E-04
36,8.50E+01,3.07E-03
36,8.60E+01,9.08E-03
36,8.70E+01,1.39E-02
36,8.80E+01,1.16E-02
36,8.90E+01,5.34E-03
36,9.00E+01,1.29E-03
36,9.10E+01,1.60E-04
36,9.20E+01,1.03E-05
37,8.40E+01,1.26E-06
37,8.50E+01,3.22E-05
37,8.60E+01,4.29E-04
37,8.70E+01,2.96E-03
37,8.80E+01,1.11E-02
37,8.90E+01,2.30E-02
37,9.00E+01,2.50E-02
37,9.10E+01,1.40E-02
37,9.20E+01,4.05E-03
37,9.30E+01,6.17E-04
37,9.40E+01,4.83E-05
37,9.50E+01,1.90E-06
38,8.70E+01,1.67E-05
38,8.80E+01,2.83E-04
38,8.90E+01,2.63E-03
38,9.00E+01,1.29E-02
38,9.10E+01,3.24E-02
38,9.20E+01,4.22E-02
