Z,A,"Y(Z,A)"
2.80E+01,6.90E+01,1.26E-05
2.80E+01,7.00E+01,3.56E-06
2.90E+01,6.90E+01,3.12E-05
2.90E+01,7.00E+01,4.00E-05
2.90E+01,7.10E+01,3.25E-05
2.90E+01,7.20E+01,1.73E-05
2.90E+01,7.30E+01,4.78E-06
3.00E+01,6.90E+01,2.06E-06
3.00E+01,7.00E+01,1.19E-05
3.00E+01,7.10E+01,4.40E-05
3.00E+01,7.20E+01,1.06E-04
3.00E+01,7.30E+01,1.33E-04
3.00E+01,7.40E+01,8.06E-05
3.00E+01,7.50E+01,2.61E-05
3.00E+01,7.60E+01,4.67E-06
3.10E+01,7.10E+01,1.58E-06
3.10E+01,7.20E+01,1.73E-05
3.10E+01,7.30E+01,9.82E-05
3.10E+01,7.40E+01,2.70E-04
3.10E+01,7.50E+01,3.96E-04
3.10E+01,7.60E+01,3.22E-04
3.10E+01,7.70E+01,1.32E-04
3.10E+01,7.80E+01,2.64E-05
3.10E+01,7.90E+01,2.72E-06
3.20E+01,7.30E+01,1.93E-06
3.20E+01,7.40E+01,2.41E-05
3.20E+01,7.50E+01,1.60E-04
3.20E+01,7.60E+01,5.89E-04
3.20E+01,7.70E+01,1.10E-03
3.20E+01,7.80E+01,9.93E-04
3.20E+01,7.90E+01,4.64E-04
3.20E+01,8.00E+01,1.19E-04
3.20E+01,8.10E+01,1.62E-05
3.20E+01,8.20E+01,1.10E-06
3.30E+01,7.50E+01,1.71E-06
3.30E+01,7.60E+01,2.86E-05
3.30E+01,7.70E+01,2.42E-04
3.30E+01,7.80E+01,9.93E-04
3.30E+01,7.90E+01,2.10E-03
3.30E+01,8.00E+01,2.45E-03
3.30E+01,8.10E+01,1.51E-03
3.30E+01,8.20E+01,4.64E-04
3.30E+01,8.30E+01,7.32E-05
3.30E+01,8.40E+01,6.16E-06
3.40E+01,7.70E+01,1.42E-06
3.40E+01,7.80E+01,2.64E-05
3.40E+01,7.90E+01,2.54E-04
3.40E+01,8.00E+01,1.34E-03
3.40E+01,8.10E+01,3.73E-03
3.40E+01,8.20E+01,5.21E-03
3.40E+01,8.30E+01,3.73E-03
3.40E+01,8.40E+01,1.42E-03
3.40E+01,8.50E+01,2.92E-04
3.40E+01,8.60E+01,3.21E-05
3.40E+01,8.70E+01,1.88E-06
3.50E+01,8.00E+01,1.94E-05
3.50E+01,8.10E+01,2.45E-04
3.50E+01,8.20E+01,1.55E-03
3.50E+01,8.30E+01,5.04E-03
3.50E+01,8.40E+01,8.73E-03
3.50E+01,8.50E+01,8.13E-03
3.50E+01,8.60E+01,4.05E-03
3.50E+01,8.70E+01,1.07E-03
3.50E+01,8.80E+01,1.52E-04
3.50E+01,8.90E+01,1.13E-05
3.60E+01,8.20E+01,1.23E-05
3.60E+01,8.30E+01,1.81E-04
3.60E+01,8.40E+01,1.42E-03
3.60E+01,8.50E+01,6.01E-03
3.60E+01,8.60E+01,1.36E-02
3.60E+01,8.70E+01,1.63E-02
3.60E+01,8.80E+01,1.04E-02
3.60E+01,8.90E+01,3.52E-03
3.60E+01,9.00E+01,6.12E-04
3.60E+01,9.10E+01,5.49E-05
3.60E+01,9.20E+01,2.53E-06
3.70E+01,8.40E+01,6.16E-06
3.70E+01,8.50E+01,1.18E-04
3.70E+01,8.60E+01,1.21E-03
3.70E+01,8.70E+01,6.59E-03
3.70E+01,8.80E+01,1.91E-02
3.70E+01,8.90E+01,2.92E-02
3.70E+01,9.00E+01,2.31E-02
3.70E+01,9.10E+01,9.37E-03
3.70E+01,9.20E+01,1.96E-03
3.70E+01,9.30E+01,2.10E-04
3.70E+01,9.40E+01,1.15E-05
3.80E+01,8.60E+01,2.86E-06
3.80E+01,8.70E+01,7.07E-05
3.80E+01,8.80E+01,9.30E-04
3.80E+01,8.90E+01,6.44E-03
3.80E+01,9.00E+01,2.31E-02
3.80E+01,9.10E+01,4.25E-02
3.80E+01,9.20E+01,4.02E-02
3.80E+01,9.30E+01,1.96E-02
3.80E+01,9.40E+01,4.88E-03
3.80E+01,9.50E+01,6.21E-04
3.80E+01,9.60E+01,4.08E-05
3.80E+01,9.70E+01,1.39E-06
3.90E+01,8.80E+01,1.20E-06
3.90E+01,8.90E+01,3.77E-05
3.90E+01,9.00E+01,6.12E-04
3.90E+01,9.10E+01,5.12E-03
3.90E+01,9.20E+01,2.20E-02
3.90E+01,9.30E+01,4.85E-02
3.90E+01,9.40E+01,5.48E-02
3.90E+01,9.50E+01,3.16E-02
3.90E+01,9.60E+01,9.42E-03
3.90E+01,9.70E+01,1.46E-03
3.90E+01,9.80E+01,1.18E-04
3.90E+01,9.90E+01,5.04E-06
4.00E+01,9.10E+01,1.64E-05
4.00E+01,9.20E+01,3.19E-04
4.00E+01,9.30E+01,3.19E-03
4.00E+01,9.40E+01,1.63E-02
4.00E+01,9.50E+01,4.28E-02
4.00E+01,9.60E+01,5.78E-02
4.00E+01,9.70E+01,4.06E-02
4.00E+01,9.80E+01,1.49E-02
4.00E+01,9.90E+01,2.88E-03
4.00E+01,1.00E+02,3.00E-04
4.00E+01,1.01E+02,1.72E-05
4.10E+01,9.30E+01,5.58E-06
4.10E+01,9.40E+01,1.30E-04
4.10E+01,9.50E+01,1.54E-03
4.10E+01,9.60E+01,9.42E-03
4.10E+01,9.70E+01,3.00E-02
