0.125 0 0.0298
0.125 0.5 0.02938
0.125 1 0.02834
0.125 1.5 0.02732
0.125 2 0.02714
0.125 2.5 0.02855
0.125 3 0.03199
0.125 3.5 0.03744
0.125 4 0.04441
0.125 4.5 0.05205
0.125 5 0.05934
0.125 5.5 0.06531
0.125 6 0.06923
0.125 6.5 0.07069
0.125 7 0.06964
0.125 7.5 0.06634
0.125 8 0.06126
0.125 8.5 0.05494
0.125 9 0.04796
0.125 9.5 0.04082
0.125 10 0.0339
0.375 0 0.07947
0.375 0.5 0.07835
0.375 1 0.07556
0.375 1.5 0.07267
0.375 2 0.07177
0.375 2.5 0.07478
0.375 3 0.08295
0.375 3.5 0.09639
0.375 4 0.1141
0.375 4.5 0.1339
0.375 5 0.1535
0.375 5.5 0.1702
0.375 6 0.1821
0.375 6.5 0.1877
0.375 7 0.1868
0.375 7.5 0.1797
0.375 8 0.1675
0.375 8.5 0.1515
0.375 9 0.1333
0.375 9.5 0.1141
0.375 10 0.09527
0.625 0 0.09242
0.625 0.5 0.09113
0.625 1 0.08787
0.625 1.5 0.08433
0.625 2 0.08277
0.625 2.5 0.08538
0.625 3 0.09363
0.625 3.5 0.1079
0.625 4 0.1272
0.625 4.5 0.1496
0.625 5 0.1724
0.625 5.5 0.1927
0.625 6 0.2081
0.625 6.5 0.2168
0.625 7 0.2181
0.625 7.5 0.2121
0.625 8 0.1997
0.625 8.5 0.1824
0.625 9 0.1618
0.625 9.5 0.1396
0.625 10 0.1172
0.875 0 0.08979
0.875 0.5 0.08855
0.875 1 0.08538
0.875 1.5 0.0818
0.875 2 0.07986
0.875 2.5 0.08159
0.875 3 0.0885
0.875 3.5 0.1011
0.875 4 0.1187
0.875 4.5 0.1397
0.875 5 0.1617
0.875 5.5 0.182
0.875 6 0.1983
0.875 6.5 0.2087
0.875 7 0.2121
0.875 7.5 0.2084
0.875 8 0.1981
0.875 8.5 0.1826
0.875 9 0.1633
0.875 9.5 0.1419
0.875 10 0.1198
1.125 0 0.08275
1.125 0.5 0.08163
1.125 1 0.07872
1.125 1.5 0.07531
1.125 2 0.07319
1.125 2.5 0.07414
1.125 3 0.07957
1.125 3.5 0.09006
1.125 4 0.1053
1.125 4.5 0.1239
1.125 5 0.1439
1.125 5.5 0.163
1.125 6 0.1791
1.125 6.5 0.1901
1.125 7 0.1951
1.125 7.5 0.1935
1.125 8 0.1857
1.125 8.5 0.1726
1.125 9 0.1556
1.125 9.5 0.1362
1.125 10 0.1157
1.375 0 0.07504
1.375 0.5 0.07404
1.375 1 0.07142
1.375 1.5 0.06826
1.375 2 0.06607
1.375 2.5 0.06643
1.375 3 0.07058
1.375 3.5 0.07917
1.375 4 0.09204
1.375 4.5 0.1082
1.375 5 0.1261
1.375 5.5 0.1436
1.375 6 0.1589
1.375 6.5 0.1701
1.375 7 0.1761
1.375 7.5 0.1762
1.375 8 0.1705
1.375 8.5 0.1598
1.375 9 0.1452
1.375 9.5 0.128
1.375 10 0.1094
1.625 0 0.06781
1.625 0.5 0.06692
1.625 1 0.06457
1.625 1.5 0.06167
1.625 2 0.0595
1.625 2.5 0.05941
1.625 3 0.06254
1.625 3.5 0.06953
1.625 4 0.08036
1.625 4.5 0.09433
1.625 5 0.1101
1.625 5.5 0.1261
1.625 6 0.1404
1.625 6.5 0.1514
1.625 7 0.1579
1.625 7.5 0.1593
1.625 8 0.1555
1.625 8.5 0.1469
1.625 9 0.1344
1.625 9.5 0.1193
1.625 10 0.1027
1.875 0 0.06132
1.875 0.5 0.06053
1.875 1 0.05844
1.875 1.5 0.05579
1.875 2 0.05367
1.875 2.5 0.05327
1.875 3 0.05559
1.875 3.5 0.06127
1.875 4 0.07039
1.875 4.5 0.08243
1.875 5 0.09636
1.875 5.5 0.1107
1.875 6 0.124
1.875 6.5 0.1346
1.875 7 0.1415
1.875 7.5 0.1438
1.875 8 0.1414
1.875 8.5 0.1346
1.875 9 0.1241
1.875 9.5 0.1108
1.875 10 0.09601
2.125 0 0.05562
2.125 0.5 0.05491
2.125 1 0.05303
2.125 1.5 0.05061
2.125 2 0.04858
2.125 2.5 0.04796
2.125 3 0.04966
2.125 3.5 0.05427
2.125 4 0.06196
2.125 4.5 0.07235
2.125 5 0.08462
2.125 5.5 0.09755
2.125 6 0.1098
2.125 6.5 0.1199
2.125 7 0.1269
2.125 7.5 0.1299
2.125 8 0.1286
2.125 8.5 0.1233
2.125 9 0.1144
2.125 9.5 0.1029
2.125 10 0.08969
2.375 0 0.05061
2.375 0.5 0.04998
2.375 1 0.04829
2.375 1.5 0.04608
2.375 2 0.04415
2.375 2.5 0.04339
2.375 3 0.04459
2.375 3.5 0.04835
2.375 4 0.05484
2.375 4.5 0.06382
2.375 5 0.07462
2.375 5.5 0.08624
2.375 6 0.09745
2.375 6.5 0.107
2.375 7 0.1139
2.375 7.5 0.1174
2.375 8 0.117
2.375 8.5 0.1129
2.375 9 0.1055
2.375 9.5 0.09548
2.375 10 0.08377
2.625 0 0.04621
2.625 0.5 0.04564
2.625 1 0.04412
2.625 1.5 0.04211
2.625 2 0.04028
2.625 2.5 0.03942
2.625 3 0.04025
2.625 3.5 0.0433
2.625 4 0.0488
2.625 4.5 0.05658
2.625 5 0.0661
2.625 5.5 0.07652
2.625 6 0.08678
2.625 6.5 0.09577
2.625 7 0.1025
2.625 7.5 0.1062
2.625 8 0.1066
2.625 8.5 0.1035
2.625 9 0.09731
2.625 9.5 0.08864
2.625 10 0.07825
2.875 0 0.04233
2.875 0.5 0.04183
2.875 1 0.04045
2.875 1.5 0.03861
2.875 2 0.03689
2.875 2.5 0.03597
2.875 3 0.03651
2.875 3.5 0.03899
2.875 4 0.04366
2.875 4.5 0.0504
2.875 5 0.05881
2.875 5.5 0.06815
2.875 6 0.07751
2.875 6.5 0.0859
2.875 7 0.0924
2.875 7.5 0.0963
2.875 8 0.09717
2.875 8.5 0.09493
2.875 9 0.08981
2.875 9.5 0.08232
2.875 10 0.07312
3.125 0 0.0389
3.125 0.5 0.03845
3.125 1 0.0372
3.125 1.5 0.03551
3.125 2 0.0339
3.125 2.5 0.03296
3.125 3 0.03327
3.125 3.5 0.03529
3.125 4 0.03925
3.125 4.5 0.04512
3.125 5 0.05254
3.125 5.5 0.06092
3.125 6 0.06945
3.125 6.5 0.07724
3.125 7 0.08346
3.125 7.5 0.08742
3.125 8 0.0887
3.125 8.5 0.08715
3.125 9 0.08294
3.125 9.5 0.07647
3.125 10 0.06834
3.375 0 0.03586
3.375 0.5 0.03544
3.375 1 0.03431
3.375 1.5 0.03276
3.375 2 0.03125
3.375 2.5 0.0303
3.375 3 0.03044
3.375 3.5 0.03208
3.375 4 0.03546
3.375 4.5 0.04057
3.375 5 0.04714
3.375 5.5 0.05465
3.375 6 0.0624
3.375 6.5 0.06962
3.375 7 0.07552
3.375 7.5 0.07948
3.375 8 0.08105
3.375 8.5 0.08007
3.375 9 0.07664
3.375 9.5 0.07108
3.375 10 0.0639
3.625 0 0.03314
3.625 0.5 0.03276
3.625 1 0.03173
3.625 1.5 0.03031
3.625 2 0.02889
3.625 2.5 0.02795
3.625 3 0.02795
3.625 3.5 0.02928
3.625 4 0.03217
3.625 4.5 0.03663
3.625 5 0.04245
3.625 5.5 0.04918
3.625 6 0.05623
3.625 6.5 0.06289
3.625 7 0.06847
3.625 7.5 0.07236
3.625 8 0.07415
3.625 8.5 0.07363
3.625 9 0.07086
3.625 9.5 0.06609
3.625 10 0.05976
3.875 0 0.0307
3.875 0.5 0.03036
3.875 1 0.02942
3.875 1.5 0.0281
3.875 2 0.02678
3.875 2.5 0.02586
3.875 3 0.02576
3.875 3.5 0.02684
3.875 4 0.02931
3.875 4.5 0.03321
3.875 5 0.03836
3.875 5.5 0.04441
3.875 6 0.05081
3.875 6.5 0.05695
3.875 7 0.06219
3.875 7.5 0.06598
3.875 8 0.0679
3.875 8.5 0.06776
3.875 9 0.06555
3.875 9.5 0.06147
3.875 10 0.0559
4.125 0 0.02851
4.125 0.5 0.0282
4.125 1 0.02733
4.125 1.5 0.02612
4.125 2 0.02488
4.125 2.5 0.02399
4.125 3 0.02381
4.125 3.5 0.02468
4.125 4 0.0268
4.125 4.5 0.03022
4.125 5 0.03479
4.125 5.5 0.04022
4.125 6 0.04603
4.125 6.5 0.05168
4.125 7 0.05658
4.125 7.5 0.06024
4.125 8 0.06226
4.125 8.5 0.06241
4.125 9 0.06067
4.125 9.5 0.0572
4.125 10 0.05231
4.375 0 0.02653
4.375 0.5 0.02625
4.375 1 0.02545
4.375 1.5 0.02433
4.375 2 0.02317
4.375 2.5 0.0223
4.375 3 0.02207
4.375 3.5 0.02277
4.375 4 0.02459
4.375 4.5 0.02759
4.375 5 0.03166
4.375 5.5 0.03653
4.375 6 0.04181
4.375 6.5 0.04699
4.375 7 0.05157
4.375 7.5 0.05508
4.375 8 0.05714
4.375 8.5 0.05753
4.375 9 0.05619
4.375 9.5 0.05325
4.375 10 0.04895
4.625 0 0.02474
4.625 0.5 0.02448
4.625 1 0.02374
4.625 1.5 0.02271
4.625 2 0.02162
4.625 2.5 0.02079
4.625 3 0.02051
4.625 3.5 0.02107
4.625 4 0.02264
4.625 4.5 0.02528
4.625 5 0.0289
4.625 5.5 0.03328
4.625 6 0.03806
4.625 6.5 0.04282
4.625 7 0.04709
4.625 7.5 0.05043
4.625 8 0.0525
4.625 8.5 0.05307
4.625 9 0.05208
