Event ID	Vertex(mm)57	721.654	721.652	721.656
82	741.676	741.688	741.665
192	874.093	874.095	874.09
200	618.345	618.348	618.341
203	745.468	745.483	745.453
292	830.498	830.503	830.492
297	800.202	800.274	800.13
311	466.31	466.301	466.319
328	656.964	656.997	656.932
331	638.146	638.154	638.139
341	633.685	633.689	633.681
363	501.376	501.357	501.395
371	588.542	588.542	588.541
380	466.381	466.381	466.38
534	864.636	864.637	864.635
554	574.543	574.494	574.592
566	884.597	884.584	884.609
635	851.309	851.29	851.328
684	644.192	644.132	644.251
694	800.917	800.917	800.916
763	752.384	752.358	752.411
822	878.784	878.791	878.776
861	667.489	667.486	667.491
889	889.383	889.372	889.394
890	803.637	803.652	803.622
922	850.728	850.721	850.735
1002	860.283	860.288	860.278
1070	536.986	536.989	536.982
1116	844.838	844.851	844.825
1123	861.702	861.697	861.707
1125	668.558	668.563	668.553
1162	859.723	859.726	859.721
1172	856.688	856.746	856.63
1212	883.412	883.411	883.414
1308	624.48	624.475	624.486
1337	655.096	655.101	655.092
1361	864.663	864.673	864.653
1405	425.51	425.504	425.516
1417	675.179	675.175	675.183
1435	872.051	872.039	872.062
1499	882.167	882.162	882.172
1543	521.983	521.972	521.994
1631	891.744	891.741	891.748
1667	796.295	796.272	796.319
1791	615.925	615.978	615.871
1806	691.193	691.192	691.193
1835	1121.45	1121.46	1121.45
1858	891.351	891.355	891.347
1859	489.265	489.27	489.26
1880	635.546	635.52	635.572
1925	842.332	842.335	842.329
1970	749.564	749.568	749.56
1981	496.105	496.105	496.104
1997	871.799	871.85	871.749
2043	885.71	885.705	885.715
2052	881.295	881.261	881.329
2145	906.902	906.898	906.907
2167	884.091	884.1	884.082
2287	778.411	778.412	778.409
2300	770.863	770.858	770.869
2354	513.011	513.015	513.008
2372	687.429	687.43	687.429
2397	654.208	654.207	654.21
2420	877.888	877.804	877.972
2449	857.615	857.658	857.572
2509	856.893	856.944	856.843
2528	829.714	829.715	829.714
2767	885.871	885.866	885.876
2813	563.901	563.907	563.895
2815	903.104	903.104	903.104
2828	389.647	389.596	389.697
2833	788.717	788.722	788.713
2866	891.946	891.949	891.944
2977	388.143	388.163	388.123
3030	640.674	640.671	640.677
3055	894.686	894.674	894.698
3101	463.333	463.334	463.331
3142	872.189	872.187	872.192
3144	484.652	484.652	484.652
3196	907.144	907.141	907.148
3202	541.709	541.74	541.679
3220	508.115	507.982	508.249
3297	354.772	354.861	354.684
3368	873.947	873.944	873.949
3407	894.054	894.061	894.047
3496	494.028	494.034	494.022
3516	831.247	831.271	831.223
3595	879.188	879.167	879.209
3684	760.783	760.783	760.783
3689	759.421	759.424	759.419
3760	888.188	888.196	888.181
3815	865.451	865.436	865.466
3834	488.546	488.546	488.546
3864	422.557	422.56	422.553
3865	625.141	625.158	625.124
3903	830.985	830.985	830.985
3927	887.881	887.881	887.881
3948	766.925	766.918	766.933
3977	815.057	815.058	815.056
3987	896.029	896.042	896.016
4099	451.763	451.763	451.764
4103	891.601	891.606	891.595
4159	657.69	657.749	657.631
4196	707.488	707.597	707.378
4200	892.042	892.034	892.049
4204	801.615	801.614	801.617
4223	825.809	825.81	825.807
4224	767.594	767.636	767.552
4281	856.636	856.65	856.623
4288	627.239	627.216	627.263
4355	846.947	846.94	846.955
4442	855.657	855.714	855.599
