0.01	1.50
0.011	1.60
0.012	1.69
0.013	1.79
0.014	1.88
0.015	1.96
0.016	2.05
0.017	2.13
0.018	2.21
0.02	2.36
0.0225	2.55
0.025	2.72
0.0275	2.89
0.03	3.05
0.0325	3.21
0.035	3.36
0.0375	3.51
0.04	3.65
0.045	3.93
0.05	4.20
0.055	4.46
0.06	4.72
0.065	4.96
0.07	5.21
0.08	5.69
0.09	6.15
0.1	6.62
0.11	7.08
0.12	7.54
0.13	8.00
0.14	8.47
0.15	8.94
0.16	9.42
0.17	9.90
0.18	10.39
0.2	11.40
0.225	12.72
0.25	14.10
0.275	15.56
0.3	17.09
0.325	18.69
0.35	20.37
0.375	22.14
0.4	23.98
0.45	27.92
0.5	32.18
0.55	36.78
0.6	41.70
0.65	46.94
0.7	52.50
0.8	64.55
0.9	77.82
1	92.29
1.1	107.93
1.2	124.71
1.3	142.61
1.4	161.60
1.5	181.67
1.6	202.80
1.7	224.97
1.8	248.16
2	297.54
2.25	364.54
2.5	437.43
2.75	516.30
3	600.88
3.25	691.11
3.5	786.96
3.75	888.40
4	995.38
4.5	1230
5	1480
