0.01	1.17
0.011	1.24
0.012	1.31
0.013	1.38
0.014	1.44
0.015	1.51
0.016	1.57
0.017	1.63
0.018	1.69
0.02	1.81
0.0225	1.95
0.025	2.08
0.0275	2.21
0.03	2.34
0.0325	2.46
0.035	2.59
0.0375	2.71
0.04	2.83
0.045	3.06
0.05	3.29
0.055	3.52
0.06	3.75
0.065	3.98
0.07	4.22
0.08	4.69
0.09	5.18
0.1	5.69
0.11	6.21
0.12	6.76
0.13	7.32
0.14	7.91
0.15	8.53
0.16	9.17
0.17	9.83
0.18	10.52
0.2	11.98
0.225	13.94
0.25	16.08
0.275	18.37
0.3	20.83
0.325	23.45
0.35	26.24
0.375	29.17
0.4	32.27
0.45	38.90
0.5	46.14
0.55	53.96
0.6	62.35
0.65	71.30
0.7	80.80
0.8	101.38
0.9	124.04
1.00	148.74
1.10	175.31
1.20	203.76
1.30	234.15
1.40	266.40
1.50	300.47
1.60	336.34
1.70	374.02
1.80	413.48
2.00	497.71
2.25	612.89
2.50	738.99
2.75	875.86
3.00	1020
3.25	1180
3.50	1350
3.75	1530
4.00	1720
4.50	2130
5.00	2570
