    a0p5smza				     A T O M I C   M A S S   A D J U S T M E N T
						     DATE 19 Nov 2003 TIME 17:22
	**************************			    A=   0 TO 293
	* file : mass.mas03round *
	**************************

  This is one file out of a series of 3 files published in:
      "The Ame2003 atomic mass evaluation (II)"  by G.Audi, A.H.Wapstra and C.Thibault
	  Nuclear Physics A729 p. 337-676, December 22, 2003.
		      for files : mass.mas03  atomic masses
				  rct1.mas03  react and sep energies,  part 1
				  rct2.mas03  react and sep energies,  part 2

  A fourth file  is the "Rounded" version of the atomic mass table (the first file)
				  mass.mas03round  atomic masses "Rounded" version

  All files are 3179 lines long with 124 character per line.
      Headers are 39 lines long.

  Values in the files 1, 2 and 3 are exact (unrounded) copy of the published ones
  Values in the files 4 	 are exact	       copy of the published ones

  col 1     :  Fortran character control: 1 = page feed  0 = line feed
  format    :  a1,i3,i5,i5,i5,1x,a3,a4,1x,f13.5,f11.5,f11.3,f9.3,1x,a2,f11.3,f9.3,1x,i3,1x,f12.5,f11.3,1x
	       cc NZ  N  Z  A	 el  o     mass  unc binding unc     B  beta  unc    atomic_mass   unc
  Warnings  :  this format is not identical to the one used in Ame1993 and Ame1995
		     in particular "Mass Excess" and "Atomic Mass" values are given now, when necessary,
		     with 5 digits after decimal point.
		     also, the "Binding Energy" column is replaced by a "Binding Energy per A" one.
	       decimal point is replaced by # for (non-experimental) estimated values.
	       * in place of value : not calculable

...+....1....+....2....+....3....+....4....+....5....+....6....+....7....+....8....+....9....+...10....+...11....+...12....
							      MASS LIST
							    ground states
							   for publication
						       (rounding threshold 30)
       N    Z	A  El	    Mass Excess 	Binding Energy/A   	    Atomic Mass
			       (keV)		      (keV)	              (micro-u)
      13   11	   Na    23990962.78	   0.08
      12   12	   Mg    23985041.700	   0.014
      11   13	   Al    23999938.9	   3.0
      10   14	   Si    24011546	  21
       9   15	   P     24034350#	 540#
      18    7	25 N     25060660#	 540#
      17    8	   O     25029460#	 280#
      16    9	   F     25012100	 110
      15   10	   Ne    24997737	  28
      14   11	   Na    24989954.0	   1.3
      13   12	   Mg    24985836.92	   0.03
      12   13	   Al    24990428.1	   0.5
      11   14	   Si    25004106	  11
      10   15	   P     25020260#	 210#
      18    8	26 O     26038340#	 280#
      17    9	   F     26019620	 180
      16   10	   Ne    26000461	  29
      15   11	   Na    25992633	   6
      14   12	   Mg    25982592.929	   0.030
      13   13	   Al    25986891.69	   0.06
      12   14	   Si    25992330	   3
      11   15	   P     26011780#	 210#
      10   16	   S     26027880#	 320#
      19    8	27 O     27048260#	 540#
      18    9	   F     27026760	 400
      17   10	   Ne    27007590	 120
      16   11	   Na    26994077	   4
      15   12	   Mg    26984340.59	   0.05
      14   13	   Al    26981538.63	   0.12
      13   14	   Si    26986704.91	   0.16
      12   15	   P     26999230	  28
      11   16	   S     27018830#	 220#
      20    8	28 O     28057810#	 640#
      19    9	   F     28035670#	 550#
      18   10	   Ne    28012070	 160
      17   11	   Na    27998938	  14
      16   12	   Mg    27983876.8	   2.2
      15   13	   Al    27981910.31	   0.14
      14   14	   Si    27976926.5325     0.0019
      13   15	   P     27992315	   4
      12   16	   S     28004370	 170
      11   17	   Cl    28028510#	 540#
      20    9	29 F     29043260#	 620#
      19   10	   Ne    29019390	 290
      18   11	   Na    29002861	  14
      17   12	   Mg    28988600	  15
      16   13	   Al    28980445.0	   1.3
      15   14	   Si    28976494.700	   0.022
      14   15	   P     28981800.6	   0.6
      13   16	   S     28996610	  50
      12   17	   Cl    29014110#	 210#
      21    9	30 F     30052500#	 640#
      20   10	   Ne    30024800	 610
      19   11	   Na    30008976	  27
      18   12	   Mg    29990434	   9
      17   13	   Al    29982960	  15
      16   14	   Si    29973770.17	   0.03
      15   15	   P     29978313.8	   0.3
      14   16	   S     29984903	   3
      13   17	   Cl    30004770#	 210#
      12   18	   Ar    30021560#	 320#
      22    9	31 F     31060430#	 640#
      21   10	   Ne    31033110#	 970#
      20   11	   Na    31013590	 230
      19   12	   Mg    30996546	  13
      18   13	   Al    30983947	  22
      17   14	   Si    30975363.23	   0.04
      16   15	   P     30973761.63	   0.20
      15   16	   S     30979554.7	   1.6
      14   17	   Cl    30992410	  50
      13   18	   Ar    31012120#	 220#
      22   10	32 Ne    32040020#	 860#
      21   11	   Na    32020470	 380
      20   12	   Mg    31998975	  19
      19   13	   Al    31988120	  90
      18   14	   Si    31974148.08	   0.05
      17   15	   P     31973907.27	   0.20
      16   16	   S     31972071.00	   0.15
      15   17	   Cl    31985690	   7
      14   18	   Ar    31997638.0	   1.9
      13   19	   K     32021920#	 540#
      23   10	33 Ne    33049380#	 860#
      22   11	   Na    33026720	 940
      21   12	   Mg    33005254	  21
      20   13	   Al    32990840	  80
      19   14	   Si    32978000	  17
      18   15	   P     32971725.5	   1.2
      17   16	   S     32971458.76	   0.15
      16   17	   Cl    32977451.9	   0.5
      15   18	   Ar    32989925.7	   0.5
      14   19	   K     33007260#	 210#
      24   10	34 Ne    34057030#	 870#
      23   11	   Na    34035170#	 960#
      22   12	   Mg    34009460	 250
      21   13	   Al    33996850	 120
      20   14	   Si    33978576	  15
      19   15	   P     33973636	   5
      18   16	   S     33967866.90	   0.12
      17   17	   Cl    33973762.82	   0.19
      16   18	   Ar    33980271.2	   0.4
      15   19	   K     33998410#	 320#
      14   20	   Ca    34014120#	 320#
      24   11	35 Na    35042490#	1020#
