CoboID,AsadID,AgetID,ChannelID,Siliconface,PadID
10,1,0,0,1,93
10,1,0,1,3,97
10,1,0,2,1,96
10,1,0,3,3,99
10,1,0,4,1,99
10,1,0,5,3,98
10,1,0,6,1,97
10,1,0,7,3,101
10,1,0,8,1,101
10,1,0,9,3,100
10,1,0,10,1,98
10,1,0,12,3,103
10,1,0,13,1,103
10,1,0,14,3,102
10,1,0,15,1,100
10,1,0,16,3,105
10,1,0,17,1,105
10,1,0,18,3,104
10,1,0,19,1,102
10,1,0,20,3,107
10,1,0,21,1,107
10,1,0,23,3,106
10,1,0,24,1,104
10,1,0,25,3,109
10,1,0,26,1,109
10,1,0,27,3,108
10,1,0,28,1,106
10,1,0,29,3,111
10,1,0,30,1,111
10,1,0,31,3,110
10,1,0,32,1,108
10,1,0,33,3,113
10,1,0,34,1,113
10,1,0,35,3,115
10,1,0,36,1,110
10,1,0,37,3,112
10,1,0,38,1,115
10,1,0,39,3,114
10,1,0,40,1,112
10,1,0,41,3,116
10,1,0,42,1,117
10,1,0,43,3,118
10,1,0,44,1,114
10,1,0,46,3,117
10,1,0,47,1,119
10,1,0,48,3,120
10,1,0,49,1,116
10,1,0,50,3,119
10,1,0,51,1,121
10,1,0,52,3,122
10,1,0,53,1,118
10,1,0,54,3,121
10,1,0,55,1,123
10,1,0,57,3,124
10,1,0,58,1,120
10,1,0,59,3,123
10,1,0,60,1,125
10,1,0,61,3,126
10,1,0,62,1,122
10,1,0,63,3,125
10,1,0,64,1,124
10,1,0,65,3,127
10,1,0,66,1,126
10,1,0,67,3,72
10,1,1,0,1,63
10,1,1,1,3,68
10,1,1,2,1,67
10,1,1,3,3,62
10,1,1,4,1,68
10,1,1,5,3,70
10,1,1,6,1,66
10,1,1,7,3,63
10,1,1,8,1,65
10,1,1,9,3,0
10,1,1,10,1,127
10,1,1,12,3,67
10,1,1,13,1,69
10,1,1,14,3,69
10,1,1,15,1,73
10,1,1,16,3,71
10,1,1,17,1,71
10,1,1,18,3,74
10,1,1,19,1,75
10,1,1,20,3,73
10,1,1,21,1,77
10,1,1,23,3,76
10,1,1,24,1,70
10,1,1,25,3,78
10,1,1,26,1,72
10,1,1,27,3,79
10,1,1,28,1,79
10,1,1,29,3,80
10,1,1,30,1,76
10,1,1,31,3,77
10,1,1,32,1,81
10,1,1,33,3,82
10,1,1,34,1,78
10,1,1,35,3,75
10,1,1,36,1,83
10,1,1,37,3,84
10,1,1,38,1,74
10,1,1,39,3,86
10,1,1,40,1,85
10,1,1,41,3,81
10,1,1,42,1,87
10,1,1,43,3,83
10,1,1,44,1,82
10,1,1,46,3,85
10,1,1,47,1,89
10,1,1,48,3,88
10,1,1,49,1,80
10,1,1,50,3,87
10,1,1,51,1,86
10,1,1,52,3,90
10,1,1,53,1,91
10,1,1,54,3,93
10,1,1,55,1,90
10,1,1,57,3,92
10,1,1,58,1,94
10,1,1,59,3,91
10,1,1,60,1,95
10,1,1,61,3,95
10,1,1,62,1,92
10,1,1,63,3,89
10,1,1,64,1,88
10,1,1,65,3,94
10,1,1,66,1,84
10,1,1,67,3,96
10,1,2,0,1,31
10,1,2,1,3,55
10,1,2,2,1,34
10,1,2,3,3,51
10,1,2,4,1,33
10,1,2,5,3,32
10,1,2,6,1,32
10,1,2,7,3,37
10,1,2,8,1,36
10,1,2,9,3,35
10,1,2,10,1,35
10,1,2,12,3,39
10,1,2,13,1,37
10,1,2,14,3,33
10,1,2,15,1,39
10,1,2,16,3,34
10,1,2,17,1,38
10,1,2,18,3,41
10,1,2,19,1,40
10,1,2,20,3,36
10,1,2,21,1,42
10,1,2,23,3,43
10,1,2,24,1,41
10,1,2,25,3,38
10,1,2,26,1,43
10,1,2,27,3,40
10,1,2,28,1,44
10,1,2,29,3,45
10,1,2,30,1,45
10,1,2,31,3,42
10,1,2,32,1,46
10,1,2,33,3,44
10,1,2,34,1,47
10,1,2,35,3,47
10,1,2,36,1,48
10,1,2,37,3,46
10,1,2,38,1,49
10,1,2,39,3,49
10,1,2,40,1,52
10,1,2,41,3,48
10,1,2,42,1,51
10,1,2,43,3,53
10,1,2,44,1,50
10,1,2,46,3,61
10,1,2,47,1,53
10,1,2,48,3,57
10,1,2,49,1,54
10,1,2,50,3,50
10,1,2,51,1,56
10,1,2,52,3,52
10,1,2,53,1,55
10,1,2,54,3,54
10,1,2,55,1,58
10,1,2,57,3,66
10,1,2,58,1,57
10,1,2,59,3,56
10,1,2,60,1,60
10,1,2,61,3,65
10,1,2,62,1,59
10,1,2,63,3,58
10,1,2,64,1,62
10,1,2,65,3,64
10,1,2,66,1,61
10,1,2,67,3,60
10,1,3,0,1,64
10,1,3,1,3,1
10,1,3,2,1,0
10,1,3,3,3,3
10,1,3,4,1,1
10,1,3,5,3,2
10,1,3,6,1,3
10,1,3,7,3,5
10,1,3,8,1,2
10,1,3,9,3,4
10,1,3,10,1,5
10,1,3,12,3,7
10,1,3,13,1,4
10,1,3,14,3,6
10,1,3,15,1,7
10,1,3,16,3,9
10,1,3,17,1,6
10,1,3,18,3,8
10,1,3,19,1,9
10,1,3,20,3,11
10,1,3,21,1,8
10,1,3,23,3,10
10,1,3,24,1,11
10,1,3,25,3,13
10,1,3,26,1,10
10,1,3,27,3,12
10,1,3,28,1,13
10,1,3,29,3,15
10,1,3,30,1,12
10,1,3,31,3,14
10,1,3,32,1,15
10,1,3,33,3,17
10,1,3,34,1,14
10,1,3,35,3,16
