CoboID,AsadID,AgetID,ChannelID,PadID
0,0,1,1,0
0,0,2,62,1
0,0,2,60,2
0,0,2,63,3
0,0,2,55,4
0,0,2,51,5
0,0,2,59,6
0,0,2,54,7
0,0,2,52,8
0,0,2,47,9
0,0,2,42,10
0,0,2,48,11
0,0,2,38,12
0,0,2,34,13
0,0,2,66,14
0,0,2,39,15
0,0,2,35,16
0,0,2,30,17
0,0,2,26,18
0,0,2,31,19
0,0,2,29,20
0,0,2,19,21
0,0,2,17,22
0,0,2,23,23
0,0,2,18,24
0,0,2,13,25
0,0,2,8,26
0,0,2,14,27
0,0,2,6,28
0,0,2,2,29
0,0,2,0,30
0,0,2,5,31
0,0,2,1,32
0,0,3,64,33
0,0,3,60,34
0,0,3,65,35
0,0,3,58,36
0,0,3,53,37
0,0,3,51,38
0,0,3,57,39
0,0,3,52,40
0,0,3,47,41
0,0,3,42,42
0,0,3,48,43
0,0,3,40,44
0,0,3,36,45
0,0,3,43,46
0,0,3,39,47
0,0,3,35,48
0,0,3,30,49
0,0,3,26,50
0,0,3,31,51
0,0,3,29,52
0,0,3,19,53
0,0,3,27,54
0,0,3,23,55
0,0,3,18,56
0,0,3,13,57
0,0,3,8,58
0,0,3,14,59
0,0,3,6,60
0,0,3,2,61
0,0,3,9,62
0,0,3,5,63
0,0,1,7,64
0,0,1,0,65
0,0,1,4,66
0,0,1,12,67
0,0,1,8,68
0,0,1,10,69
0,0,1,15,70
0,0,1,20,71
0,0,1,25,72
0,0,1,17,73
0,0,1,21,74
0,0,1,29,75
0,0,1,28,76
0,0,1,3,77
0,0,1,32,78
0,0,1,35,79
0,0,1,39,80
0,0,1,34,81
0,0,1,38,82
0,0,1,46,83
0,0,1,48,84
0,0,1,44,85
0,0,1,47,86
0,0,1,54,87
0,0,1,59,88
0,0,1,51,89
0,0,1,53,90
0,0,1,63,91
0,0,1,60,92
0,0,1,62,93
0,0,1,66,94
0,0,0,3,95
0,0,0,7,96
0,0,0,0,97
0,0,0,4,98
0,0,0,12,99
0,0,0,16,100
0,0,0,10,101
0,0,0,13,102
0,0,0,20,103
0,0,0,25,104
0,0,0,17,105
0,0,0,19,106
0,0,0,29,107
0,0,0,31,108
0,0,0,26,109
0,0,0,30,110
0,0,0,37,111
0,0,0,41,112
0,0,0,46,113
0,0,0,34,114
0,0,0,36,115
0,0,0,40,116
0,0,0,44,117
0,0,0,52,118
0,0,0,54,119
0,0,0,59,120
0,0,0,63,121
0,0,0,67,122
0,0,0,53,123
0,0,0,58,124
0,0,0,62,125
0,0,0,66,126
0,0,1,9,127
0,0,1,2,128
0,0,1,6,129
0,0,1,14,130
0,0,1,16,131
0,0,1,13,132
0,0,1,18,133
0,0,1,23,134
0,0,1,27,135
0,0,1,19,136
0,0,1,24,137
0,0,1,31,138
0,0,1,26,139
0,0,1,5,140
0,0,1,30,141
0,0,1,37,142
0,0,1,41,143
0,0,1,43,144
0,0,1,36,145
0,0,1,40,146
0,0,1,50,147
0,0,1,42,148
0,0,1,49,149
0,0,1,52,150
0,0,1,57,151
0,0,1,61,152
0,0,1,55,153
0,0,1,58,154
0,0,1,65,155
0,0,1,67,156
0,0,1,64,157
0,0,0,1,158
0,0,0,5,159
0,0,0,9,160
0,0,0,2,161
0,0,0,6,162
0,0,0,14,163
0,0,0,8,164
0,0,0,15,165
0,0,0,18,166
0,0,0,23,167
0,0,0,27,168
0,0,0,21,169
0,0,0,24,170
0,0,0,33,171
0,0,0,28,172
0,0,0,32,173
0,0,0,35,174
0,0,0,39,175
0,0,0,43,176
0,0,0,48,177
0,0,0,50,178
0,0,0,38,179
0,0,0,42,180
0,0,0,47,181
0,0,0,49,182
0,0,0,57,183
0,0,0,61,184
0,0,0,65,185
0,0,0,51,186
0,0,0,55,187
0,0,0,60,188
0,0,0,64,189
0,0,2,64,190
0,0,2,67,191
0,0,2,65,192
0,0,2,58,193
0,0,2,53,194
0,0,2,61,195
0,0,2,57,196
0,0,2,49,197
0,0,2,44,198
0,0,2,50,199
0,0,2,46,200
0,0,2,40,201
0,0,2,36,202
0,0,2,43,203
0,0,2,41,204
0,0,2,37,205
0,0,2,32,206
0,0,2,28,207
0,0,2,33,208
0,0,2,24,209
0,0,2,21,210
0,0,2,27,211
0,0,2,25,212
0,0,2,20,213
0,0,2,15,214
0,0,2,10,215
0,0,2,16,216
0,0,2,12,217
0,0,2,4,218
0,0,2,9,219
0,0,2,7,220
0,0,2,3,221
0,0,3,66,222
0,0,3,62,223
0,0,3,67,224
0,0,3,63,225
0,0,3,55,226
0,0,3,61,227
0,0,3,59,228
0,0,3,54,229
0,0,3,49,230
0,0,3,44,231
0,0,3,50,232
0,0,3,46,233
0,0,3,38,234
0,0,3,34,235
0,0,3,41,236
0,0,3,37,237
0,0,3,32,238
0,0,3,28,239
0,0,3,33,240
0,0,3,24,241
0,0,3,21,242
0,0,3,17,243
0,0,3,25,244
0,0,3,20,245
0,0,3,15,246
0,0,3,10,247
0,0,3,16,248
0,0,3,12,249
0,0,3,4,250
0,0,3,0,251
0,0,3,7,252
0,0,-1,-1,253
0,0,-1,-1,254
0,0,-1,-1,255
0,0,-1,-1,256
0,0,-1,-1,257
0,0,-1,-1,258
0,0,-1,-1,259
0,0,-1,-1,260
0,0,-1,-1,261
0,0,-1,-1,262
0,0,-1,-1,263
0,0,-1,-1,264
