CoboID,AsadID,AgetID,ChannelID,PadID,SizeID
7,2,1,10,9908,1
7,2,1,12,9919,1
7,2,1,13,9909,1
7,2,1,14,9920,1
7,2,1,15,9910,1
7,2,1,16,9921,1
7,2,1,17,9911,1
7,2,1,18,9922,1
7,2,1,19,9912,1
7,2,1,20,9923,1
7,2,1,21,9913,1
7,2,1,23,9924,1
7,2,1,24,9914,1
7,2,1,25,9974,1
7,2,1,26,9915,1
7,2,1,27,9973,1
7,2,1,28,9916,1
7,2,1,29,9983,1
7,2,1,30,9917,1
7,2,1,31,9984,1
7,2,1,32,9918,1
7,2,1,33,9985,1
7,2,1,34,9982,1
7,2,1,35,9986,1
7,2,1,36,9981,1
7,2,1,37,9987,1
7,2,1,38,9972,1
7,2,1,39,9988,1
7,2,1,40,9980,1
7,2,1,41,10043,1
7,2,1,42,9979,1
7,2,1,43,10041,1
7,2,1,44,9978,1
7,2,1,46,10039,1
7,2,1,47,9977,1
7,2,1,48,10037,1
7,2,1,49,9976,1
7,2,1,50,10036,1
7,2,1,51,9975,1
7,2,1,52,10035,1
7,2,1,53,10042,1
7,2,1,54,10044,1
7,2,1,55,10040,1
7,2,1,57,10034,1
7,2,1,58,10038,1
7,2,1,59,10045,1
7,2,1,60,10033,1
7,2,1,61,10099,1
7,2,1,62,10032,1
7,2,1,63,10098,1
7,2,1,64,10046,1
7,2,1,65,10097,1
7,2,1,66,10047,1
7,2,1,67,10155,1
7,2,0,0,10048,1
7,2,0,1,10154,1
7,2,0,2,10049,1
7,2,0,3,10153,1
7,2,0,4,10050,1
7,2,0,5,10152,1
7,2,0,6,10096,1
7,2,0,7,10151,1
7,2,0,8,10095,1
7,2,0,9,10150,1
7,2,0,10,10094,1
7,2,0,12,10149,1
7,2,0,13,10093,1
7,2,0,14,10148,1
7,2,0,15,10105,1
7,2,0,16,10147,1
7,2,0,17,10104,1
7,2,0,18,10146,1
7,2,0,19,10103,1
7,2,0,20,10089,1
7,2,0,21,10102,1
7,2,0,23,10145,1
7,2,0,24,10101,1
7,2,0,25,10142,1
7,2,0,26,10100,1
7,2,0,27,10141,1
7,2,0,28,10088,1
7,2,0,29,10140,1
7,2,0,30,10092,1
7,2,0,31,10195,1
7,2,0,32,10091,1
7,2,0,33,10193,1
7,2,0,34,10090,1
7,2,0,35,10191,1
7,2,0,36,10087,1
7,2,0,37,10189,1
7,2,0,38,10144,1
7,2,0,39,10187,1
7,2,0,40,10143,1
7,2,0,41,10186,1
7,2,0,42,10194,1
7,2,0,43,10139,1
7,2,0,44,10192,1
7,2,0,46,10138,1
7,2,0,47,10190,1
7,2,0,48,10183,1
7,2,0,49,10188,1
7,2,0,50,10137,1
7,2,0,51,10185,1
7,2,0,52,10180,1
7,2,0,53,10184,1
7,2,0,54,10226,1
7,2,0,55,10182,1
7,2,0,57,10223,1
7,2,0,58,10136,1
7,2,0,59,10222,1
7,2,0,60,10181,1
7,2,0,61,10221,1
7,2,0,62,10227,1
7,2,0,63,10220,1
7,2,0,64,10225,1
7,2,0,65,10179,1
7,2,0,66,10224,1
7,2,0,67,10178,1
7,2,3,0,9167,1
7,2,3,1,9438,1
7,2,3,2,9437,1
7,2,3,3,9443,1
7,2,3,4,9168,1
7,2,3,5,9444,1
7,2,3,6,9169,1
7,2,3,7,9445,1
7,2,3,8,9261,1
7,2,3,9,9446,1
7,2,3,10,9262,1
7,2,3,12,8804,0
