CoboID,AsadID,AgetID,ChannelID,DetKeyword,PadID
7,2,1,10,pad,9908
7,2,1,12,pad,9919
7,2,1,13,pad,9909
7,2,1,14,pad,9920
7,2,1,15,pad,9910
7,2,1,16,pad,9921
7,2,1,17,pad,9911
7,2,1,18,pad,9922
7,2,1,19,pad,9912
7,2,1,20,pad,9923
7,2,1,21,pad,9913
7,2,1,23,pad,9924
7,2,1,24,pad,9914
7,2,1,25,pad,9974
7,2,1,26,pad,9915
7,2,1,27,pad,9973
7,2,1,28,pad,9916
7,2,1,29,pad,9983
7,2,1,30,pad,9917
7,2,1,31,pad,9984
7,2,1,32,pad,9918
7,2,1,33,pad,9985
7,2,1,34,pad,9982
7,2,1,35,pad,9986
7,2,1,36,pad,9981
7,2,1,37,pad,9987
7,2,1,38,pad,9972
7,2,1,39,pad,9988
7,2,1,40,pad,9980
7,2,1,41,pad,10043
7,2,1,42,pad,9979
7,2,1,43,pad,10041
7,2,1,44,pad,9978
7,2,1,46,pad,10039
7,2,1,47,pad,9977
7,2,1,48,pad,10037
7,2,1,49,pad,9976
7,2,1,50,pad,10036
7,2,1,51,pad,9975
7,2,1,52,pad,10035
7,2,1,53,pad,10042
7,2,1,54,pad,10044
7,2,1,55,pad,10040
7,2,1,57,pad,10034
7,2,1,58,pad,10038
7,2,1,59,pad,10045
7,2,1,60,pad,10033
7,2,1,61,pad,10099
7,2,1,62,pad,10032
7,2,1,63,pad,10098
7,2,1,64,pad,10046
7,2,1,65,pad,10097
7,2,1,66,pad,10047
7,2,1,67,pad,10155
7,2,0,0,pad,10048
7,2,0,1,pad,10154
7,2,0,2,pad,10049
7,2,0,3,pad,10153
7,2,0,4,pad,10050
7,2,0,5,pad,10152
7,2,0,6,pad,10096
7,2,0,7,pad,10151
7,2,0,8,pad,10095
7,2,0,9,pad,10150
7,2,0,10,pad,10094
7,2,0,12,pad,10149
7,2,0,13,pad,10093
7,2,0,14,pad,10148
7,2,0,15,pad,10105
7,2,0,16,pad,10147
7,2,0,17,pad,10104
7,2,0,18,pad,10146
7,2,0,19,pad,10103
7,2,0,20,pad,10089
7,2,0,21,pad,10102
7,2,0,23,pad,10145
7,2,0,24,pad,10101
7,2,0,25,pad,10142
7,2,0,26,pad,10100
7,2,0,27,pad,10141
7,2,0,28,pad,10088
7,2,0,29,pad,10140
7,2,0,30,pad,10092
7,2,0,31,pad,10195
7,2,0,32,pad,10091
7,2,0,33,pad,10193
7,2,0,34,pad,10090
7,2,0,35,pad,10191
7,2,0,36,pad,10087
7,2,0,37,pad,10189
7,2,0,38,pad,10144
7,2,0,39,pad,10187
7,2,0,40,pad,10143
7,2,0,41,pad,10186
7,2,0,42,pad,10194
7,2,0,43,pad,10139
7,2,0,44,pad,10192
7,2,0,46,pad,10138
7,2,0,47,pad,10190
7,2,0,48,pad,10183
7,2,0,49,pad,10188
7,2,0,50,pad,10137
7,2,0,51,pad,10185
7,2,0,52,pad,10180
7,2,0,53,pad,10184
7,2,0,54,pad,10226
7,2,0,55,pad,10182
7,2,0,57,pad,10223
7,2,0,58,pad,10136
7,2,0,59,pad,10222
7,2,0,60,pad,10181
7,2,0,61,pad,10221
7,2,0,62,pad,10227
7,2,0,63,pad,10220
7,2,0,64,pad,10225
7,2,0,65,pad,10179
7,2,0,66,pad,10224
7,2,0,67,pad,10178
7,2,3,0,pad,9167
7,2,3,1,pad,9438
7,2,3,2,pad,9437
7,2,3,3,pad,9443
7,2,3,4,pad,9168
7,2,3,5,pad,9444
7,2,3,6,pad,9169
7,2,3,7,pad,9445
7,2,3,8,pad,9261
7,2,3,9,pad,9446
7,2,3,10,pad,9262
7,2,3,12,pad,8804
7,2,3,13,pad,9263
7,2,3,14,pad,8596
7,2,3,15,pad,9264
7,2,3,16,pad,8595
7,2,3,17,pad,9353
7,2,3,18,pad,8379
7,2,3,19,pad,9354
7,2,3,20,pad,9166
7,2,3,21,pad,9355
7,2,3,23,pad,9525
7,2,3,24,pad,9356
7,2,3,25,pad,7193
7,2,3,26,pad,8378
7,2,3,27,pad,9524
7,2,3,28,pad,8594
7,2,3,29,pad,9530
7,2,3,30,pad,8593
7,2,3,31,pad,9531
7,2,3,32,pad,8801
7,2,3,33,pad,9532
7,2,3,34,pad,9523
7,2,3,35,pad,9533
7,2,3,36,pad,8802
7,2,3,37,pad,7196
7,2,3,38,pad,8800
7,2,3,39,pad,9349
7,2,3,40,pad,8799
7,2,3,41,pad,9439
7,2,3,42,pad,8591
7,2,3,43,pad,9526
7,2,3,44,pad,8592
7,2,3,46,pad,9610
7,2,3,47,pad,8376
7,2,3,48,pad,9609
7,2,3,49,pad,8797
7,2,3,50,pad,9611
7,2,3,51,pad,8798
7,2,3,52,pad,9608
7,2,3,53,pad,8590
7,2,3,54,pad,9527
7,2,3,55,pad,8589
7,2,3,57,pad,9614
7,2,3,58,pad,8373
7,2,3,59,pad,9615
7,2,3,60,pad,9007
7,2,3,61,pad,9616
7,2,3,62,pad,9008
7,2,3,63,pad,9617
7,2,3,64,pad,9607
7,2,3,65,pad,9440
7,2,3,66,pad,9606
7,2,3,67,pad,9350
7,2,2,0,pad,9006
7,2,2,1,pad,9612
7,2,2,2,pad,9005
7,2,2,3,pad,9528
7,2,2,4,pad,9004
7,2,2,5,pad,9441
7,2,2,6,pad,9003
7,2,2,7,pad,9351
7,2,2,8,pad,7937
7,2,2,9,pad,9613
7,2,2,10,pad,7944
7,2,2,12,pad,9691
7,2,2,13,pad,7945
7,2,2,14,pad,9690
7,2,2,15,pad,7928
7,2,2,16,pad,9688
7,2,2,17,pad,7926
7,2,2,18,pad,9695
7,2,2,19,pad,7925
7,2,2,20,pad,9696
7,2,2,21,pad,7923
7,2,2,23,pad,9697
7,2,2,24,pad,9687
7,2,2,25,pad,9698
7,2,2,26,pad,7929
7,2,2,27,pad,9529
7,2,2,28,pad,7927
7,2,2,29,pad,9442
7,2,2,30,pad,7924
7,2,2,31,pad,9352
7,2,2,32,pad,7922
7,2,2,33,pad,9260
7,2,2,34,pad,9347
7,2,2,35,pad,9259
7,2,2,36,pad,9346
7,2,2,37,pad,9258
7,2,2,38,pad,9345
7,2,2,39,pad,9257
7,2,2,40,pad,9255
7,2,2,41,pad,9163
7,2,2,42,pad,9162
7,2,2,43,pad,9766
7,2,2,44,pad,9161
