CoboID,AsadID,AgetID,ChannelID,PadID
0,0,1,12,1704
0,0,1,13,1762
0,0,1,14,1703
0,0,1,15,1761
0,0,1,16,1702
0,0,1,17,1760
0,0,1,18,1701
0,0,1,19,1759
0,0,1,20,1700
0,0,1,21,1758
0,0,1,23,1699
0,0,1,24,1757
0,0,1,25,1698
0,0,1,26,1756
0,0,1,27,1697
0,0,1,28,1755
0,0,1,29,1696
0,0,1,30,1754
0,0,1,31,1695
0,0,1,32,1753
0,0,1,33,1694
0,0,1,34,1752
0,0,1,35,1693
0,0,1,36,1751
0,0,1,37,1692
0,0,1,38,1750
0,0,1,39,1691
0,0,1,40,1749
0,0,1,41,1690
0,0,1,42,1748
0,0,1,43,1689
0,0,1,44,1747
0,0,1,46,1688
0,0,1,47,1746
0,0,1,48,1687
0,0,1,49,1745
0,0,1,50,1686
0,0,1,51,1744
0,0,1,52,1685
0,0,1,53,1743
0,0,1,54,1684
0,0,1,55,1742
0,0,1,57,1683
0,0,1,58,1741
0,0,1,59,1682
0,0,1,60,1740
0,0,1,61,1681
0,0,1,62,1739
0,0,1,63,1680
0,0,1,64,1738
0,0,1,65,1679
0,0,1,66,1737
0,0,1,67,1678
0,0,0,0,1736
0,0,0,1,1677
0,0,0,2,1735
0,0,0,3,1676
0,0,0,4,1734
0,0,0,5,1675
0,0,0,6,1733
0,0,0,7,1674
0,0,0,8,1732
0,0,0,9,1673
0,0,0,10,1731
0,0,0,12,1672
0,0,0,13,1730
0,0,0,14,1671
0,0,0,15,1729
0,0,0,16,1670
0,0,0,17,1728
0,0,0,18,1669
0,0,0,19,1727
0,0,0,20,1668
0,0,0,21,1726
0,0,0,23,1667
0,0,0,24,1725
0,0,0,25,1666
0,0,0,26,1724
0,0,0,27,1665
0,0,0,28,1723
0,0,0,29,1664
0,0,0,30,1722
0,0,0,31,1663
0,0,0,32,1721
0,0,0,33,1662
0,0,0,34,1720
0,0,0,35,1661
0,0,0,36,1719
0,0,0,37,1660
0,0,0,38,1718
0,0,0,39,1659
0,0,0,40,1717
0,0,0,41,1658
0,0,0,42,1716
0,0,0,43,1657
0,0,0,44,1715
0,0,0,46,1656
0,0,0,47,1714
0,0,0,48,1655
0,0,0,49,1713
0,0,0,50,1654
0,0,0,51,1712
0,0,0,52,1653
0,0,0,53,1711
0,0,0,54,1652
