CoboID,AsadID,AgetID,ChannelID,PadID
0,1,2,3,4
7,2,1,10,9908
7,2,1,12,9919
7,2,1,13,9909
7,2,1,14,9920
7,2,1,15,9910
7,2,1,16,9921
7,2,1,17,9911
7,2,1,18,9922
7,2,1,19,9912
7,2,1,20,9923
7,2,1,21,9913
7,2,1,23,9924
7,2,1,24,9914
7,2,1,25,9974
7,2,1,26,9915
7,2,1,27,9973
7,2,1,28,9916
7,2,1,29,9983
7,2,1,30,9917
7,2,1,31,9984
7,2,1,32,9918
7,2,1,33,9985
7,2,1,34,9982
7,2,1,35,9986
7,2,1,36,9981
7,2,1,37,9987
7,2,1,38,9972
7,2,1,39,9988
7,2,1,40,9980
7,2,1,41,10043
7,2,1,42,9979
7,2,1,43,10041
7,2,1,44,9978
7,2,1,46,10039
7,2,1,47,9977
7,2,1,48,10037
7,2,1,49,9976
7,2,1,50,10036
7,2,1,51,9975
7,2,1,52,10035
7,2,1,53,10042
7,2,1,54,10044
7,2,1,55,10040
7,2,1,57,10034
7,2,1,58,10038
7,2,1,59,10045
7,2,1,60,10033
7,2,1,61,10099
7,2,1,62,10032
7,2,1,63,10098
7,2,1,64,10046
7,2,1,65,10097
7,2,1,66,10047
7,2,1,67,10155
7,2,0,0,10048
7,2,0,1,10154
7,2,0,2,10049
7,2,0,3,10153
7,2,0,4,10050
7,2,0,5,10152
7,2,0,6,10096
7,2,0,7,10151
7,2,0,8,10095
7,2,0,9,10150
7,2,0,10,10094
7,2,0,12,10149
7,2,0,13,10093
7,2,0,14,10148
7,2,0,15,10105
7,2,0,16,10147
7,2,0,17,10104
7,2,0,18,10146
7,2,0,19,10103
7,2,0,20,10089
7,2,0,21,10102
7,2,0,23,10145
7,2,0,24,10101
7,2,0,25,10142
7,2,0,26,10100
7,2,0,27,10141
7,2,0,28,10088
7,2,0,29,10140
7,2,0,30,10092
7,2,0,31,10195
7,2,0,32,10091
7,2,0,33,10193
7,2,0,34,10090
7,2,0,35,10191
7,2,0,36,10087
7,2,0,37,10189
7,2,0,38,10144
7,2,0,39,10187
7,2,0,40,10143
7,2,0,41,10186
7,2,0,42,10194
7,2,0,43,10139
7,2,0,44,10192
7,2,0,46,10138
7,2,0,47,10190
7,2,0,48,10183
7,2,0,49,10188
7,2,0,50,10137
7,2,0,51,10185
7,2,0,52,10180
7,2,0,53,10184
7,2,0,54,10226
7,2,0,55,10182
7,2,0,57,10223
7,2,0,58,10136
7,2,0,59,10222
7,2,0,60,10181
7,2,0,61,10221
7,2,0,62,10227
7,2,0,63,10220
7,2,0,64,10225
7,2,0,65,10179
7,2,0,66,10224
7,2,0,67,10178
7,2,3,0,9167
7,2,3,1,9438
7,2,3,2,9437
7,2,3,3,9443
7,2,3,4,9168
7,2,3,5,9444
7,2,3,6,9169
7,2,3,7,9445
7,2,3,8,9261
7,2,3,9,9446
7,2,3,10,9262
7,2,3,12,8804
7,2,3,13,9263
7,2,3,14,8596
7,2,3,15,9264
7,2,3,16,8595
7,2,3,17,9353
7,2,3,18,8379
7,2,3,19,9354
7,2,3,20,9166
7,2,3,21,9355
7,2,3,23,9525
7,2,3,24,9356
7,2,3,25,7193
7,2,3,26,8378
7,2,3,27,9524
7,2,3,28,8594
7,2,3,29,9530
7,2,3,30,8593
7,2,3,31,9531
7,2,3,32,8801
7,2,3,33,9532
7,2,3,34,9523
7,2,3,35,9533
7,2,3,36,8802
7,2,3,37,7196
7,2,3,38,8800
7,2,3,39,9349
7,2,3,40,8799
7,2,3,41,9439
7,2,3,42,8591
7,2,3,43,9526
7,2,3,44,8592
7,2,3,46,9610
7,2,3,47,8376
7,2,3,48,9609
7,2,3,49,8797
7,2,3,50,9611
7,2,3,51,8798
7,2,3,52,9608
7,2,3,53,8590
7,2,3,54,9527
7,2,3,55,8589
7,2,3,57,9614
7,2,3,58,8373
7,2,3,59,9615
7,2,3,60,9007
7,2,3,61,9616
7,2,3,62,9008
7,2,3,63,9617
7,2,3,64,9607
7,2,3,65,9440
7,2,3,66,9606
7,2,3,67,9350
7,2,2,0,9006
7,2,2,1,9612
7,2,2,2,9005
7,2,2,3,9528
7,2,2,4,9004
