DigiID,ChannelID,LayerID,GAGGID
1906,0,0,0
1906,1,0,1
1906,2,0,2
1906,3,0,3
1906,4,0,4
1906,5,0,5
1906,6,0,6
1906,7,0,7
1906,8,0,8
1906,9,0,9
1906,10,0,10
1906,11,0,11
1906,12,0,12
1906,13,0,13
1906,14,0,14
1906,15,0,15
1905,0,0,16
1905,1,0,17
1905,2,0,18
1905,3,0,19
1905,4,0,20
1904,7,0,21
1905,6,0,22
1905,7,0,23
1904,0,1,25
1904,1,1,26
1904,2,1,27
1904,3,1,28
1904,4,1,29
1904,5,1,30
1904,6,1,31
1903,2,1,33
1903,3,1,34
1903,4,1,35
1903,5,1,36
1903,6,1,37
1904,7,1,38
