sector1_76 -29.9389  28.8075 152
sector2_76 -31.6006  30.4692 153
sector1_77 -32.9087  31.7774 154
sector2_77 -34.5704  33.4391 155
sector1_78 -35.8786  34.7472 156
sector2_78 -37.5403  36.4089 157
sector1_79 -38.8484  37.7171 158
sector2_79 -40.5101  39.3788 159
sector1_80 -41.8183  40.6869 160
sector2_80 -43.48  42.3486 161
sector1_81 -44.7881  43.6568 162
sector2_81 -46.4498  45.3185 163
sector1_82 -47.758  46.6266 164
sector2_82 -49.4197  48.2883 165
sector1_83 -50.7278  49.5965 166
sector2_83 -52.3895  51.2582 167
sector1_84 -53.6977  52.5663 168
sector2_84 -55.3594  54.228 169
sector1_85 -56.6675  55.5362 170
sector2_85 -58.3292  57.1979 171
sector1_86 -59.6374  58.506 172
sector2_86 -61.2991  60.1677 173
sector1_87 -62.6072  61.4759 174
sector2_87 -64.2689  63.1376 175
sector1_88 -65.5771  64.4457 176
sector2_88 -67.2388  66.1074 177
sector1_89 -68.5469  67.4156 178
sector2_89 -70.2086  69.0773 179
sector1_90 -71.5168  70.3854 180
sector2_90 -73.1785  72.0471 181
sector1_91 -74.4866  73.3553 182
sector2_91 -76.1483  75.017 183
sector1_92 -77.4565  76.3251 184
sector2_92 -79.1182  77.9868 185
sector1_93 -80.4263  79.295 186
sector2_93 -82.088  80.9566 187
sector1_94 -83.3962  82.2648 188
sector2_94 -85.0579  83.9265 189
sector1_95 -86.366  85.2346 190
sector2_95 -88.0277  86.8963 191
sector1_96 -1.30108  -0.947523 192
sector2_96 -2.18496  -1.83141 193
sector1_97 -2.71529  -2.36174 194
sector2_97 -3.59917  -3.24562 195
sector1_98 -4.1295  -3.77595 196
sector2_98 -5.01339  -4.65983 197
sector1_99 -5.54372  -5.19016 198
sector2_99 -6.4276  -6.07405 199
sector1_100 -6.95793  -6.60438 200
sector2_100 -7.84181  -7.48826 201
sector1_101 -9.14996  -8.01859 202
sector2_101 -10.8117  -9.68029 203
sector1_102 -12.1198  -10.9884 204
sector2_102 -13.7815  -12.6501 205
sector1_103 -15.0897  -13.9583 206
sector2_103 -16.7514  -15.62 207
sector1_104 -18.0595  -16.9281 208
sector2_104 -19.7212  -18.5898 209
sector1_105 -21.0294  -19.898 210
sector2_105 -22.6911  -21.5597 211
sector1_106 -23.9992  -22.8678 212
sector2_106 -25.6609  -24.5295 213
sector1_107 -26.969  -25.8377 214
sector2_107 -28.6308  -27.4994 215
sector1_108 -29.9389  -28.8075 216
sector2_108 -31.6006  -30.4692 217
sector1_109 -32.9087  -31.7774 218
sector2_109 -34.5704  -33.4391 219
sector1_110 -35.8786  -34.7472 220
sector2_110 -37.5403  -36.4089 221
sector1_111 -38.8484  -37.7171 222
sector2_111 -40.5101  -39.3788 223
sector1_112 -41.8183  -40.6869 224
sector2_112 -43.48  -42.3486 225
sector1_113 -44.7881  -43.6568 226
sector2_113 -46.4498  -45.3185 227
sector1_114 -47.758  -46.6266 228
sector2_114 -49.4197  -48.2883 229
sector1_115 -50.7278  -49.5965 230
sector2_115 -52.3895  -51.2582 231
sector1_116 -53.6977  -52.5663 232
sector2_116 -55.3594  -54.228 233
sector1_117 -56.6675  -55.5362 234
sector2_117 -58.3292  -57.1979 235
sector1_118 -59.6374  -58.506 236
sector2_118 -61.2991  -60.1677 237
sector1_119 -62.6072  -61.4759 238
sector2_119 -64.2689  -63.1376 239
sector1_120 -65.5771  -64.4457 240
sector2_120 -67.2388  -66.1074 241
sector1_121 -68.5469  -67.4156 242
sector2_121 -70.2086  -69.0773 243
sector1_122 -71.5168  -70.3854 244
sector2_122 -73.1785  -72.0471 245
sector1_123 -74.4866  -73.3553 246
sector2_123 -76.1483  -75.017 247
sector1_124 -77.4565  -76.3251 248
sector2_124 -79.1182  -77.9868 249
sector1_125 -80.4263  -79.295 250
sector2_125 -82.088  -80.9566 251
sector1_126 -83.3962  -82.2648 252
sector2_126 -85.0579  -83.9265 253
sector1_127 -86.366  -85.2346 254
sector2_127 -88.0277  -86.8963 255
